feature,gain,split
bd_imbalance_1p,101.96310307438237,0.0
sl_mirror_return_slope_10s,84.09899680856189,0.0
sl_mirror_body_pct_1s,84.0772088307832,0.0
sl_taker_imbalance_delta_60s,80.05139423696274,0.0
sl_agg_buy_trade_cluster_score_1s,79.4303263455212,0.0
sl_return_1s,62.70202733135686,0.0
sl_taker_count_imbalance_5s,61.59672340724722,0.0
sl_agg_sell_run_length_1s,60.12996914510683,0.0
sl_time_since_last_negative_jump,57.28726161533076,0.0
realized_skew_20,55.21254043023435,0.0
htf_range_pos_15m,52.65558441404536,0.0
sl_agg_sell_trade_cluster_score_1s,49.07341174122175,0.0
wick_pressure_1_lag6,47.18748566705901,0.0
bd_imbalance_1p_mean_5m,45.371107797125205,0.0
context_relative_volume_product__clv_1__relative_volume_20,43.39087542828251,0.0
sl_agg_p90_trade_size_5s,42.95644649584599,0.0
htf_close_z_15m_lag12,41.47353545798583,0.0
volume_z_term_ratio__volume_z_3__volume_z_5,37.84945384086391,0.0
sl_agg_buy_run_length_1s,37.82432766334574,0.0
sl_log_return_1s,36.29745860087369,0.0
close_z_term_spread__close_z_3__close_z_5,36.009457746620015,0.0
relative_volume_5_lag6,35.86094229020875,0.0
signed_dollar_volume_3,34.657229387273176,0.0
realized_skew_10,34.455004012318426,0.0
bd_imbalance_2p,34.433837679196095,0.0
sl_mirror_ret_1s,34.24148713797261,0.0
sl_agg_p90_trade_size_1s,34.026206627942315,0.0
sl_signed_dollar_flow_delta_60s,33.88918567072902,0.0
sl_agg_median_trade_size_1s,33.685036389813725,0.0
sl_agg_large_sell_volume_share_60s,33.66314517974323,0.0
ret_volume_z_product__ret_1__volume_z_20,33.55868754817522,0.0
close_z_term_ratio__close_z_5__close_z_10,32.90405978610667,0.0
htf_close_z_15m_lag6,32.89560285640226,0.0
sl_agg_signed_large_notional_300s,32.66329260485917,0.0
sl_mirror_close_z_10s,31.97790101746132,0.0
sl_rv_30s_div_300s,31.896788317535346,0.0
htf_rv_15m_delta_3,31.489701772400664,0.0
sl_agg_interarrival_cv_1s,30.90748142314237,0.0
sl_agg_end_second_sell_pressure_10s,30.84363423684404,0.0
max_down_ret_5_delta_3,30.72520451400094,0.0
prev_bar_taker_buy_ratio_delta_1,30.657662565146218,0.0
signed_volume_1_lag12,30.65484627795971,0.0
sl_mirror_return_slope_60s,30.46780334167485,0.0
sl_agg_p95_trade_size_5s,30.404821701666055,0.0
prev_bar_taker_buy_volume_lag12,30.19648738462065,0.0
close_z_5_mean_gap_24,29.687534361352252,0.0
efficiency_5_delta_3,28.6681219436379,0.0
prev_bar_taker_net_volume,28.519181604842014,0.0
volume_z_20_lag12,28.352540203862926,0.0
dollar_vol_mean_20_delta_6,28.329872041770738,0.0
rv_term_ratio__rv_3__rv_5,28.252755720493347,0.0
bd_log_total_notional_5p_std_15m,28.03838877487841,0.0
volume_z_5_lag6,27.771097129043355,0.0
rv_3_rolling_z_24,27.60553815682308,0.0
wick_pressure_1_lag2,27.396447949235633,0.0
sl_agg_end_second_sell_pressure_3s,27.189169309826827,0.0
sl_mirror_close_z_5s,27.1860206677166,0.0
context_relative_volume_product__clv_1__relative_volume_3,27.17304384910965,0.0
sl_return_10s_lag5s,27.078447508805773,0.0
ret_term_ratio__ret_1__ret_3,27.05618474918248,0.0
volume_z_term_ratio__volume_z_3__volume_z_20,26.9974570439509,0.0
sl_mirror_trade_count_z_300s,26.844213444161618,0.0
close_z_5_delta_3,26.841719501680668,0.0
prev_bar_taker_buy_ratio_lag2,26.828221674815374,0.0
sl_mirror_trade_count_share_300s,26.72708327763424,0.0
ret_term_ratio__ret_3__ret_5,26.573595003455136,0.0
sl_return_10s_lag60s,26.436559786695202,0.0
sl_agg_max_trade_notional_3s,26.337914185101265,0.0
sl_agg_intrasecond_flow_concentration_3s,26.321773784578543,0.0
sl_signed_dollar_flow_delta_10s,26.295328795319605,0.0
sl_mirror_relative_volume_30s_lag10s,26.26285355336769,0.0
sl_agg_signed_large_notional_60s,26.140991923241877,0.0
rv_5_mean_gap_24,26.07948478346557,0.0
volume_z_20_lag3,25.952760534299983,0.0
efficiency_5_delta_1,25.934347430050185,0.0
sl_agg_large_buy_volume_share_30s,25.894760273023564,0.0
volume_z_term_spread__volume_z_5__volume_z_10,25.835739791874094,0.0
ret_volume_z_product__ret_1__volume_z_5,25.822486398993117,0.0
sl_mirror_relative_volume_30s_lag60s,25.667710575721827,0.0
htf_close_z_15m_lag3,25.58251337300122,0.0
legal_prev_trade_count_z_3,25.544640835618484,0.0
clv_1_delta_1,25.318675069353954,0.0
sl_signed_dollar_flow_z_10s,25.21384010541222,0.0
sl_agg_median_trade_size_10s,25.18093316072737,0.0
sl_rv_10s_div_60s,25.0965771881933,0.0
signed_volume_1_lag3,25.089578483689277,0.0
wick_pressure_1_lag12,24.95234898853419,0.0
sl_signed_dollar_flow_30s_lag60s,24.619151596043487,0.0
rv_term_spread__rv_10__rv_30,24.495750845002622,0.0
sl_return_30s_lag60s,24.48594748219019,0.0
sl_return_15s,24.351130519735356,0.0
htf_close_z_15m,24.347256274903437,0.0
close_location_1_lag1,24.12657632517765,0.0
sl_interaction__sl_mirror_ret_30s__x__sl_taker_imbalance_30s,24.092035650822382,0.0
context_ret_product__wick_pressure_1__ret_10,24.028887999285413,0.0
sl_agg_large_sell_volume_share_300s,24.01695655675162,0.0
sl_taker_imbalance_30s_lag60s,24.00358372496979,0.0
efficiency_3_delta_3,23.99718719817923,0.0
ret_term_spread__ret_3__ret_5,23.996809429486646,0.0
htf_ret_15m_1_lag2,23.972688277327844,0.0
sl_agg_median_trade_size_60s,23.70463733853867,0.0
compression_score_lag6,23.65557158261649,0.0
dollar_vol_mean_20_delta_3,23.272187314629168,0.0
sl_interaction__sl_mirror_ret_10s__div__sl_taker_imbalance_30s,23.169621520502478,0.0
context_ret_product__wick_pressure_1__ret_1,23.05214542911398,0.0
sl_abs_return_30s_div_rv_300s,22.99397383367621,0.0
sl_taker_sell_volume_5s,22.92639992391706,0.0
bd_imbalance_5p_std_15m,22.914390842268194,0.0
volume_state_product__volume_z_3__relative_volume_10,22.84698265052128,0.0
relative_volume_term_ratio__relative_volume_3__relative_volume_20,22.829595642707886,0.0
max_down_ret_5_delta_6,22.78025621012653,0.0
sl_trade_count_z_5s,22.628646598059287,0.0
close_z_term_spread__close_z_5__close_z_10,22.50430868442015,0.0
ret_term_ratio__ret_1__ret_10,22.359179425739047,0.0
compression_score_rolling_z_24,22.35693258480335,0.0
volume_z_5_lag12,22.321173474951518,0.0
sl_taker_imbalance_30s_z_300s,22.279499484515537,0.0
bd_imbalance_5p,22.20716084152333,0.0
sl_agg_large_buy_volume_share_60s,21.985930806370558,0.0
sl_agg_large_trade_volume_share_300s,21.952743879811717,0.0
rv_term_ratio__rv_5__rv_10,21.91908329267067,0.0
ret_10_delta_6,21.88163328096198,0.0
sl_taker_buy_ratio_5s,21.87904478193869,0.0
efficiency_10_rolling_z_24,21.854874239498216,0.0
sl_mirror_relative_volume_30s_lag30s,21.831720630155242,0.0
wick_pressure_1_lag1,21.806918417688347,0.0
sl_trade_count_z_10s,21.733376796828793,0.0
sl_agg_max_trade_notional_60s,21.71731912120921,0.0
sl_agg_max_trade_notional_300s,21.64508199851855,0.0
volume_z_5_lag3,21.60603673632093,0.0
sl_taker_imbalance_delta_10s,21.579870681529382,0.0
ret_5_rolling_z_6,21.531770213019072,0.0
sl_agg_intrasecond_flow_concentration_60s,21.50641325004743,0.0
sl_price_impact_proxy_10s,21.49008473429751,0.0
sl_return_5s_lag3s,21.463169049439937,0.0
sl_agg_top_trade_notional_share_1s,21.421674582070715,0.0
ret_volume_z_product__ret_3__volume_z_20,21.3672008914084,0.0
bd_log_total_notional_1p_std_15m,21.35880765540519,0.0
ret_term_ratio__ret_3__ret_10,21.264666083783816,0.0
up_ratio_5_rolling_z_24,21.13375386283337,0.0
ret_3_lag12,21.104908988277693,0.0
sl_return_30s_lag10s,21.08288110787239,0.0
efficiency_10,21.061212144933737,0.0
rv_5_rolling_z_6,20.95392706041731,0.0
bd_total_notional_1p_delta_5m,20.929773313833678,0.0
htf_close_z_15m_lag2,20.92714500422754,0.0
rv_30_delta_1,20.921260088813728,0.0
rv_3,20.84599488885113,0.0
htf_ret_15m_1_lag6,20.844886991026158,0.0
sl_return_5s_lag60s,20.757921902944723,0.0
rv_3_rolling_z_6,20.70599259508116,0.0
sl_agg_p90_trade_size_3s,20.67377004809588,0.0
sl_return_3s,20.432452538631882,0.0
atr_ratio_5_20,20.36849953063567,0.0
volume_z_20_lag2,20.354979365507525,0.0
