decile,sample_count,p_min,p_max,p_mean,up_rate,abs_return_mean
0,772,0.01182914223120073,0.26453140234468014,0.18145660245098755,0.36658031088082904,0.0008554442286243893
1,772,0.2645927650454579,0.34850502957755264,0.31086934821218304,0.4417098445595855,0.0008605624326542405
2,771,0.34857735068184087,0.4060143723605809,0.3784637916956198,0.5045395590142672,0.0008099415482804001
3,772,0.4060644184768219,0.45274814029525745,0.4295733492678128,0.5129533678756477,0.0006821728335858188
4,771,0.452803448364164,0.4919114053174031,0.47299292539847027,0.5175097276264592,0.0007489913297769792
5,772,0.49199589141040906,0.532536012640196,0.5120853187190858,0.5051813471502591,0.0007296777078467147
6,771,0.5326076982040557,0.5777379843136696,0.5551549441139237,0.5252918287937743,0.000793630218020445
7,772,0.5779352951542398,0.6306907454224858,0.6035729991050519,0.5427461139896373,0.0008167330881874872
8,771,0.6307497768364994,0.6971629555673409,0.660674566240727,0.5486381322957199,0.0007717311000850953
9,772,0.6972215243017297,0.9780654577763725,0.7654749162133274,0.5880829015544041,0.0009058355743439036
