feature,gain,split
sl_agg_buy_trade_cluster_score_1s,82.03056359635322,0.0
sl_mirror_return_slope_10s,80.13367647670961,0.0
sl_return_1s,79.50399411606425,0.0
sl_mirror_body_pct_1s,78.41344148200578,0.0
sl_taker_imbalance_delta_60s,65.72421053628231,0.0
sl_agg_sell_run_length_1s,65.48829059887188,0.0
htf_range_pos_15m,63.9642538962872,0.0
sl_taker_count_imbalance_5s,57.97028173054804,0.0
realized_skew_20,54.8648532060556,0.0
sl_time_since_last_negative_jump,51.91331004132291,0.0
sl_log_return_1s,47.62034266653499,0.0
htf_close_z_15m_lag12,46.71356797214576,0.0
bvol_abs_change_mean_15m,46.028588495874786,0.0
context_relative_volume_product__clv_1__relative_volume_20,45.48677525601411,0.0
sl_signed_dollar_flow_delta_60s,45.24235922089563,0.0
sl_agg_buy_run_length_1s,43.618287104402015,0.0
wick_pressure_1_lag6,43.04203026462201,0.0
sl_agg_p90_trade_size_5s,42.16208688468741,0.0
volume_z_term_ratio__volume_z_3__volume_z_5,41.197403392626306,0.0
sl_agg_large_sell_volume_share_60s,40.596710846398636,0.0
sl_agg_sell_trade_cluster_score_1s,39.365918618514705,0.0
close_z_term_spread__close_z_3__close_z_5,39.25581517321871,0.0
bvol_log_ret_60m,38.51848884324005,0.0
htf_close_z_15m_lag6,37.64237945100757,0.0
sl_agg_p95_trade_size_5s,35.51954710957134,0.0
realized_skew_10,35.0716195934431,0.0
signed_volume_1_lag12,34.19027584963123,0.0
prev_bar_taker_buy_ratio_delta_1,32.839427354621435,0.0
sl_agg_large_sell_volume_share_300s,32.52047341180863,0.0
sl_agg_end_second_sell_pressure_10s,31.934538679907963,0.0
volume_z_5_lag6,31.82190264783188,0.0
sl_mirror_close_z_10s,31.423923899453108,0.0
htf_rv_15m_delta_3,31.390988734155638,0.0
dollar_vol_mean_20_delta_6,31.34464358273362,0.0
ret_volume_z_product__ret_1__volume_z_20,31.16938293107445,0.0
sl_rv_30s_div_300s,31.095892944673952,0.0
sl_agg_signed_large_notional_300s,31.078872829024697,0.0
signed_dollar_volume_3,30.94926364601075,0.0
legal_prev_trade_count_z_3,30.671265971887603,0.0
context_relative_volume_product__clv_1__relative_volume_3,30.34002077263302,0.0
relative_volume_5_lag6,30.281843810013132,0.0
bvol_log_ret_15m,29.734398577053085,0.0
sl_agg_interarrival_cv_1s,29.24684297745365,0.0
sl_agg_p90_trade_size_1s,29.1592593702324,0.0
ret_term_ratio__ret_1__ret_3,29.080921254700336,0.0
close_z_term_ratio__close_z_5__close_z_10,28.937600145125487,0.0
volume_z_20_lag12,28.937071386102147,0.0
sl_mirror_relative_volume_30s_lag60s,28.889335324183122,0.0
htf_ret_15m_1_lag6,28.70909692019741,0.0
sl_return_10s_lag5s,28.698363317781443,0.0
htf_close_z_15m,28.553077547680562,0.0
htf_close_z_15m_lag3,28.3638553277219,0.0
sl_agg_large_buy_volume_share_30s,28.257683403083664,0.0
sl_mirror_trade_count_share_300s,28.023240417200775,0.0
sl_agg_median_trade_size_1s,27.837717624817156,0.0
close_z_5_mean_gap_24,27.75767836473824,0.0
sl_signed_dollar_flow_delta_10s,27.540920792235056,0.0
rv_3_rolling_z_24,27.52551261095293,0.0
sl_mirror_relative_volume_30s_lag10s,27.09016880672411,0.0
sl_mirror_return_slope_60s,27.01909124073957,0.0
bvol_lag1m,26.655308740775148,0.0
prev_bar_taker_buy_volume_lag12,26.46752250696121,0.0
sl_agg_median_trade_size_60s,26.3859638741721,0.0
sl_agg_median_trade_size_10s,26.317313546678097,0.0
sl_agg_intrasecond_flow_concentration_3s,26.294285496136,0.0
sl_agg_signed_large_notional_60s,26.122038501698434,0.0
sl_rv_10s_div_60s,26.012246491800436,0.0
sl_return_15s,25.91577472783608,0.0
close_location_1_lag1,25.912780471716697,0.0
sl_return_30s_lag10s,25.583135551234932,0.0
sl_signed_dollar_flow_z_30s,25.569845152417773,0.0
ret_volume_z_product__ret_1__volume_z_5,25.507077051454893,0.0
ret_term_ratio__ret_3__ret_5,25.40991829084017,0.0
efficiency_5_delta_1,25.25128616888493,0.0
htf_ret_15m_1_lag2,25.17777628648636,0.0
context_relative_volume_product__wick_pressure_1__relative_volume_5,25.001965350907376,0.0
close_z_5_delta_3,24.7039952581544,0.0
bvol_abs_change_mean_60m,24.66998943363318,0.0
ret_5_rolling_z_6,24.649246046689,0.0
sl_signed_dollar_flow_300s,24.46244316345122,0.0
ret_term_spread__ret_5__ret_10,24.422372548629674,0.0
volume_z_20_lag3,24.27010967893076,0.0
sl_trade_count_z_10s,24.235110790645408,0.0
compression_score_rolling_z_24,24.091078081056164,0.0
ret_term_ratio__ret_1__ret_15,24.070969025099924,0.0
volume_z_3_delta_3,24.025175073431374,0.0
clv_1_delta_1,23.96429439715486,0.0
sl_return_10s_lag1s,23.94180191839752,0.0
sl_mirror_close_z_5s,23.670909840915705,0.0
sl_agg_end_second_sell_pressure_3s,23.516863635341892,0.0
sl_signed_dollar_flow_30s_lag1s,23.49397566363752,0.0
volume_z_5_lag3,23.480853660797678,0.0
sl_agg_intrasecond_flow_concentration_10s,23.424634837515235,0.0
sl_agg_max_trade_notional_300s,23.36059229280153,0.0
volume_z_5_lag12,23.3085610441216,0.0
sl_signed_dollar_flow_z_10s,23.304839502320565,0.0
sl_taker_sell_volume_5s,23.09224674284054,0.0
sl_range_30s,23.036132069262106,0.0
rv_term_ratio__rv_5__rv_10,23.029327258544733,0.0
rv_3,23.02160587285743,0.0
ret_term_spread__ret_3__ret_5,22.972979072350807,0.0
sl_agg_top_trade_notional_share_1s,22.96246708953702,0.0
relative_volume_3_delta_6,22.880428831441563,0.0
max_down_ret_5_delta_3,22.843441671606424,0.0
sl_return_10s_lag60s,22.774115357993413,0.0
context_ret_product__wick_pressure_1__ret_10,22.72400624061529,0.0
sl_mirror_relative_trade_count_30s,22.66257313578146,0.0
sl_mirror_ret_1s,22.461421059021166,0.0
relative_volume_term_ratio__relative_volume_3__relative_volume_20,22.310939091905784,0.0
bvol_log_z_30m,22.286998723865672,0.0
sl_taker_imbalance_30s_lag60s,22.236538017616038,0.0
ret_term_ratio__ret_3__ret_10,22.185827849427042,0.0
sl_taker_buy_ratio_5s,22.106146245643902,0.0
rv_5,22.089262424068643,0.0
htf_close_z_15m_lag2,22.034118786454638,0.0
sl_agg_max_trade_notional_3s,22.007215030281294,0.0
sl_abs_return_30s_div_rv_300s,21.884924307374426,0.0
sl_interaction__sl_mirror_ret_5s__div__sl_taker_imbalance_30s,21.749033731060962,0.0
ret_10_delta_6,21.655280668691955,0.0
compression_score_lag6,21.641956118321737,0.0
wick_pressure_1_lag12,21.613538561475718,0.0
sl_price_impact_proxy_10s,21.60268735648259,0.0
dollar_vol_mean_20_delta_3,21.59804022165125,0.0
sl_interaction__sl_mirror_ret_60s__x__sl_signed_dollar_flow_30s,21.55862783224229,0.0
hour_cos,21.544208516345854,0.0
wick_pressure_1_mean_gap_6,21.54315427800509,0.0
close_location_1_lag2,21.529991266038643,0.0
volume_z_term_ratio__volume_z_3__volume_z_20,21.521818283216977,0.0
signed_volume_1_lag2,21.486838053672546,0.0
rv_term_ratio__rv_5__rv_30,21.323349531661577,0.0
sl_agg_sell_run_length_10s,21.291979362854192,0.0
sl_agg_large_buy_volume_share_60s,21.02018071141929,0.0
upside_rv_20,20.97132336850133,0.0
ret_3_lag12,20.946947251257143,0.0
rv_5_delta_3,20.858185228723674,0.0
atr_ratio_5_20,20.848970850048104,0.0
rv_3_rolling_z_6,20.74439699502983,0.0
signed_volume_1_lag6,20.735718647398933,0.0
prev_bar_taker_buy_ratio_lag2,20.73371689846151,0.0
sl_return_60s_lag30s,20.70462446006893,0.0
efficiency_3_delta_3,20.69523896544717,0.0
hour_sin,20.517897521442773,0.0
sl_agg_intrasecond_flow_concentration_60s,20.514878866751513,0.0
sl_total_volume_30s_lag60s,20.405856230397482,0.0
rv_10_lag12,20.30755588450332,0.0
clv_1_lag6,20.290460422321516,0.0
context_ret_product__wick_pressure_1__ret_1,20.26629716039154,0.0
sl_trade_count_z_5s,20.230955940760346,0.0
htf_close_z_15m_delta_6,20.216674659533087,0.0
ret_volume_z_product__ret_5__volume_z_3,20.216002457966347,0.0
sl_taker_imbalance_30s_z_300s,20.191988543469726,0.0
up_ratio_5_rolling_z_24,20.14329612771822,0.0
volume_z_term_spread__volume_z_5__volume_z_20,20.04623042258036,0.0
max_down_ret_5_delta_6,20.03174298654389,0.0
sl_agg_large_trade_volume_share_300s,19.885586582879444,0.0
volume_z_term_spread__volume_z_5__volume_z_10,19.781343475254953,0.0
ret_term_ratio__ret_1__ret_10,19.77381579202478,0.0
sl_agg_trade_notional_hhi_1s,19.69446165181593,0.0
ret_volume_z_product__ret_5__volume_z_20,19.62823350788924,0.0
context_relative_volume_product__wick_pressure_1__relative_volume_20,19.60624580275683,0.0
sl_return_30s_lag60s,19.581602734196366,0.0
rv_5_mean_gap_24,19.497694269293817,0.0
ret_volume_z_product__ret_3__volume_z_3,19.440122996682245,0.0
sl_mirror_trade_count_z_300s,19.41550095511421,0.0
rv_30_delta_1,19.412288750750587,0.0
sl_agg_max_trade_notional_60s,19.385457719359813,0.0
ret_5_delta_1,19.35461914083749,0.0
sl_interaction__sl_mirror_ret_10s__div__sl_taker_imbalance_30s,19.348803284574704,0.0
range_pos_3_delta_1,19.318983886567853,0.0
rv_term_spread__rv_3__rv_5,19.313139070358538,0.0
sl_agg_p90_trade_size_3s,19.31100777217618,0.0
close_z_term_spread__close_z_5__close_z_10,19.306462438702027,0.0
sl_return_3s,19.271636490205335,0.0
ret_volume_z_product__ret_3__volume_z_20,19.248063194023917,0.0
bvol_log_dev_120m,19.232524386783346,0.0
sl_return_30s_lag5s,19.215663941958375,0.0
volume_state_product__volume_z_3__relative_volume_10,19.16593788602808,0.0
sl_trade_count_z_60s,19.158755102148707,0.0
rv_term_ratio__rv_3__rv_5,19.122189015817405,0.0
wick_pressure_1_lag3,19.10742089997562,0.0
volume_z_10_delta_3,19.101454851056083,0.0
wick_pressure_1_lag1,18.974707300225234,0.0
sl_time_since_last_positive_jump,18.91312596613395,0.0
wick_pressure_1_rolling_z_12,18.88533476608703,0.0
sl_interaction__sl_mirror_ret_30s__x__sl_taker_imbalance_30s,18.8537703546501,0.0
prev_bar_taker_net_volume,18.746038451514984,0.0
htf_ret_15m_1_lag12,18.559872289661822,0.0
wick_pressure_1_lag2,18.508882291775613,0.0
signed_volume_1_lag3,18.462980191813696,0.0
relative_volume_term_ratio__relative_volume_5__relative_volume_20,18.44868229025904,0.0
prev_bar_trade_count_lag12,18.413073164525905,0.0
taker_imbalance_slope,18.357178409528327,0.0
volume_z_20_delta_6,18.323275201147755,0.0
context_ret_product__compression_score__ret_5,18.300513844223925,0.0
sl_signed_dollar_flow_delta_5s,18.234499445662472,0.0
