decile,sample_count,p_min,p_max,p_mean,up_rate,abs_return_mean
0,772,0.012153275467257042,0.27242836779376584,0.1856212967268318,0.37823834196891193,0.0008670476271338436
1,772,0.27250416930279364,0.35896115012753976,0.3217328375911572,0.4274611398963731,0.0008582050463974577
2,771,0.35913878482583395,0.4135178322101361,0.3877024649568381,0.5058365758754864,0.0007618159640619649
3,772,0.413542474289472,0.4553183732355023,0.43529694912195577,0.5155440414507773,0.0007499159909743727
4,771,0.4553496893495104,0.49547570871797414,0.4758490941823156,0.4876783398184176,0.0006947921749830237
5,772,0.4954781698211852,0.5352959030343201,0.5151686295477854,0.5181347150259067,0.0008095080491993547
6,771,0.5353078840885904,0.5773384663037631,0.5565285133018906,0.5278858625162127,0.0007888455323094236
7,772,0.5773966082968466,0.6244054329368552,0.6010539131379664,0.5790155440414507,0.0008041213271641681
8,771,0.6244174131940048,0.6894674193460006,0.6538921480735171,0.5188067444876784,0.000777845435787092
9,772,0.689474224738272,0.9650094589595432,0.7583863553230265,0.594559585492228,0.0008624920907406002
