feature,gain,split
ret_vol_ratio__ret_1__rv_30,1140.1629784548475,0.0
ret_1_rolling_z_24,1001.3792880629064,0.0
fm_ret_vs_htf_rv_15m,821.5423298523525,0.0
htf_close_z_15m_delta_1,709.9511743017151,0.0
ret_vol_product__ret_1__rv_3,466.9810523194844,0.0
second_level_price_slope,409.78445972534234,0.0
context_ret_product__down_ratio_5__ret_1,363.55610684911517,0.0
ret_relative_volume_product__ret_1__relative_volume_20,359.14624696675116,0.0
ret_vol_product__ret_1__rv_30,307.55643299882723,0.0
sl_interaction__sl_mirror_ret_60s__div__sl_mirror_rv_60s,302.8077131638233,0.0
ret_1_rolling_z_12,297.30295214713294,0.0
ret_relative_volume_product__ret_1__relative_volume_10,261.52266127768445,0.0
sl_return_60s_lag3s,260.86434352754793,0.0
ret_vol_ratio__ret_1__rv_10,243.74587756708436,0.0
sl_mirror_slope_60s,237.0561410809905,0.0
fm_ret_lag3s,234.27557504891234,0.0
ret_vol_product__ret_1__rv_10,224.30993646335622,0.0
fm_ret_vs_prev_5m_range,222.75490096761902,0.0
fm_ret_lag1s,221.69562598134772,0.0
ret_1_mean_gap_24,205.57111971619304,0.0
sl_return_60s_lag1s,201.8380011972439,0.0
htf_rv_15m_delta_1,176.1041872744054,0.0
ret_relative_volume_product__ret_1__relative_volume_3,161.21033203050277,0.0
ret_1_mean_gap_12,159.0538558284888,0.0
ret_vol_ratio__ret_1__rv_5,150.67315051785877,0.0
sl_price_slope_60s,147.01419267897828,0.0
body_pct_1,138.71103072835385,0.0
context_ret_product__up_ratio_5__ret_1,134.23611968231953,0.0
ret_range_pos_product__ret_1__range_pos_5,133.13101210577491,0.0
ret_vol_product__ret_1__rv_5,132.0383219846223,0.0
ret_vol_ratio__ret_1__rv_3,125.23402884960186,0.0
micro_ret_5s,116.6008063280994,0.0
sl_log_return_60s,113.25843286025788,0.0
ret_range_pos_product__ret_1__range_pos_3,104.84939155589929,0.0
ret_1,102.73663273265157,0.0
ret_relative_volume_product__ret_1__relative_volume_5,101.93746084687443,0.0
rv_30_delta_1,99.11090977796293,0.0
htf_range_pos_15m_delta_1,97.56331162260588,0.0
second_level_signed_dollar_flow,96.95564815046743,0.0
sl_return_60s,88.69722400556647,0.0
sl_interaction__sl_mirror_ret_60s__div__sl_mirror_rv_30s,82.5186310070936,0.0
ret_range_pos_product__ret_1__range_pos_10,78.84657784041792,0.0
micro_ret_60s,73.40179182903272,0.0
rv_5_delta_1,69.37730188136473,0.0
sl_interaction__sl_mirror_ret_60s__x__sl_mirror_rv_30s,65.25722372808167,0.0
rv_10_delta_1,63.64012625205458,0.0
prev_bar_return,60.32854687957586,0.0
micro_ret_10s,59.60668100618925,0.0
sl_agg_end_second_buy_pressure_60s,58.88238453529067,0.0
fm_ret_vs_rv_30,56.603248584655994,0.0
sl_taker_count_imbalance_60s,55.51363096806803,0.0
prev_bar_body_bps,51.421729345707966,0.0
sl_mirror_return_slope_60s,39.88644292413478,0.0
signed_dollar_volume_1,39.82823718038233,0.0
sl_return_60s_lag5s,37.345325036495915,0.0
sl_mirror_ret_60s,35.830407966690395,0.0
fm_ret,35.59767208928183,0.0
wick_pressure_1_mean_gap_6,33.35391645073404,0.0
sl_return_5s_lag60s,33.018185733407115,0.0
sl_directional_efficiency_60s,33.013286432077216,0.0
compression_score,31.83349161446014,0.0
ret_efficiency_product__ret_1__efficiency_3,31.774559011337804,0.0
sl_agg_end_second_sell_pressure_60s,31.641846687288357,0.0
minute_cos,30.967630785488243,0.0
sl_interaction__sl_mirror_ret_60s__x__sl_mirror_rv_60s,30.78006779429947,0.0
fm_ret_lag5s,30.005014648558838,0.0
sl_mirror_efficiency_60s,29.78712155139997,0.0
sl_agg_buy_trade_cluster_score_1s,29.337380422483356,0.0
sl_mirror_vwap_dist_5s,28.521706056018953,0.0
context_ret_product__compression_score__ret_15,27.757294178646173,0.0
sl_agg_sell_trade_cluster_score_1s,27.451982389192768,0.0
ret_1_mean_gap_6,27.17247997318641,0.0
ret_1_rolling_z_6,26.07155747886648,0.0
close_z_10_delta_1,25.86566294312231,0.0
sl_mirror_close_z_30s,25.429148791692974,0.0
prev_bar_taker_buy_ratio_lag1,24.906295738691906,0.0
realized_skew_20,24.84542747239685,0.0
abs_ret_mean_5_delta_1,24.787225180561627,0.0
close_z_5_delta_1,24.236459312640505,0.0
compression_score_lag6,23.00980280379056,0.0
sl_choppiness_60s,22.433714189954916,0.0
ret_efficiency_product__ret_1__efficiency_5,22.20732194900397,0.0
