decile,sample_count,p_min,p_max,p_mean,up_rate,abs_return_mean
0,747,0.026109345506640548,0.2228037261207094,0.15585167509283285,0.2222222222222222,0.0010267608013510249
1,747,0.22290556793868485,0.3146612338373818,0.27092938506782077,0.3092369477911647,0.0007539066041250349
2,747,0.3148140641740584,0.3811704562961251,0.34968077095563155,0.3908969210174029,0.0006719212682701584
3,746,0.3813850498249835,0.4443488097138233,0.4127325882815102,0.4128686327077748,0.000638047600499147
4,747,0.44436700345211866,0.5254577446713385,0.4852857563419666,0.5127175368139224,0.0006000600398548869
5,747,0.5254806283789112,0.5972624141858476,0.5623575465022315,0.535475234270415,0.0005833458931018592
6,746,0.5972770397224744,0.6653607280288264,0.6315592210800584,0.5938337801608579,0.0006470918812678339
7,747,0.6655934688594919,0.733090786891022,0.6986687590862274,0.6251673360107095,0.0006764540857432165
8,747,0.7331438491819536,0.8148099389779706,0.7729535303019487,0.7242302543507363,0.0007852863056545723
9,747,0.815575478610422,0.9688115277581679,0.8710870847201688,0.8366800535475234,0.001101503917151374
