t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.45,0.4,7468.0,0.9224692019282271,0.6406955736224029,0.6863063795205201,0.6635009765714615,0.6491697911087306,0.6569894033967194,0.2896357793251205,0.562509298857853,0.5148995401733119,0.6427638263898969,0.35723617361010307,0.45,0.4,6889.0,4428.0,2461.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.405,7468.0,0.9303695768612747,0.6406955736224029,0.6861111111111111,0.663403342366757,0.6491697911087306,0.657167530224525,0.29244777718264586,0.5647662346841518,0.5178209305416402,0.6373056994818653,0.3626943005181347,0.45,0.405,6948.0,4428.0,2520.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.41,7468.0,0.9381360471344403,0.6406955736224029,0.6830876648564779,0.6618916192394404,0.6491697911087306,0.6562946046246074,0.29325120514193886,0.5678401368310018,0.516432682583012,0.6320296888381387,0.36797031116186124,0.45,0.41,7006.0,4428.0,2578.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.415,7468.0,0.9464381360471344,0.6406955736224029,0.6806818181818182,0.6606886959021105,0.6491697911087306,0.655631013016412,0.29459025174076064,0.5708974883052008,0.5160125202429918,0.6264855687606112,0.3735144312393888,0.45,0.415,7068.0,4428.0,2640.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.42,7468.0,0.9567487948580611,0.6406955736224029,0.6768494663231506,0.6587725199727767,0.6491697911087306,0.65444366689993,0.2955275843599358,0.5749874826890258,0.5139722050606238,0.6197340797760672,0.3802659202239328,0.45,0.42,7145.0,4428.0,2717.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.425,7468.0,0.963176218532405,0.6406955736224029,0.6741410488245931,0.657418311223498,0.6491697911087306,0.6535520645071597,0.2957953936797001,0.5776594259824317,0.5120584558568184,0.6155984985402475,0.38440150145975255,0.45,0.425,7193.0,4428.0,2765.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.43,7468.0,0.9698714515265131,0.6406955736224029,0.6731793960923623,0.6569374848573826,0.6491697911087306,0.6533204473284551,0.29740224959828604,0.5798573970935558,0.5128886017303016,0.6113488885820793,0.38865111141792075,0.45,0.43,7243.0,4428.0,2815.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.435,7468.0,0.9781735404392072,0.6406955736224029,0.6694473409801877,0.6550714573012952,0.6491697911087306,0.6520191649555099,0.29740224959828604,0.5834257839866701,0.5097516389592425,0.6061601642710472,0.39383983572895276,0.45,0.435,7305.0,4428.0,2877.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.44,7468.0,0.9870112479914301,0.6406955736224029,0.6676860346585117,0.6541908041404574,0.6491697911087306,0.6514719848053181,0.29900910551687193,0.586516045166097,0.5098054997492776,0.6007326007326007,0.3992673992673993,0.45,0.44,7371.0,4428.0,2943.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.445,7468.0,0.9935725763256561,0.6406955736224029,0.6664438502673797,0.6535697119448913,0.6491697911087306,0.6510781671159029,0.3002142474558114,0.5887946708615172,0.5098793557634304,0.5967654986522911,0.4032345013477089,0.45,0.445,7420.0,4428.0,2992.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.45,0.45,7468.0,1.0,0.6406955736224029,0.6648026315789474,0.6527491026006751,0.6491697911087306,0.6505088377075522,0.3010176754151044,0.5911777755400213,0.5091830036068841,0.5929298339582217,0.40707016604177826,0.45,0.45,7468.0,4428.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.455,0.4,7468.0,0.9163095875736476,0.6410314924691921,0.6863063795205201,0.6636689359948561,0.6491697911087306,0.6573140435481514,0.28829673272629885,0.5603627641302323,0.5144823160649851,0.6403624141458425,0.35963758585415756,0.455,0.4,6843.0,4382.0,2461.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.455,0.405,7468.0,0.9242099625066952,0.6410314924691921,0.6861111111111111,0.6635713017901517,0.6491697911087306,0.6574905824398725,0.29110873058382425,0.562628310664719,0.5174086071848979,0.6348884381338742,0.36511156186612576,0.455,0.405,6902.0,4382.0,2520.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.455,0.41,7468.0,0.9319764327798608,0.6410314924691921,0.6830876648564779,0.6620595786628349,0.6491697911087306,0.6566091954022989,0.29191215854311736,0.5657138297040047,0.5160067568011426,0.6295977011494253,0.3704022988505747,0.455,0.41,6960.0,4382.0,2578.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
