feature,gain,split
sl_mirror_close_z_5s,170.77269744873047,8
sl_signed_dollar_flow_30s_lag1s,154.8390007019043,9
sl_median_trade_size_10s,139.0305995941162,9
wick_pressure_1_lag1,138.73895072937012,9
sl_return_1s,125.94859981536865,6
sl_spread_bps_vol_60s,113.4931001663208,8
sl_signed_dollar_flow_5s,107.19140148162842,7
range_pos_10,104.99429893493652,4
ret_10_lag2,101.25722026824951,8
sl_mirror_close_z_10s,93.77369976043701,5
sl_mirror_vwap_dist_5s,90.39409923553467,4
htf_ret_15m_1,78.00022983551025,6
sl_taker_count_imbalance_5s,77.80189990997314,6
sl_taker_imbalance_delta_60s,65.95510005950928,5
ret_5_lag3,65.55671882629395,5
efficiency_5_delta_3,61.925010681152344,5
sl_spread_bps_max_10s,61.30449867248535,5
htf_close_z_15m,58.478699684143066,5
sl_spread_bps_lag5s,56.923340797424316,5
clv_1_rolling_z_24,55.432701110839844,4
close_z_term_spread__close_z_3__close_z_10,55.12809944152832,3
ret_vol_ratio__ret_10__rv_30,54.21910095214844,3
ret_5_lag1,53.994300842285156,3
sl_mirror_return_slope_10s,53.07751941680908,3
sl_ofi_1s,52.397600173950195,4
wick_pressure_1_delta_1,49.801700592041016,3
sl_microprice_premium_lag5s,49.086609840393066,4
sl_sell_run_length_10s,48.24179935455322,4
sl_taker_imbalance_delta_300s,47.89794063568115,4
sl_signed_dollar_flow_30s_z_300s,46.58300018310547,3
sl_spread_bps_max_30s,46.37449932098389,3
clv_1_delta_6,45.34650993347168,4
sl_taker_imbalance_30s_lag1s,41.24522018432617,3
abs_ret_mean_5_delta_3,37.86129951477051,3
sl_interaction__sl_mirror_ret_60s__div__sl_mirror_rv_10s,37.1151008605957,3
rv_30_delta_3,37.06470012664795,3
sl_bid_depletion_minus_replenishment_30s,37.01142978668213,3
volume_state_product__volume_z_20__relative_volume_10,36.76849985122681,3
sl_large_buy_volume_share_30s,35.99079990386963,3
sl_ask_depletion_minus_replenishment_5s,34.62150955200195,3
legal_prev_trade_count_z_3,33.97957992553711,3
sl_taker_sell_ratio_300s,33.7076997756958,2
sl_mirror_log_ret_1s,33.47909927368164,1
sl_median_trade_size_30s,33.32823085784912,3
sl_mirror_relative_trade_count_60s,33.25819969177246,2
volume_below_rolling_p20_share_20_delta_6,33.11410045623779,3
ret_10_delta_3,32.698801040649414,2
wick_imbalance_3,31.615790367126465,3
sl_return_10s_lag5s,31.30910015106201,2
legal_prev_relative_taker_buy_base_volume_3,31.001500129699707,2
relative_volume_5_delta_6,30.934639930725098,3
sl_spread_bps_lag3s,30.804329872131348,3
volume_below_rolling_p20_share_20_rolling_z_12,30.136899948120117,2
sl_last_n_trades_sell_share,29.877099990844727,2
sl_intrasecond_flow_concentration_60s,29.690570831298828,3
sl_mirror_vwap_dist_10s,29.567899703979492,2
up_ratio_5_delta_6,29.462700843811035,2
relative_volume_5_lag6,29.02150058746338,2
ret_1_lag2,28.842000007629395,2
sl_mirror_relative_trade_count_300s,28.532299995422363,2
sl_time_since_last_positive_jump,27.804800033569336,2
sl_mean_abs_return_60s,26.93269920349121,2
clv_1_lag6,26.922399520874023,2
sl_signed_dollar_flow_delta_60s,26.767200469970703,2
sl_vwap_60s,26.51140022277832,2
prev_bar_taker_buy_ratio_mean_5,26.43649959564209,2
ret_3_delta_6,26.39717960357666,2
sl_taker_imbalance_30s_lag3s,26.333900451660156,2
rv_30_delta_6,26.02530002593994,2
sl_price_minus_vwap_z_300s,25.88800048828125,2
compression_score_rolling_z_6,25.704700469970703,2
htf_close_z_15m_lag1,25.69006061553955,2
abs_ret_mean_20_delta_3,25.575379371643066,2
abs_ret_mean_20_delta_6,25.481200218200684,2
sl_microprice_premium_lag60s,25.39430046081543,2
sl_mean_interarrival_ms_10s,25.32408046722412,2
upside_rv_20,25.29069995880127,2
ret_3_lag2,24.919300079345703,2
sl_taker_buy_ratio_5s,24.69770050048828,2
sl_mean_interarrival_ms_30s,24.67930030822754,2
htf_ret_15m_1_lag6,24.485700607299805,2
sl_interaction__sl_mirror_ret_5s__div__sl_mirror_rv_10s,24.387399673461914,2
ret_term_spread__ret_10__ret_15,24.219200134277344,2
prev_bar_taker_buy_ratio_lag12,24.04129981994629,2
close_z_term_spread__close_z_5__close_z_10,23.878270149230957,2
sl_mirror_trade_count_z_5s,23.421500205993652,2
sl_spread_bps_mean_30s,23.187439918518066,2
ret_term_spread__ret_3__ret_10,23.10650062561035,1
close_location_1_lag2,22.812700271606445,2
rv_10_delta_6,22.764180183410645,2
legal_prev_relative_taker_buy_base_volume_5,21.90761947631836,2
sl_taker_sell_volume_5s,21.871549606323242,2
volume_z_3_delta_3,21.84511947631836,2
volume_below_rolling_p20_share_20,21.702529907226562,2
