decile,sample_count,p_min,p_max,p_mean,up_rate,abs_return_mean
0,822,0.39161762870498973,0.452244633592658,0.43718113738949627,0.41605839416058393,0.0010764389358656036
1,822,0.45224470489636676,0.4681099112588772,0.46052979982657566,0.46958637469586373,0.0011008624145609099
2,822,0.46811599369401424,0.4792520899315381,0.47378229357256757,0.49391727493917276,0.0010218045302979688
3,822,0.4792627440175775,0.4887230317523987,0.4840551200707521,0.5024330900243309,0.0010384639860798511
4,822,0.48874814291433394,0.4979805425043136,0.4934121955614499,0.5012165450121655,0.0010300441344459504
5,822,0.497984077174057,0.5068428851492003,0.5023699354187369,0.48905109489051096,0.0010017834261955019
6,822,0.5068610458751732,0.5169317377687705,0.511896200300628,0.537712895377129,0.001102793766875383
7,822,0.516953793709627,0.52874768688464,0.5228678368596728,0.48905109489051096,0.001105142377160497
8,822,0.5287871598148411,0.5448961444948379,0.536228355075321,0.559610705596107,0.0010881355793422663
9,822,0.5449238361307428,0.6258841648018341,0.5619286074883857,0.5279805352798054,0.001147114687976649
