t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.5,0.4,8220.0,0.47712895377128955,0.5229826353421859,0.5,0.5114913176710929,0.5232360097323601,0.5229474757776644,0.998470168281489,0.0015298317185109638,0.5,0.4,3922.0,3916.0,6.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.405,8220.0,0.478345498783455,0.5229826353421859,0.375,0.44899131767109296,0.5232360097323601,0.5223804679552391,0.9959308240081384,0.004069175991861648,0.5,0.405,3932.0,3916.0,16.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.41,8220.0,0.4794403892944039,0.5229826353421859,0.44,0.481491317671093,0.5232360097323601,0.5224562293834052,0.9936564323775692,0.006343567622430855,0.5,0.41,3941.0,3916.0,25.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.415,8220.0,0.48236009732360097,0.5229826353421859,0.5918367346938775,0.5574096850180317,0.5232360097323601,0.5238335435056747,0.987641866330391,0.01235813366960908,0.5,0.415,3965.0,3916.0,49.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.42,8220.0,0.48686131386861314,0.5229826353421859,0.627906976744186,0.575444806043186,0.5232360097323601,0.5252373813093453,0.9785107446276862,0.02148925537231384,0.5,0.42,4002.0,3916.0,86.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.425,8220.0,0.4912408759124088,0.5229826353421859,0.639344262295082,0.5811634488186339,0.5232360097323601,0.5264982664685488,0.9697870232788509,0.030212976721149084,0.5,0.425,4038.0,3916.0,122.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.43,8220.0,0.49951338199513384,0.5229826353421859,0.6,0.561491317671093,0.5232360097323601,0.5265465172917682,0.9537262542620555,0.046273745737944474,0.5,0.43,4106.0,3916.0,190.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.435,8220.0,0.5110705596107056,0.5229826353421859,0.6385964912280702,0.5807895632851281,0.5232360097323601,0.5308259938109974,0.9321590097595811,0.06784099024041895,0.5,0.435,4201.0,3916.0,285.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.44,8220.0,0.5273722627737226,0.5229826353421859,0.60381861575179,0.5634006255469879,0.5232360097323601,0.5307958477508651,0.9033448673587082,0.09665513264129182,0.5,0.44,4335.0,3916.0,419.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.445,8220.0,0.5464720194647202,0.5229826353421859,0.5920138888888888,0.5574982621155373,0.5232360097323601,0.5318343722172751,0.8717720391807658,0.12822796081923418,0.5,0.445,4492.0,3916.0,576.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.45,8220.0,0.5671532846715328,0.5229826353421859,0.5817694369973191,0.5523760361697525,0.5232360097323601,0.5323895323895323,0.83998283998284,0.16001716001716002,0.5,0.45,4662.0,3916.0,746.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.455,8220.0,0.5935523114355231,0.5229826353421859,0.5856697819314641,0.554326208636825,0.5232360097323601,0.5353556056568969,0.8026234884197582,0.19737651158024186,0.5,0.455,4879.0,3916.0,963.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.46,8220.0,0.6221411192214112,0.5229826353421859,0.5701168614357263,0.5465497483889561,0.5232360097323601,0.534024247164646,0.765741102854908,0.2342588971450919,0.5,0.46,5114.0,3916.0,1198.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.465,8220.0,0.6543795620437957,0.5229826353421859,0.5645933014354066,0.5437879683887963,0.5232360097323601,0.5343000557724484,0.7280163599182005,0.2719836400817996,0.5,0.465,5379.0,3916.0,1463.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.47,8220.0,0.6934306569343066,0.5229826353421859,0.5538116591928252,0.5383971472675055,0.5232360097323601,0.5326315789473685,0.6870175438596491,0.31298245614035086,0.5,0.47,5700.0,3916.0,1784.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.475,8220.0,0.7347931873479319,0.5229826353421859,0.544256120527307,0.5336193779347465,0.5232360097323601,0.5304635761589404,0.6483443708609271,0.35165562913907283,0.5,0.475,6040.0,3916.0,2124.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.5,0.48,8220.0,0.7827250608272506,0.5229826353421859,0.5405083399523432,0.5317454876472645,0.5232360097323601,0.529841467205471,0.6086415915449176,0.39135840845508235,0.5,0.48,6434.0,3916.0,2518.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
