t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.5,0.25,7468.0,0.6032404927691484,0.6528357476061871,0.8125,0.7326678738030936,0.65037493304767,0.6681465038845728,0.9041065482796893,0.09589345172031076,0.5,0.25,4505.0,4073.0,432.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.20286555972147838,0.4474231403535528,0.45340873420443667,4073.0,432.0,4505.0,0.6032404927691484,0.6681465038845728,4825.0,0.6217616580310881,0.9626666666666667,3000.0,2643.0,0.5694286795308362,0.08106312292358804,1505.0
0.5,0.255,7468.0,0.6069898232458489,0.6528357476061871,0.8108695652173913,0.7318526564117892,0.65037493304767,0.6688727112287668,0.8985219501433929,0.1014780498566071,0.5,0.255,4533.0,4073.0,460.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.20500803427959288,0.4483200803924892,0.4572805083816795,4073.0,460.0,4533.0,0.6069898232458489,0.6688727112287668,4825.0,0.6263212435233161,0.9629384513567174,3022.0,2643.0,0.5716988270904275,0.08074123097286565,1511.0
0.5,0.26,7468.0,0.6104713444027852,0.6528357476061871,0.8045267489711934,0.7286812482886902,0.65037493304767,0.6690063610440886,0.8933976749287125,0.10660232507128756,0.5,0.26,4559.0,4073.0,486.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.20634708087841455,0.44951321644884407,0.4590456372085279,4073.0,486.0,4559.0,0.6104713444027852,0.6690063610440886,4825.0,0.6300518134715026,0.9631578947368421,3040.0,2643.0,0.5747256905032161,0.08031599736668861,1519.0
0.5,0.265,7468.0,0.6155597214783074,0.6528357476061871,0.7977099236641222,0.7252728356351547,0.65037493304767,0.6693495758103111,0.886012616924081,0.11398738307591907,0.5,0.265,4597.0,4073.0,524.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.20848955543652917,0.45114862630943375,0.4621305336603871,4073.0,524.0,4597.0,0.6155597214783074,0.6693495758103111,4825.0,0.6356476683937824,0.9634822301923704,3067.0,2643.0,0.5788876276958003,0.07973856209150326,1530.0
0.5,0.27,7468.0,0.6185056239957151,0.6528357476061871,0.7912087912087912,0.7220222694074891,0.65037493304767,0.6691924659017103,0.8817925957999567,0.1182074042000433,0.5,0.27,4619.0,4073.0,546.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.2092929833958222,0.45233430148502607,0.46269536205569095,4073.0,546.0,4619.0,0.6185056239957151,0.6691924659017103,4825.0,0.6385492227979275,0.9636481661798117,3081.0,2643.0,0.5819144911085887,0.07932379713914174,1538.0
0.5,0.275,7468.0,0.6226566684520621,0.6528357476061871,0.7920277296360485,0.7224317386211179,0.65037493304767,0.6701075268817205,0.8759139784946236,0.12408602150537634,0.5,0.275,4650.0,4073.0,577.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.21183717193358337,0.45322152228158735,0.4674031605276868,4073.0,577.0,4650.0,0.6226566684520621,0.6701075268817205,4825.0,0.6437305699481866,0.9639407598197038,3106.0,2643.0,0.58418463866818,0.07901554404145078,1544.0
0.5,0.28,7468.0,0.6276111408677022,0.6528357476061871,0.7850162866449512,0.7189260171255691,0.65037493304767,0.6701514828248346,0.8689993599317261,0.13100064006827394,0.5,0.28,4687.0,4073.0,614.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.21357793251205137,0.4549907737282432,0.46941156797965566,4073.0,614.0,4687.0,0.6276111408677022,0.6701514828248346,4825.0,0.6489119170984456,0.9642286809326094,3131.0,2643.0,0.5887249337873628,0.07840616966580977,1556.0
0.5,0.285,7468.0,0.6331012319228709,0.6528357476061871,0.783206106870229,0.7180209272382081,0.65037493304767,0.6708967851099831,0.8614636209813875,0.13853637901861252,0.5,0.285,4728.0,4073.0,655.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.21638993036957685,0.45645991146720327,0.4740611934003858,4073.0,655.0,4728.0,0.6331012319228709,0.6708967851099831,4825.0,0.6553367875647669,0.9645793801391525,3162.0,2643.0,0.5925085130533485,0.07790549169859515,1566.0
0.5,0.29,7468.0,0.6392608462774505,0.6528357476061871,0.7831669044222539,0.7180013260142205,0.65037493304767,0.6719731881022204,0.8531629660661919,0.14683703393380812,0.5,0.29,4774.0,4073.0,701.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.2198714515265132,0.4579243358628898,0.4801479945637709,4073.0,701.0,4774.0,0.6392608462774505,0.6719731881022204,4825.0,0.6627979274611399,0.9649781113195748,3198.0,2643.0,0.5962920923193341,0.07741116751269035,1576.0
0.5,0.295,7468.0,0.6443492233529727,0.6528357476061871,0.7821380243572396,0.7174868859817134,0.65037493304767,0.6726932668329177,0.8464256026600167,0.15357439733998338,0.5,0.295,4812.0,4073.0,739.0,0.7063596649940493,0.21738940698210066,0.6235501727399672,0.22254954472415647,0.4592383251803013,0.4846057755235943,4073.0,739.0,4812.0,0.6443492233529727,0.6726932668329177,4825.0,0.6688082901554404,0.96529284164859,3227.0,2643.0,0.5996973136587211,0.07697160883280757,1585.0
