regime,sample_count
d0_asia_fm_no,185
d0_asia_fm_yes,184
d0_europe_fm_no,155
d0_europe_fm_yes,195
d0_us_fm_no,180
d0_us_fm_yes,190
d1_asia_fm_no,172
d1_asia_fm_yes,185
d1_europe_fm_no,171
d1_europe_fm_yes,178
d1_us_fm_no,163
d1_us_fm_yes,198
d2_asia_fm_no,171
d2_asia_fm_yes,186
d2_europe_fm_no,162
d2_europe_fm_yes,201
d2_us_fm_no,177
d2_us_fm_yes,187
d3_asia_fm_no,176
d3_asia_fm_yes,196
d3_europe_fm_no,162
d3_europe_fm_yes,203
d3_us_fm_no,150
d3_us_fm_yes,212
d4_asia_fm_no,146
d4_asia_fm_yes,204
d4_europe_fm_no,170
d4_europe_fm_yes,180
d4_us_fm_no,157
d4_us_fm_yes,186
d5_asia_fm_no,152
d5_asia_fm_yes,183
d5_europe_fm_no,133
d5_europe_fm_yes,166
d5_us_fm_no,146
d5_us_fm_yes,189
d6_asia_fm_no,156
d6_asia_fm_yes,194
d6_europe_fm_no,164
d6_europe_fm_yes,202
d6_us_fm_no,173
d6_us_fm_yes,228
