t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.45,0.3,7468.0,0.7487948580610605,0.6238799749947905,0.7730138713745272,0.6984469231846588,0.6501071237279057,0.6450286123032904,0.8581902718168812,0.14180972818311874,0.45,0.3,5592.0,4799.0,793.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.21719335832886988,0.515558677422944,0.42127766991436555,4799.0,793.0,5592.0,0.7487948580610605,0.6450286123032904,4825.0,0.7570984455958549,0.8828360251847797,3653.0,2643.0,0.7336360196746122,0.19700876740587933,1939.0
0.45,0.305,7468.0,0.7544188537761114,0.6238799749947905,0.7688622754491018,0.6963711252219462,0.6501071237279057,0.645367412140575,0.851792687255946,0.14820731274405397,0.45,0.305,5634.0,4799.0,835.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.21933583288698438,0.5172441497441643,0.4240470056461165,4799.0,835.0,5634.0,0.7544188537761114,0.645367412140575,4825.0,0.7631088082901555,0.8837588267246062,3682.0,2643.0,0.7385546727203935,0.19569672131147542,1952.0
0.45,0.31,7468.0,0.7603106588109266,0.6238799749947905,0.7679180887372014,0.6958990318659959,0.6501071237279057,0.6461782317717506,0.8451919690031702,0.15480803099682988,0.45,0.31,5678.0,4799.0,879.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.22228173540439206,0.5186660406304497,0.42856427448807677,4799.0,879.0,5678.0,0.7603106588109266,0.6461782317717506,4825.0,0.7699481865284974,0.8847913862718708,3715.0,2643.0,0.7427166099129777,0.1946001018848701,1963.0
0.45,0.315,7468.0,0.766336368505624,0.6238799749947905,0.7608225108225108,0.6923512429086507,0.6501071237279057,0.6459898654551809,0.838546217019046,0.16145378298095406,0.45,0.315,5723.0,4799.0,924.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.22375468666309595,0.5208558734633449,0.4295904069877837,4799.0,924.0,5723.0,0.766336368505624,0.6459898654551809,4825.0,0.7757512953367875,0.8856532193427732,3743.0,2643.0,0.7491486946651532,0.19292929292929292,1980.0
0.45,0.32,7468.0,0.7722281735404392,0.6238799749947905,0.7551652892561983,0.6895226321254944,0.6501071237279057,0.6459164210161262,0.8321484307265476,0.1678515692734524,0.45,0.32,5767.0,4799.0,968.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.2253615425816818,0.5229085154014789,0.4309769987368702,4799.0,968.0,5767.0,0.7722281735404392,0.6459164210161262,4825.0,0.7815544041450777,0.8865022540440202,3771.0,2643.0,0.7552024214907302,0.19138276553106212,1996.0
0.45,0.325,7468.0,0.7797268344938404,0.6238799749947905,0.7490234375,0.6864517062473953,0.6501071237279057,0.6458869998282672,0.8241456294006526,0.17585437059934741,0.45,0.325,5823.0,4799.0,1024.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.2275040171397965,0.5254630421609325,0.4329591215477326,4799.0,1024.0,5823.0,0.7797268344938404,0.6458869998282672,4825.0,0.7890155440414508,0.8875755187811926,3807.0,2643.0,0.7627695800227015,0.18948412698412698,2016.0
0.45,0.33,7468.0,0.7857525441885378,0.6238799749947905,0.7483629560336763,0.6861214655142334,0.6501071237279057,0.6465576005453306,0.8178254942058623,0.1821745057941377,0.45,0.33,5868.0,4799.0,1069.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.23031601499732193,0.5269898145084095,0.437040733343522,4799.0,1069.0,5868.0,0.7857525441885378,0.6465576005453306,4825.0,0.7958549222797927,0.8885416666666667,3840.0,2643.0,0.7673098751418842,0.1883629191321499,2028.0
0.45,0.335,7468.0,0.7925816818425281,0.6238799749947905,0.7446428571428572,0.6842614160688238,0.6501071237279057,0.6467308667004562,0.810778847778341,0.18922115222165906,0.45,0.335,5919.0,4799.0,1120.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.23259239421531877,0.5291452010682934,0.43956251279561265,4799.0,1120.0,5919.0,0.7925816818425281,0.6467308667004562,4825.0,0.8029015544041451,0.8895198760970573,3874.0,2643.0,0.7737419598940598,0.18679706601466992,2045.0
0.45,0.34,7468.0,0.7983395822174612,0.6238799749947905,0.7394668959587274,0.681673435476759,0.6501071237279057,0.6464273733646427,0.8049312311304931,0.1950687688695069,0.45,0.34,5962.0,4799.0,1163.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.23379753615425816,0.5312918435583229,0.44005481919014794,4799.0,1163.0,5962.0,0.7983395822174612,0.6464273733646427,4825.0,0.8082901554404145,0.8902564102564102,3900.0,2643.0,0.7801740446462353,0.18525703200775945,2062.0
0.45,0.345,7468.0,0.8036957686127477,0.6238799749947905,0.7381546134663342,0.6810172942305623,0.6501071237279057,0.6467844051982673,0.799566811062979,0.200433188937021,0.45,0.345,6002.0,4799.0,1203.0,0.7056259563557161,0.2176299168786317,0.624098607374086,0.2359400107123729,0.5328019134257941,0.4428287601208726,4799.0,1203.0,6002.0,0.8036957686127477,0.6467844051982673,4825.0,0.8140932642487047,0.8910386965376782,3928.0,2643.0,0.784714339765418,0.18418514946962392,2074.0
