variant,final_direction_weight,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,selected_t_up,selected_t_down,continuation_accepted_accuracy,reversal_accepted_accuracy,target_met
alpha_1.00,1.0,0.7055436529191216,0.698994116530651,0.6093189490380648,0.2807980717728978,5269.0,0.575,0.43,0.9950738916256158,0.02910216718266254,False
alpha_0.90,0.9,0.709962506695233,0.6972840437570728,0.6042574410646117,0.2801285484734868,5302.0,0.57,0.43,0.9967338051170387,0.0214987714987715,False
alpha_0.80,0.8,0.7027316550615962,0.6960746951219512,0.5962973400945728,0.2755757900374933,5248.0,0.575,0.435,0.9983516483516484,0.01181592039800995,False
alpha_0.70,0.7,0.7074183181574719,0.693923906871096,0.5896370894985047,0.2743706480985538,5283.0,0.575,0.44,0.99945295404814,0.007375537799631223,False
alpha_0.60,0.6,0.7024638457418318,0.6938619900876859,0.5873216679393348,0.27236207820032143,5246.0,0.575,0.44,1.0,0.0018645121193287756,False
alpha_0.50,0.5,0.7013926084627745,0.6926307751050019,0.581977332032772,0.27021960364220676,5238.0,0.585,0.45,1.0,0.0012406947890818859,False
alpha_0.30,0.3,0.7054097482592394,0.6911541381928625,0.5777813710392292,0.26968398500267804,5268.0,0.58,0.45,1.0,0.0,False
alpha_0.40,0.4,0.7047402249598286,0.6904807144214327,0.5748462203111486,0.26847884306373865,5263.0,0.6,0.465,1.0,0.001838235294117647,False
alpha_0.20,0.2,0.7036689876807712,0.6896289248334919,0.5710552959748086,0.26687198714515264,5255.0,0.58,0.45,1.0,0.0,False
alpha_0.10,0.1,0.7068826995179432,0.6881985224474332,0.5667359953254344,0.2660685591858596,5279.0,0.57,0.445,1.0,0.0,False
alpha_0.00,0.0,0.7028655597214784,0.6877500476281196,0.5633716554899156,0.2639260846277451,5249.0,0.56,0.435,1.0,0.0,False
