t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.45,0.3,7468.0,0.821906802356722,0.5728952772073922,0.8537414965986394,0.7133183869030157,0.6104713444027852,0.5863473444118605,0.9521016617790812,0.047898338220918865,0.45,0.3,6138.0,5844.0,294.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.14193893947509373,0.5830814106459012,0.2434290253188875,5844.0,294.0,6138.0,0.821906802356722,0.5863473444118605,4825.0,0.823419689119171,0.6838660961490058,3973.0,2643.0,0.8191449110858873,0.40739030023094686,2165.0
0.45,0.305,7468.0,0.8237814675950723,0.5728952772073922,0.8538961038961039,0.713395690551748,0.6104713444027852,0.586963589076723,0.9499349804941483,0.05006501950585176,0.45,0.305,6152.0,5844.0,308.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.1432779860739153,0.5833110154630877,0.24562880226111897,5844.0,308.0,6152.0,0.8237814675950723,0.586963589076723,4825.0,0.8259067357512954,0.6848180677540778,3985.0,2643.0,0.8199016269390844,0.40701430549146284,2167.0
0.45,0.31,7468.0,0.827664702731655,0.5728952772073922,0.8427299703264095,0.7078126237669009,0.6104713444027852,0.5876071833036726,0.9454780779809092,0.054521922019090764,0.45,0.31,6181.0,5844.0,337.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.14501874665238354,0.5842285323737927,0.24822263654798657,5844.0,337.0,6181.0,0.827664702731655,0.5876071833036726,4825.0,0.830259067357513,0.6864702945581628,4006.0,2643.0,0.8229284903518729,0.40551724137931033,2175.0
0.45,0.315,7468.0,0.8311462238885913,0.5728952772073922,0.8319559228650137,0.702425600036203,0.6104713444027852,0.5880457547929757,0.9415176413726438,0.058482358627356214,0.45,0.315,6207.0,5844.0,363.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.1463577932512052,0.5851446106038173,0.25012243229955916,5844.0,363.0,6207.0,0.8311462238885913,0.5880457547929757,4825.0,0.8339896373056995,0.6878727634194831,4024.0,2643.0,0.8259553537646613,0.4040311497938617,2183.0
0.45,0.32,7468.0,0.834092126405999,0.5728952772073922,0.8233766233766234,0.6981359502920078,0.6104713444027852,0.5883769465403756,0.9381923262160861,0.06180767378391395,0.45,0.32,6229.0,5844.0,385.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.14742903053026243,0.5859450041922606,0.2516089897097031,5844.0,385.0,6229.0,0.834092126405999,0.5883769465403756,4825.0,0.8370984455958549,0.6890319385986631,4039.0,2643.0,0.8286038592508513,0.40273972602739727,2190.0
0.45,0.325,7468.0,0.8365024102838778,0.5728952772073922,0.8188585607940446,0.6958769190007184,0.6104713444027852,0.5887626060509045,0.9354890347366736,0.06451096526332639,0.45,0.325,6247.0,5844.0,403.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.14850026780931982,0.5865160451660969,0.25319046091444214,5844.0,403.0,6247.0,0.8365024102838778,0.5887626060509045,4825.0,0.8397927461139897,0.6900296150049359,4052.0,2643.0,0.8304956488838441,0.4018223234624146,2195.0
0.45,0.33,7468.0,0.8386448848419925,0.5728952772073922,0.8114558472553699,0.692175562231381,0.6104713444027852,0.588855181223056,0.9330991537601788,0.06690084623982118,0.45,0.33,6263.0,5844.0,419.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.14903588644884838,0.5872005613047148,0.253807465915397,5844.0,419.0,6263.0,0.8386448848419925,0.588855181223056,4825.0,0.8418652849740933,0.690792712949286,4062.0,2643.0,0.8327657964434355,0.400726942298955,2201.0
0.45,0.335,7468.0,0.8413229780396357,0.5728952772073922,0.8132118451025057,0.6930535611549489,0.6104713444027852,0.5896864555148814,0.930128919306064,0.06987108069393602,0.45,0.335,6283.0,5844.0,439.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.1509105516871987,0.587542520313397,0.2568504345978271,5844.0,439.0,6283.0,0.8413229780396357,0.5896864555148814,4825.0,0.8453886010362694,0.6920813924981614,4079.0,2643.0,0.8339008702232312,0.40018148820326677,2204.0
0.45,0.34,7468.0,0.8441349758971612,0.5728952772073922,0.8021739130434783,0.6875345951254352,0.6104713444027852,0.5896256345177665,0.9270304568527918,0.07296954314720812,0.45,0.34,6304.0,5844.0,460.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.15131226566684522,0.5885672052664488,0.25708579124510517,5844.0,460.0,6304.0,0.8441349758971612,0.5896256345177665,4825.0,0.8476683937823835,0.6929095354523227,4090.0,2643.0,0.8376844494892168,0.3988256549232159,2214.0
0.45,0.345,7468.0,0.8468130690948045,0.5728952772073922,0.7916666666666666,0.6822809719370294,0.6104713444027852,0.5895003162555345,0.9240986717267552,0.07590132827324478,0.45,0.345,6324.0,5844.0,480.0,0.6752154959494171,0.22612182798031485,0.6425889829504942,0.1515800749866095,0.5895901093591186,0.25709399221668805,5844.0,480.0,6324.0,0.8468130690948045,0.5895003162555345,4825.0,0.8499481865284975,0.6937332357961473,4101.0,2643.0,0.8410896708286039,0.39721097615834455,2223.0
