t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.45,0.3,7468.0,0.6353776111408677,0.4842230130486358,0.5509433962264151,0.5175832046375255,0.4528655597214783,0.4916754478398314,0.8883034773445733,0.11169652265542676,0.45,0.3,4745.0,4215.0,530.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.010578468130690931,0.5683115691553176,-0.018613853218602826,4215.0,530.0,4745.0,0.6353776111408677,0.4916754478398314,4825.0,0.6451813471502591,0.2942499196916158,3113.0,2643.0,0.6174801362088536,0.8682598039215687,1632.0
0.45,0.305,7468.0,0.6510444563470809,0.4842230130486358,0.5316846986089645,0.5079538558288001,0.4528655597214783,0.4905388728918141,0.8669271904566023,0.13307280954339779,0.45,0.305,4862.0,4215.0,647.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.012319228709159061,0.5759182602836274,-0.021390585363784274,4215.0,647.0,4862.0,0.6510444563470809,0.4905388728918141,4825.0,0.658860103626943,0.2887700534759358,3179.0,2643.0,0.6367763904653803,0.8716577540106952,1683.0
0.45,0.31,7468.0,0.6645688269951794,0.4842230130486358,0.516042780748663,0.5001328968986494,0.4528655597214783,0.4890187386661294,0.849284706830546,0.15071529316945395,0.45,0.31,4963.0,4215.0,748.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.014595607927155831,0.5827368337947822,-0.02504665413392394,4215.0,748.0,4963.0,0.6645688269951794,0.4890187386661294,4825.0,0.6710880829015544,0.2835083384805435,3238.0,2643.0,0.6526674233825198,0.8747826086956522,1725.0
0.45,0.315,7468.0,0.6806373861810391,0.4842230130486358,0.511520737327189,0.49787187518791237,0.4528655597214783,0.48888451701750935,0.8292347039150109,0.1707652960849892,0.45,0.315,5083.0,4215.0,868.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.01513122656668452,0.5898171804668475,-0.025654095994131553,4215.0,868.0,5083.0,0.6806373861810391,0.48888451701750935,4825.0,0.6843523316062177,0.2786190187764991,3302.0,2643.0,0.6738554672720394,0.8787198203256598,1781.0
0.45,0.32,7468.0,0.6992501339046598,0.4842230130486358,0.5044687189672294,0.4943458660079326,0.4528655597214783,0.4881271543469935,0.8071620068939104,0.19283799310608962,0.45,0.32,5222.0,4215.0,1007.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.01660417782538831,0.5982701361968723,-0.027753646422900152,4215.0,1007.0,5222.0,0.6992501339046598,0.4881271543469935,4825.0,0.7001036269430052,0.2729425695677916,3378.0,2643.0,0.6976920166477488,0.8823210412147505,1844.0
0.45,0.325,7468.0,0.715720407070166,0.4842230130486358,0.5026548672566372,0.4934389401526365,0.4528655597214783,0.4881197380729654,0.7885874649204865,0.21141253507951357,0.45,0.325,5345.0,4215.0,1130.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.017005891805034826,0.6052793978301264,-0.028095936960682053,4215.0,1130.0,5345.0,0.715720407070166,0.4881197380729654,4825.0,0.7133678756476683,0.2684485764090645,3442.0,2643.0,0.720015134317064,0.8854440357330531,1903.0
0.45,0.33,7468.0,0.7354043920728441,0.4842230130486358,0.5035238841033672,0.4938734485760015,0.4528655597214783,0.48871085214857973,0.7674799708667153,0.2325200291332848,0.45,0.33,5492.0,4215.0,1277.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.016604177825388353,0.6131918826510314,-0.027078274020202287,4215.0,1277.0,5492.0,0.7354043920728441,0.48871085214857973,4825.0,0.7284974093264248,0.2631578947368421,3515.0,2643.0,0.7480136208853575,0.8897319170460294,1977.0
0.45,0.335,7468.0,0.7506695232994108,0.4842230130486358,0.49892163910855497,0.49157232607859536,0.4528655597214783,0.4878701391366393,0.7518729932215483,0.24812700677845165,0.45,0.335,5606.0,4215.0,1391.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.018211033743974325,0.6200324818279221,-0.02937109631786749,4215.0,1391.0,5606.0,0.7506695232994108,0.4878701391366393,4825.0,0.7425906735751295,0.25955902874686015,3583.0,2643.0,0.7654180855088915,0.8922392486406328,2023.0
0.45,0.34,7468.0,0.765532940546331,0.4842230130486358,0.49533954727030627,0.48978128015947103,0.4528655597214783,0.48714360678677626,0.7372747944726254,0.2627252055273745,0.45,0.34,5717.0,4215.0,1502.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.019683985002678123,0.6265847610455465,-0.03141472028434361,4215.0,1502.0,5717.0,0.765532940546331,0.48714360678677626,4825.0,0.7558549222797928,0.2558267068823691,3647.0,2643.0,0.7832009080590239,0.8946859903381642,2070.0
0.45,0.345,7468.0,0.782672737011248,0.4842230130486358,0.4883435582822086,0.4862832856654222,0.4528655597214783,0.4853721129170231,0.7211291702309667,0.2788708297690334,0.45,0.345,5845.0,4215.0,1630.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.022897696839850035,0.6346536196426749,-0.03607904553154835,4215.0,1630.0,5845.0,0.782672737011248,0.4853721129170231,4825.0,0.7724352331606218,0.25140863965656024,3727.0,2643.0,0.8013620885357549,0.8970727101038716,2118.0
