p_follow_cutoff,base_band,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy
0.35,0.03,7468.0,0.8915372254954472,0.6649581872133801,0.6662148424262961,0.6655865148198381,0.6491697911087306,0.6655151697206368,0.5567738059477321,0.44322619405226793,0.35,0.03,6658.0,3707.0,2951.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29512587038028926,0.5460821161305129,0.5404422918507636,3707.0,2951.0,6658.0,0.8915372254954472,0.6655151697206368
0.35,0.05,7468.0,0.8893947509373327,0.666486047141696,0.6662148424262961,0.6663504447839961,0.6491697911087306,0.6663655525444143,0.5557061126166817,0.44429388738331826,0.35,0.05,6642.0,3691.0,2951.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2959292983395822,0.5447317929943829,0.5432568874176832,3691.0,2951.0,6642.0,0.8893947509373327,0.6663655525444143
0.35,0.07,7468.0,0.886448848419925,0.6669383319750067,0.6658727458319156,0.6664055389034611,0.6491697911087306,0.6664652567975831,0.5560422960725075,0.44395770392749245,0.35,0.07,6620.0,3681.0,2939.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2951258703802892,0.5437476335762924,0.5427625835154656,3681.0,2939.0,6620.0,0.886448848419925,0.6664652567975831
0.35,0.1,7468.0,0.8831012319228709,0.6670299727520436,0.6656410256410257,0.6663354991965347,0.6491697911087306,0.6664139499620925,0.5564821834723275,0.44351781652767247,0.35,0.1,6595.0,3670.0,2925.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2939207284413497,0.5427616896399013,0.5415281403452651,3670.0,2925.0,6595.0,0.8831012319228709,0.6664139499620925
0.4,0.03,7468.0,0.8940814140332084,0.6644168466522679,0.6656575849310461,0.665037215791657,0.6491697911087306,0.6649692975887375,0.554740152763217,0.44525984723678297,0.4,0.03,6677.0,3704.0,2973.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2949919657204071,0.5473067916227613,0.5389883155766397,3704.0,2973.0,6677.0,0.8940814140332084,0.6649692975887375
0.4,0.05,7468.0,0.8851098018211033,0.6659334616442123,0.6656575849310461,0.6657955232876291,0.6491697911087306,0.6658093797276853,0.5502269288956128,0.4497730711043873,0.4,0.05,6610.0,3637.0,2973.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2935190144617032,0.5438707508955598,0.5396852358366079,3637.0,2973.0,6610.0,0.8851098018211033,0.6658093797276853
0.4,0.07,7468.0,0.8722549544724156,0.6679676609980485,0.6665527844209088,0.6672602227094786,0.6491697911087306,0.6673319005219527,0.5506601166717838,0.44933988332821617,0.4,0.07,6514.0,3587.0,2927.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29191215854311725,0.5386755962215564,0.5419071526363601,3587.0,2927.0,6514.0,0.8722549544724156,0.6673319005219527
0.4,0.1,7468.0,0.8604713444027852,0.6696781479390175,0.6667822468793343,0.6682301974091759,0.6491697911087306,0.6683784624961095,0.55119825708061,0.44880174291938996,0.4,0.1,6426.0,3542.0,2884.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.28976968398500264,0.534182394139765,0.5424545757477482,3542.0,2884.0,6426.0,0.8604713444027852,0.6683784624961095
0.45,0.03,7468.0,0.8975629351901446,0.663786119362679,0.664,0.6638930596813395,0.6491697911087306,0.6638818439504699,0.5524392063255259,0.4475607936744741,0.45,0.03,6703.0,3703.0,3000.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29418853776111403,0.5492605927194444,0.5356083098999639,3703.0,3000.0,6703.0,0.8975629351901446,0.6638818439504699
0.45,0.05,7468.0,0.8826995179432244,0.6664810690423163,0.664,0.6652405345211582,0.6491697911087306,0.6653519417475728,0.5449029126213593,0.4550970873786408,0.45,0.05,6592.0,3592.0,3000.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29191215854311736,0.5435013152698469,0.5370955880726503,3592.0,3000.0,6592.0,0.8826995179432244,0.6653519417475728
