path,rows,best_acc_cov70,best_score_cov70,max_coverage_acc75,best_acc_any,coverage_at_best_acc_any
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_auxiliary_ablation\impulse_flow_subset_frontier.csv,63,0.6942808284248527,0.5899471883558022,0.2240224959828602,0.7821656050955414,0.1051151580074986
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\hybrid_continuation_relative_reversal_frontier.csv,99,0.6924103737604882,0.5814358737061804,0.0,0.6979207532365633,0.6826459560792716
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\impulse_meta_blend_regime_threshold_frontier.csv,960,0.6904989485757981,0.5749904448482764,0.425682913765399,0.8055207026348808,0.2134440278521692
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_auxiliary_ablation\all_features_frontier.csv,63,0.6885521885521886,0.5781833368155689,0.2391537225495447,0.7894302229562346,0.1621585431173005
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\direct_impulse_flow_subset_frontier.csv,960,0.6878822629969419,0.5632694567349523,0.3947509373326192,0.8567375886524823,0.0944027852169255
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_auxiliary_ablation\minus_broad_volatility_frontier.csv,63,0.687018800358102,0.5781833368155689,0.2355382967327263,0.7900826446280992,0.1620246384574183
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\direct_reversal_expanded_frontier.csv,960,0.6864131473342251,0.5622791190813444,0.3614086770219604,0.8560311284046692,0.0688269951794322
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\flow_imbalance_ablation_frontier.csv,960,0.6858937749857225,0.5563628415279218,0.3375736475629352,0.865979381443299,0.0519550080342795
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_direction_meta_gate\frontier.csv,231,0.6827560098428923,0.5458120406361402,0.0,0.7117787822387663,0.5036154258168184
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_rescue_gate\frontier.csv,840,0.679220287660863,0.5376133607741439,0.0,0.7388342165026495,0.1768880557043385
artifacts\data_v2\reports\reversal_hybrid\20260611_four_bucket_abstain_gate\gate_frontier.csv,16,0.6778249787595582,0.5562216732502638,0.0,0.6778249787595582,0.7880289234065345
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_precision_gate\frontier.csv,1536,0.6656485806683435,0.5078232614360705,0.0,0.6772738661989476,0.5344134975897161
artifacts\data_v2\reports\reversal_hybrid\20260611_reversal_accuracy_optimization\asymmetric_follow_relative_meta_frontier.csv,960,0.6265750286368843,0.3469420531159824,0.0,0.6624775583482945,0.3729244777718264
