cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.01,7468.0,0.6826459560792716,0.6998242530755712,0.6955170883266756,0.6976706707011233,0.611140867702196,0.6979207532365633,0.5580619850921931,0.441938014907807,0.99,0.01,5098.0,2845.0,2253.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422067,0.4541070096557996,0.5950571074580541,2845.0,2253.0,5098.0,0.6826459560792716,0.6979207532365633,4825.0,0.7374093264248704,1.0,3558.0,2643.0,0.5826712069617859,0.0,1540.0
0.015,7468.0,0.6826459560792716,0.6998242530755712,0.6955170883266756,0.6976706707011233,0.611140867702196,0.6979207532365633,0.5580619850921931,0.441938014907807,0.985,0.015,5098.0,2845.0,2253.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422067,0.4541070096557996,0.5950571074580541,2845.0,2253.0,5098.0,0.6826459560792716,0.6979207532365633,4825.0,0.7374093264248704,1.0,3558.0,2643.0,0.5826712069617859,0.0,1540.0
0.02,7468.0,0.6827798607391538,0.6995783555867885,0.6955170883266756,0.6975477219567321,0.611140867702196,0.6977838791919985,0.5581486565993332,0.4418513434006668,0.98,0.02,5099.0,2846.0,2253.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27008569898232465,0.4542544230697314,0.5945692221490257,2846.0,2253.0,5099.0,0.6827798607391538,0.6977838791919985,4825.0,0.7376165803108808,0.9997190221972464,3559.0,2643.0,0.5826712069617859,0.0,1540.0
0.025,7468.0,0.6829137653990359,0.6996838777660696,0.6955170883266756,0.6976004830463726,0.611140867702196,0.697843137254902,0.558235294117647,0.44176470588235295,0.975,0.025,5100.0,2847.0,2253.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422068,0.4542544230697314,0.5948640011386881,2847.0,2253.0,5100.0,0.6829137653990359,0.697843137254902,4825.0,0.7376165803108808,0.9997190221972464,3559.0,2643.0,0.5830495648883844,0.0006489292667099286,1541.0
0.03,7468.0,0.6830476700589181,0.699438202247191,0.6955170883266756,0.6974776452869333,0.611140867702196,0.6977063320917467,0.5583218976671241,0.4416781023328759,0.97,0.03,5101.0,2848.0,2253.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2700856989823246,0.4544017886609787,0.5943763993055733,2848.0,2253.0,5101.0,0.6830476700589181,0.6977063320917467,4825.0,0.7378238341968912,0.999438202247191,3560.0,2643.0,0.5830495648883844,0.0006489292667099286,1541.0
0.035,7468.0,0.6833154793786824,0.699438202247191,0.6953436807095343,0.6973909414783627,0.611140867702196,0.6976288457769939,0.5581030766215952,0.44189692337840486,0.965,0.035,5103.0,2848.0,2255.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2700856989823246,0.45454910647605384,0.594183763941802,2848.0,2255.0,5103.0,0.6833154793786824,0.6976288457769939,4825.0,0.7380310880829015,0.9991575400168492,3561.0,2643.0,0.583427922814983,0.0012970168612191958,1542.0
0.04,7468.0,0.6839850026780931,0.6991584852734923,0.6954787234042553,0.6973186043388738,0.611140867702196,0.6975332811276429,0.5583398590446359,0.44166014095536416,0.96,0.04,5108.0,2852.0,2256.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422067,0.4548435989633615,0.5940934515909795,2852.0,2256.0,5108.0,0.6839850026780931,0.6975332811276429,4825.0,0.7384455958549223,0.9985966881841145,3563.0,2643.0,0.5845629965947786,0.003236245954692557,1545.0
0.045,7468.0,0.6842528119978575,0.6992639327024185,0.695170580416482,0.6972172565594503,0.611140867702196,0.6974559686888454,0.5583170254403131,0.4416829745596869,0.955,0.045,5110.0,2853.0,2257.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27021960364220676,0.45499077372824315,0.5939012816194016,2853.0,2257.0,5110.0,0.6842528119978575,0.6974559686888454,4825.0,0.7386528497409326,0.9983164983164983,3564.0,2643.0,0.5849413545213772,0.0038809831824062097,1546.0
0.05,7468.0,0.685457953936797,0.6986349317465873,0.695844385499558,0.6972396586230727,0.611140867702196,0.6974018362961516,0.558116819691346,0.44188318030865403,0.95,0.05,5119.0,2857.0,2262.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27062131762185326,0.4554320126621227,0.5942079390510975,2857.0,2262.0,5119.0,0.685457953936797,0.6974018362961516,4825.0,0.7392746113989638,0.9974768713204374,3567.0,2643.0,0.5872115020809686,0.007731958762886598,1552.0
0.055,7468.0,0.6863952865559722,0.6982517482517483,0.6959399823477493,0.6970958652997488,0.611140867702196,0.6972298088177916,0.5579399141630901,0.44206008583690987,0.945,0.055,5126.0,2860.0,2266.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2707552222817354,0.45587282452139916,0.5939270948339361,2860.0,2266.0,5126.0,0.6863952865559722,0.6972298088177916,4825.0,0.7398963730569948,0.9966386554621849,3570.0,2643.0,0.5887249337873628,0.010282776349614395,1556.0
