risk_threshold,include_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.4,False,7468.0,0.7047402249598286,0.5293683043960103,0.48513302034428796,0.5072506623701492,0.6491697911087306,0.5078852365570967,0.5143454303629109,0.48565456963708914,0.4,0.0,5263.0,2707.0,2556.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.011114086770219612,0.5889083707121207,0.018872353192705037,2707.0,2556.0,5263.0,0.7047402249598286,0.5078852365570967,4825.0,0.7517098445595854,0.3981251723187207,3627.0,2643.0,0.6189935679152478,0.7512224938875306,1636.0
0.4,True,7468.0,1.0,0.508985200845666,0.4761129207383279,0.49254906079199695,0.6491697911087306,0.49276914836636315,0.5066952329941082,0.4933047670058918,0.4,0.0,7468.0,3784.0,3684.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.014461703267273696,0.7122014122659662,-0.020305636886146866,3784.0,3684.0,7468.0,1.0,0.49276914836636315,4825.0,1.0,0.2992746113989637,4825.0,2643.0,1.0,0.8460083238743852,2643.0
0.45,False,7468.0,0.7047402249598286,0.5812455261274159,0.5443499392466585,0.5627977326870373,0.6491697911087306,0.5639369181075432,0.5308759262777883,0.46912407372221165,0.45,0.0,5263.0,2794.0,2469.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.09011783610069628,0.5543565589307717,0.16256294734658353,2794.0,2469.0,5263.0,0.7047402249598286,0.5639369181075432,4825.0,0.7517098445595854,0.5461814171491591,3627.0,2643.0,0.6189935679152478,0.6033007334963325,1636.0
0.45,True,7468.0,0.999196572040707,0.546535677352637,0.5166944908180301,0.5316150840853335,0.6491697911087306,0.5321629589922273,0.5183596890913964,0.4816403109086036,0.45,0.0,7462.0,3868.0,3594.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.06427423674343874,0.6837113189414331,0.09400785823313902,3868.0,3594.0,7462.0,0.999196572040707,0.5321629589922273,4825.0,0.9995854922279793,0.4107402031930334,4823.0,2643.0,0.9984865682936057,0.7540735126942023,2639.0
0.5,False,7468.0,0.7047402249598286,0.6284818941504178,0.6051861145964031,0.6168340043734104,0.6491697911087306,0.6178985369561086,0.5456963708911268,0.4543036291088733,0.5,0.0,5263.0,2872.0,2391.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.16617568291376533,0.5189241476584334,0.3202311622297939,2872.0,2391.0,5263.0,0.7047402249598286,0.6178985369561086,4825.0,0.7517098445595854,0.7055417700578991,3627.0,2643.0,0.6189935679152478,0.4235941320293399,1636.0
0.5,True,7468.0,0.9969201928227103,0.5816611633223266,0.5572976054732041,0.5694793843977654,0.6491697911087306,0.570181329751511,0.528811282740094,0.47118871725990596,0.5,0.0,7445.0,3937.0,3508.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.1399303695768612,0.654595227314502,0.2137662539198919,3937.0,3508.0,7445.0,0.9969201928227103,0.570181329751511,4825.0,0.9981347150259068,0.5313538205980066,4816.0,2643.0,0.9947029890276201,0.6413084823126665,2629.0
0.55,False,7468.0,0.7047402249598286,0.6688179347826086,0.6636481241914618,0.6662330294870352,0.6491697911087306,0.666539996199886,0.5593767813034392,0.4406232186965609,0.55,0.0,5263.0,2944.0,2319.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.23473486877343333,0.4847707479759867,0.48421830267914806,2944.0,2319.0,5263.0,0.7047402249598286,0.666539996199886,4825.0,0.7517098445595854,0.8679349324510615,3627.0,2643.0,0.6189935679152478,0.2200488997555012,1636.0
0.55,True,7468.0,0.9704070701660418,0.6158583525789069,0.6,0.6079291762894534,0.6491697911087306,0.6085276666206706,0.5377397543811232,0.4622602456188768,0.55,0.0,7247.0,3897.0,3350.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.21063202999464375,0.6163501602869095,0.34174085376500113,3897.0,3350.0,7247.0,0.9704070701660418,0.6085276666206706,4825.0,0.9759585492227979,0.6685071140369505,4709.0,2643.0,0.960272417707151,0.49724192277383766,2538.0
0.6,False,7468.0,0.7047402249598286,0.6864463924477411,0.6895951240748803,0.6880207582613107,0.6491697911087306,0.6878206346190385,0.5635569067072013,0.4364430932927988,0.6,0.0,5263.0,2966.0,2297.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.264729512587038,0.46904728566147286,0.5643983467758561,2966.0,2297.0,5263.0,0.7047402249598286,0.6878206346190385,4825.0,0.7517098445595854,0.956989247311828,3627.0,2643.0,0.6189935679152478,0.0910757946210269,1636.0
0.6,True,7468.0,0.8743974290305303,0.6489600899381676,0.6349259757738897,0.6419430328560286,0.6491697911087306,0.6425727411944869,0.5448698315467075,0.4551301684532925,0.6,0.0,6530.0,3558.0,2972.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2493304767005891,0.559046935565316,0.4459920282873256,3558.0,2972.0,6530.0,0.8743974290305303,0.6425727411944869,4825.0,0.8949222797927461,0.8038443723946271,4318.0,2643.0,0.8369277336360197,0.32775768535262206,2212.0
