risk_threshold,include_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.4,False,7468.0,0.7047402249598286,0.5422813961856783,0.5,0.5211406980928391,0.6491697911087306,0.5223256697700931,0.5280258407752233,0.47197415922477676,0.4,0.0,5263.0,2779.0,2484.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.0314675950723085,0.5802036840142951,0.054235427901097574,2779.0,2484.0,5263.0,0.7047402249598286,0.5223256697700931,4825.0,0.7517098445595854,0.4226633581472291,3627.0,2643.0,0.6189935679152478,0.7432762836185819,1636.0
0.4,True,7468.0,0.9997321906802357,0.5185473411154345,0.48629188590418165,0.5024196135098081,0.6491697911087306,0.502946691668899,0.5163407447093491,0.48365925529065096,0.4,0.0,7466.0,3855.0,3611.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.005891805034815291,0.7049256647496317,0.00835805153570041,3855.0,3611.0,7466.0,0.9997321906802357,0.502946691668899,4825.0,0.9997927461139896,0.3177860696517413,4824.0,2643.0,0.9996216420734014,0.8410295230885693,2642.0
0.45,False,7468.0,0.7047402249598286,0.5888695652173913,0.5577889447236181,0.5733292549705047,0.6491697911087306,0.5747672430172905,0.5462663879916397,0.45373361200836027,0.45,0.0,5263.0,2875.0,2388.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.10538296732726302,0.5474291084846354,0.19250523162529415,2875.0,2388.0,5263.0,0.7047402249598286,0.5747672430172905,4825.0,0.7517098445595854,0.569341053212021,3627.0,2643.0,0.6189935679152478,0.58679706601467,1636.0
0.45,True,7468.0,0.9981253347616497,0.5525715733468457,0.5258055317935557,0.5391885525702007,0.6491697911087306,0.5399785350147572,0.5295143547088811,0.47048564529111886,0.45,0.0,7454.0,3947.0,3507.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.07980717728976978,0.6776127793481613,0.11777696602260271,3947.0,3507.0,7454.0,0.9981253347616497,0.5399785350147572,4825.0,0.9985492227979275,0.42860107928601077,4818.0,2643.0,0.9973514945138101,0.7435508345978755,2636.0
0.5,False,7468.0,0.7047402249598286,0.6237322515212982,0.6078091106290673,0.6157706810751827,0.6491697911087306,0.6167585027550827,0.5620368611058332,0.4379631388941668,0.5,0.0,5263.0,2958.0,2305.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.1645688269951795,0.5196976996123078,0.31666260427542225,2958.0,2305.0,5263.0,0.7047402249598286,0.6167585027550827,4825.0,0.7517098445595854,0.707196029776675,3627.0,2643.0,0.6189935679152478,0.41625916870415647,1636.0
0.5,True,7468.0,0.9872790573111945,0.581074297188755,0.5582767778105636,0.5696755374996594,0.6491697911087306,0.5705954157059542,0.5403499254034992,0.45965007459650076,0.5,0.0,7373.0,3984.0,3389.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.13939475093733267,0.6511084035603679,0.21408839169499153,3984.0,3389.0,7373.0,0.9872790573111945,0.5705954157059542,4825.0,0.9898445595854922,0.5370603015075377,4776.0,2643.0,0.9825955353764662,0.6322680015402388,2597.0
0.55,False,7468.0,0.7047402249598286,0.659206510681587,0.6521175453759723,0.6556620280287797,0.6491697911087306,0.6560896826904807,0.5603268098042942,0.4396731901957059,0.55,0.0,5263.0,2949.0,2314.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2200053561863953,0.4923082717025143,0.4468853538161498,2949.0,2314.0,5263.0,0.7047402249598286,0.6560896826904807,4825.0,0.7517098445595854,0.8392610973256135,3627.0,2643.0,0.6189935679152478,0.25,1636.0
0.55,True,7468.0,0.947643277986074,0.6106194690265486,0.5975270479134467,0.6040732584699977,0.6491697911087306,0.6046347322311714,0.5428854034195281,0.45711459658047193,0.55,0.0,7077.0,3842.0,3235.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.19831280128548467,0.6120990429254849,0.323988092413382,3842.0,3235.0,7077.0,0.947643277986074,0.6046347322311714,4825.0,0.9564766839378238,0.6595882990249188,4615.0,2643.0,0.9315172152856602,0.5016246953696182,2462.0
0.6,False,7468.0,0.7047402249598286,0.6808223795079205,0.6824912891986062,0.6816568343532634,0.6491697911087306,0.6815504465133954,0.5637469124073722,0.43625308759262776,0.6,0.0,5263.0,2967.0,2296.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2558918050348151,0.47373432423934275,0.54015888640894,2967.0,2296.0,5263.0,0.7047402249598286,0.6815504465133954,4825.0,0.7517098445595854,0.9363110008271298,3627.0,2643.0,0.6189935679152478,0.1167481662591687,1636.0
0.6,True,7468.0,0.8468130690948045,0.6471093302804808,0.6392226148409894,0.643165972560735,0.6491697911087306,0.6435800126502214,0.5524984187223276,0.44750158127767237,0.6,0.0,6324.0,3494.0,2830.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2431708623460096,0.5493824745788651,0.442625809154933,3494.0,2830.0,6324.0,0.8468130690948045,0.6435800126502214,4825.0,0.8715025906735752,0.8076099881093936,4205.0,2643.0,0.8017404464623534,0.31807456347333646,2119.0
0.65,False,7468.0,0.7047402249598286,0.6924386920980926,0.6923076923076923,0.6923731922028924,0.6491697911087306,0.6923807714231427,0.5578567357020711,0.44214326429792894,0.65,0.0,5263.0,2936.0,2327.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2711569362613819,0.46560889633814273,0.5823706084525874,2936.0,2327.0,5263.0,0.7047402249598286,0.6923807714231427,4825.0,0.7517098445595854,0.974910394265233,3627.0,2643.0,0.6189935679152478,0.06601466992665037,1636.0
0.65,True,7468.0,0.7443760042849491,0.6833387463462163,0.6794354838709677,0.681387115108592,0.6491697911087306,0.6815974096060442,0.5538765965101637,0.4461234034898363,0.65,0.0,5559.0,3079.0,2480.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2703535083020888,0.4868380100109585,0.5553253910802964,3079.0,2480.0,5559.0,0.7443760042849491,0.6815974096060442,4825.0,0.7830051813471502,0.9359449444150344,3778.0,2643.0,0.6738554672720394,0.1420550252667041,1781.0
0.7,False,7468.0,0.7047402249598286,0.694141689373297,0.6944563816072196,0.6942990354902583,0.6491697911087306,0.6942808284248527,0.5578567357020711,0.44214326429792894,0.7,0.0,5263.0,2936.0,2327.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.27383502945902516,0.46416871690194905,0.5899471883558022,2936.0,2327.0,5263.0,0.7047402249598286,0.6942808284248527,4825.0,0.7517098445595854,0.9809760132340778,3627.0,2643.0,0.6189935679152478,0.05867970660146699,1636.0
0.7,True,7468.0,0.7078200321371184,0.6935100237852532,0.6922748612889458,0.6928924425370995,0.6491697911087306,0.6929625425652668,0.5567536889897844,0.44324631101021567,0.7,0.0,5286.0,2943.0,2343.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.27316550615961444,0.4661837223549874,0.585961055825123,2943.0,2343.0,5286.0,0.7078200321371184,0.6929625425652668,4825.0,0.7546113989637305,0.9772040648173579,3641.0,2643.0,0.6223987892546349,0.06382978723404255,1645.0
