feature,importance,variant
continuation_p_up,21.84132053640306,experiment_a_expert_only
continuation_minus_reversal_p_up,13.677502777353297,experiment_a_expert_only
first_minute_side_no,13.663547450864423,experiment_a_expert_only
first_minute_side_yes,12.054105518164377,experiment_a_expert_only
continuation_confidence_minus_reversal_confidence,9.860750763147518,experiment_a_expert_only
continuation_confidence,6.681963086769826,experiment_a_expert_only
cont_decision_is_up,3.7033931263266266,experiment_a_expert_only
reversal_confidence,3.5678634264834024,experiment_a_expert_only
first_minute_side,3.1917379790721943,experiment_a_expert_only
reversal_p_up,2.3122938655055747,experiment_a_expert_only
min_expert_confidence,1.7433432486947338,experiment_a_expert_only
hour,1.5322167448434914,experiment_a_expert_only
max_expert_confidence,1.3508763556888745,experiment_a_expert_only
cont_decision_is_down,0.9771299644044976,experiment_a_expert_only
reversal_opposite_side_indicator,0.704119598528252,experiment_a_expert_only
dayofweek,0.5976901041453893,experiment_a_expert_only
reversal_accept,0.5475804341810684,experiment_a_expert_only
continuation_accept,0.4344136078014974,experiment_a_expert_only
only_continuation_accept,0.39274417138239237,experiment_a_expert_only
both_accept,0.26042955496977815,experiment_a_expert_only
session_us,0.17963816058823884,experiment_a_expert_only
rev_decision_is_up,0.17899399989116677,experiment_a_expert_only
rev_decision_is_down,0.13260692999549686,experiment_a_expert_only
session_europe,0.12440217505436636,experiment_a_expert_only
session_asia,0.10240039635773464,experiment_a_expert_only
session_id,0.074392596950048,experiment_a_expert_only
session_open,0.05276261876680856,experiment_a_expert_only
continuation_same_side_indicator,0.030961496832536586,experiment_a_expert_only
experts_disagree_direction,0.01587704264458279,experiment_a_expert_only
only_reversal_accept,0.012942268188786224,experiment_a_expert_only
experts_agree_direction,0.0,experiment_a_expert_only
neither_accept,0.0,experiment_a_expert_only
continuation_confidence_minus_reversal_confidence,6.155310698369738,experiment_b_expert_top50_market
ret_vol_product__ret_1__rv_10,5.736146222204424,experiment_b_expert_top50_market
fm_ret_vs_htf_rv_15m,5.675497673232742,experiment_b_expert_top50_market
fm_ret_lag3s,5.140075573094025,experiment_b_expert_top50_market
ret_1,4.678815911190324,experiment_b_expert_top50_market
ret_relative_volume_product__ret_1__relative_volume_20,4.378941427826508,experiment_b_expert_top50_market
htf_rv_15m_delta_1,4.252942733080232,experiment_b_expert_top50_market
sl_interaction__sl_mirror_ret_60s__div__sl_mirror_rv_30s,3.590769593741096,experiment_b_expert_top50_market
continuation_confidence,3.5014507613892674,experiment_b_expert_top50_market
ret_vol_ratio__ret_1__rv_5,3.3661046263053014,experiment_b_expert_top50_market
ret_range_pos_product__ret_1__range_pos_10,3.125689553226765,experiment_b_expert_top50_market
context_ret_product__up_ratio_5__ret_1,3.0868776882031748,experiment_b_expert_top50_market
ret_vol_product__ret_1__rv_3,2.925922356961056,experiment_b_expert_top50_market
ret_efficiency_product__ret_1__efficiency_3,2.8378618464595666,experiment_b_expert_top50_market
ret_vol_ratio__ret_1__rv_30,2.8250195176372945,experiment_b_expert_top50_market
rv_30_delta_1,2.708132936476875,experiment_b_expert_top50_market
rv_10_delta_1,2.4994389681650815,experiment_b_expert_top50_market
ret_1_mean_gap_24,2.338208393073227,experiment_b_expert_top50_market
sl_interaction__sl_mirror_ret_60s__div__sl_mirror_rv_60s,2.328524707702233,experiment_b_expert_top50_market
reversal_confidence,1.8275470418179909,experiment_b_expert_top50_market
fm_ret_vs_prev_5m_range,1.7507891514573992,experiment_b_expert_top50_market
sl_mirror_return_slope_60s,1.6754010362410199,experiment_b_expert_top50_market
ret_vol_ratio__ret_1__rv_10,1.480457233050194,experiment_b_expert_top50_market
rv_5_delta_1,1.1461636177359777,experiment_b_expert_top50_market
sl_interaction__sl_mirror_ret_60s__x__sl_mirror_rv_30s,1.0282105984367742,experiment_b_expert_top50_market
ret_vol_product__ret_1__rv_5,0.9815060073335103,experiment_b_expert_top50_market
ret_vol_ratio__ret_1__rv_3,0.9492401385847644,experiment_b_expert_top50_market
max_expert_confidence,0.9135313418022616,experiment_b_expert_top50_market
sl_agg_end_second_buy_pressure_60s,0.8739381280034556,experiment_b_expert_top50_market
ret_1_rolling_z_24,0.8543534602911698,experiment_b_expert_top50_market
sl_taker_count_imbalance_60s,0.8519329331293822,experiment_b_expert_top50_market
continuation_p_up,0.8369664135469916,experiment_b_expert_top50_market
ret_relative_volume_product__ret_1__relative_volume_3,0.8321201214938275,experiment_b_expert_top50_market
continuation_minus_reversal_p_up,0.7985463309648968,experiment_b_expert_top50_market
second_level_signed_dollar_flow,0.7932898787925644,experiment_b_expert_top50_market
