variant,depth,l2_leaf_reg,feature_count,market_feature_count,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,up_prediction_count,down_prediction_count,selected_t_up,selected_t_down,coverage_constraint_satisfied,target_met
experiment_a_expert_only,3,10.0,32,0,0.7052758435993572,0.6948927283083349,0.592623482632581,0.2749062667380825,5267.0,2423.0,2844.0,0.58,0.455,True,True
experiment_c_grid_depth4_l220,4,20.0,82,50,0.710765934654526,0.6931047475508666,0.587748005804416,0.27450455275843594,5308.0,3000.0,2308.0,0.555,0.435,True,True
experiment_c_grid_depth4_l25,4,5.0,82,50,0.700187466523835,0.6942053930005737,0.5877376834719528,0.2719603642206749,5229.0,2724.0,2505.0,0.57,0.44,True,True
experiment_c_grid_depth2_l210,2,10.0,82,50,0.7020621317621853,0.6931146290291818,0.5841775337019557,0.2711569362613819,5243.0,2766.0,2477.0,0.57,0.44,True,True
experiment_b_expert_top50_market,3,10.0,82,50,0.7094268880557043,0.6923367308418271,0.5841282667357945,0.27289769683985005,5298.0,2821.0,2477.0,0.565,0.44,True,True
experiment_c_grid_depth3_l210,3,10.0,82,50,0.7094268880557043,0.6923367308418271,0.5841282667357945,0.27289769683985005,5298.0,2821.0,2477.0,0.565,0.44,True,True
experiment_c_grid_depth4_l210,4,10.0,82,50,0.7072844134975897,0.6921620598258236,0.582550544665476,0.27182645956079277,5282.0,2812.0,2470.0,0.565,0.44,True,True
experiment_c_grid_depth2_l25,2,5.0,82,50,0.7048741296197107,0.6916793313069909,0.5796418679681853,0.27021960364220676,5264.0,2567.0,2697.0,0.58,0.445,True,True
experiment_c_grid_depth3_l25,3,5.0,82,50,0.7111676486341725,0.6910186405573339,0.5795962966492693,0.2716925549009106,5311.0,2827.0,2484.0,0.565,0.44,True,True
experiment_c_grid_depth3_l220,3,20.0,82,50,0.7050080342795929,0.691358024691358,0.5784238784676636,0.2698178896625602,5265.0,3111.0,2154.0,0.55,0.43,True,True
experiment_c_grid_depth2_l220,2,20.0,82,50,0.7094268880557043,0.6908267270668177,0.5781253964542978,0.27075522228173543,5298.0,2618.0,2680.0,0.58,0.445,True,True
