iter	Logloss
0	0.6763503083
1	0.6606086545
2	0.646058185
3	0.6324671258
4	0.6199332078
5	0.6078957908
6	0.5966275853
7	0.5858469399
8	0.5762242576
9	0.5673587091
10	0.5587889606
11	0.5510549351
12	0.5437021016
13	0.537205246
14	0.5309742437
15	0.5253586217
16	0.5198653733
17	0.5147522106
18	0.510003762
19	0.5057112283
20	0.5015902873
21	0.4976355716
22	0.4942010563
23	0.49087995
24	0.4877981112
25	0.4848739371
26	0.4820499319
27	0.4792486036
28	0.476893375
29	0.4745288612
30	0.4723604976
31	0.4703206266
32	0.468330148
33	0.4665851285
34	0.4650257319
35	0.4633908616
36	0.4619347186
37	0.4605098341
38	0.4591715948
39	0.4579105179
40	0.4567669297
41	0.4557748851
42	0.4547724029
43	0.4538338831
44	0.4530085325
45	0.4521378131
46	0.451272396
47	0.450637762
48	0.4500233782
49	0.4492513787
50	0.4485844631
51	0.4479921601
52	0.4474284911
53	0.4469853593
54	0.446569509
55	0.4460631525
56	0.4456177442
57	0.4452085942
58	0.4447959031
59	0.4443433353
60	0.4439379414
61	0.4436186624
62	0.4432708812
63	0.442998801
64	0.4426620963
65	0.4424216101
66	0.4421216075
67	0.4418956004
68	0.4416860667
69	0.4414549287
70	0.4412499647
71	0.441049168
72	0.4408437373
73	0.4406454262
74	0.440464329
75	0.4402861534
76	0.4401259064
77	0.439954521
78	0.4397745704
79	0.4396464245
80	0.4395123015
81	0.4394036246
82	0.4393170322
83	0.4392144117
84	0.4390619267
85	0.4389474422
86	0.4387979941
87	0.4386963363
88	0.4385886982
89	0.4384610644
90	0.4383597354
91	0.4382501978
92	0.4381518662
93	0.4380668292
94	0.4380171924
95	0.4379441011
96	0.4378712643
97	0.4377764944
98	0.4376965982
99	0.4376192908
100	0.4375552129
101	0.4374725358
102	0.4374071513
103	0.4373383819
104	0.4372764621
105	0.4372208822
106	0.4371725063
107	0.4371149368
108	0.4370644923
109	0.4370205246
110	0.4369734137
111	0.4369282563
112	0.4368721621
113	0.4368321361
114	0.436794203
115	0.4367364899
116	0.4366907829
