iter	Passed	Remaining
0	39	27807
1	76	26571
2	113	26317
3	151	26422
4	185	25833
5	220	25525
6	259	25644
7	293	25415
8	340	26148
9	387	26758
10	431	27017
11	470	26976
12	510	26968
13	543	26644
14	586	26798
15	625	26739
16	664	26679
17	708	26835
18	747	26788
19	788	26815
20	830	26846
21	871	26866
22	910	26804
23	949	26737
24	981	26493
25	1017	26369
26	1053	26269
27	1088	26124
28	1124	26026
29	1160	25908
30	1197	25834
31	1233	25742
32	1267	25616
33	1307	25610
34	1343	25532
35	1380	25460
36	1417	25401
37	1459	25419
38	1498	25392
39	1535	25333
40	1569	25226
41	1602	25112
42	1640	25072
43	1675	24983
44	1719	25021
45	1754	24945
46	1793	24921
47	1829	24856
48	1862	24748
49	1899	24687
50	1937	24654
51	1974	24604
52	2012	24570
53	2046	24480
54	2085	24455
55	2120	24386
56	2160	24369
57	2196	24310
58	2230	24232
59	2263	24142
60	2298	24073
61	2334	24024
62	2369	23961
63	2404	23893
64	2437	23811
65	2472	23752
66	2507	23691
67	2546	23664
68	2581	23604
69	2615	23542
70	2651	23491
71	2686	23434
72	2723	23390
73	2759	23344
74	2800	23335
75	2837	23298
76	2874	23255
77	2913	23233
78	2948	23181
79	2987	23152
80	3020	23085
81	3059	23059
82	3089	22969
83	3125	22920
84	3161	22876
85	3201	22856
86	3234	22789
87	3271	22752
88	3312	22742
89	3348	22692
90	3385	22656
91	3418	22594
92	3455	22551
93	3488	22492
94	3521	22429
95	3560	22403
96	3596	22355
97	3630	22302
98	3668	22270
99	3717	22305
100	3755	22272
101	3788	22213
102	3827	22186
103	3861	22131
104	3903	22121
105	3936	22056
106	3972	22013
107	4005	21955
108	4039	21903
109	4076	21864
110	4111	21818
111	4150	21789
112	4186	21748
113	4222	21704
114	4258	21660
115	4290	21601
116	4320	21530
117	4357	21494
118	4390	21433
119	4422	21374
120	4457	21328
121	4494	21295
122	4533	21266
123	4567	21216
124	4607	21192
125	4644	21156
126	4688	21154
127	4728	21130
128	4761	21077
129	4800	21046
130	4838	21015
131	4870	20959
132	4910	20932
133	4946	20894
134	4984	20861
135	5018	20812
136	5050	20756
137	5083	20704
138	5120	20667
139	5167	20669
140	5199	20613
141	5234	20570
142	5275	20547
143	5310	20504
144	5341	20443
145	5376	20400
146	5409	20349
147	5445	20311
148	5479	20263
149	5513	20217
150	5548	20173
151	5581	20122
152	5612	20064
153	5650	20032
154	5688	20001
155	5720	19949
156	5760	19922
157	5795	19882
158	5833	19848
159	5872	19818
160	5908	19781
161	5944	19741
162	5977	19692
163	6011	19647
164	6046	19606
165	6084	19574
166	6118	19527
167	6150	19477
168	6190	19450
169	6224	19405
170	6256	19356
171	6294	19323
172	6331	19286
173	6363	19238
174	6399	19199
175	6436	19163
176	6471	19122
177	6504	19075
178	6537	19027
179	6570	18981
180	6607	18947
181	6645	18915
182	6680	18872
183	6717	18837
184	6751	18795
185	6790	18766
186	6826	18726
187	6865	18697
188	6899	18655
189	6934	18614
190	6972	18581
191	7006	18537
192	7042	18499
