slice,bucket,feature,false_count,false_share
volatility_regime,low,rv_5,151,0.31392931392931395
volatility_regime,mid,rv_5,173,0.3596673596673597
volatility_regime,high,rv_5,157,0.3264033264033264
trend_regime,low,ret_5,257,0.5343035343035343
trend_regime,mid,ret_5,161,0.33471933471933474
trend_regime,high,ret_5,63,0.13097713097713098
volume_regime,low,relative_volume_5,165,0.34303534303534305
volume_regime,mid,relative_volume_5,153,0.3180873180873181
volume_regime,high,relative_volume_5,163,0.3388773388773389
session,asia,timestamp_hour,172,0.3575883575883576
session,europe,timestamp_hour,162,0.3367983367983368
session,us,timestamp_hour,147,0.30561330561330563
