slice,bucket,feature,false_count,false_share
volatility_regime,low,rv_5,819,0.2892970681737902
volatility_regime,mid,rv_5,1017,0.35923701872129987
volatility_regime,high,rv_5,995,0.35146591310490993
trend_regime,low,ret_5,695,0.24549629106322854
trend_regime,mid,ret_5,901,0.3182620981985164
trend_regime,high,ret_5,1235,0.436241610738255
volume_regime,low,relative_volume_5,875,0.30907806428823736
volume_regime,mid,relative_volume_5,962,0.33980925468032497
volume_regime,high,relative_volume_5,994,0.35111268103143767
session,asia,timestamp_hour,976,0.3447545037089368
session,europe,timestamp_hour,943,0.3330978452843518
session,us,timestamp_hour,912,0.3221476510067114
