feature,gain,split
slope_3,219860.15057373047,571
price_location_product__range_pos_5__close_z_3,10085.342679977417,14
close_z_3,4343.483867645264,16
body_pct_1_lag1,2765.126429080963,50
legal_prev_trade_count_sum_10,2235.6180777549744,52
htf_rv_15m,1831.4140329360962,64
ret_1_lag1,1509.1121234893799,38
legal_prev_trade_count_sum_20,1387.916130065918,51
ret_3_rolling_z_24,1307.357943534851,38
ret_vol_ratio__ret_1__rv_30,1217.1806087493896,17
rv_30_rolling_z_6,874.5807099342346,38
legal_prev_trade_count_sum_5,774.295590877533,31
downside_rv_20,734.8461937904358,30
rv_10_rolling_z_6,719.7829165458679,47
prev_bar_taker_buy_ratio_lag1,692.107743024826,58
close_z_3_rolling_z_24,647.7599620819092,17
htf_close_z_15m_delta_3,637.1901330947876,24
close_location_1_lag1,633.5322685241699,39
rv_30_delta_3,621.8420214653015,41
range_pos_3,603.4359493255615,12
ret_vol_ratio__ret_3__rv_30,592.70046043396,23
signed_volume_1_lag2,549.835042476654,49
prev_bar_trade_count_lag12,539.9828996658325,33
htf_ret_15m_1_lag2,528.4151020050049,39
signed_volume_1_lag1,518.4707703590393,40
ret_1_lag2,498.3190908432007,33
prev_bar_taker_buy_volume_lag2,497.15501165390015,46
prev_bar_trade_count,490.65826988220215,25
body_pct_1_lag2,489.80674982070923,36
ret_term_ratio__ret_3__ret_5,479.0404577255249,38
prev_bar_trade_count_lag2,471.162522315979,38
donchian_width_20,465.8022186756134,27
dollar_vol_mean_20,447.9815592765808,33
rv_10_lag12,446.3235511779785,30
wick_pressure_1_lag2,427.6319932937622,41
ret_3_lag2,413.94098234176636,35
range_10,409.2051978111267,22
rv_30,408.43663930892944,26
ret_15_delta_1,406.78823041915894,44
context_ret_product__wick_pressure_1__ret_10,404.23042011260986,44
wick_pressure_1_lag12,400.33695697784424,37
vwap_dist_3,396.3420467376709,13
rv_10_delta_3,395.33736991882324,28
close_z_term_ratio__close_z_3__close_z_10,389.96635150909424,35
abs_ret_mean_5_delta_3,379.3550810813904,27
range_pos_3_mean_gap_24,377.98745679855347,27
rv_10_rolling_z_12,369.11334776878357,30
rv_term_spread__rv_3__rv_30,368.61515283584595,21
close_z_3_mean_gap_24,367.44900941848755,9
abs_ret_mean_5_delta_1,366.75454902648926,33
prev_bar_taker_buy_ratio_lag2,357.2993097305298,33
htf_range_pos_15m_delta_3,351.2350468635559,26
regime_vol_ratio,350.7675051689148,25
hour_sin,338.547550201416,35
close_z_3_delta_3,337.8325972557068,29
compression_score_delta_1,337.77196979522705,35
compression_score_lag12,336.04600954055786,38
realized_skew_10,333.05884861946106,40
hour_cos,331.65517115592957,39
abs_ret_mean_20_delta_3,330.2808208465576,35
dollar_vol_mean_20_delta_6,328.60670804977417,38
relative_volume_20_lag2,325.4250502586365,35
prev_bar_vwap_proxy,323.85887813568115,32
abs_ret_mean_20,321.17309856414795,15
volume_z_5_lag2,311.6638813018799,28
volume_state_product__volume_z_3__relative_volume_5,311.5684509277344,31
prev_bar_taker_buy_ratio_lag6,310.59312200546265,37
realized_skew_20,303.081130027771,29
ret_term_spread__ret_10__ret_15,302.6674094200134,31
ret_3_lag6,299.40549087524414,29
htf_rv_15m_delta_6,298.82336139678955,29
rv_30_mean_gap_24,295.72316122055054,30
clv_1_delta_3,294.0667099952698,29
prev_bar_upper_wick_bps,293.0826439857483,22
prev_bar_quote_volume,291.9995114803314,19
volume_below_rolling_p20_share_20_mean_gap_12,289.5624403953552,38
compression_score_delta_6,289.4740881919861,33
wick_pressure_1_lag1,288.34768199920654,32
ret_10_lag12,286.0966114997864,30
prev_bar_taker_buy_ratio_zscore_20,283.29160928726196,26
rv_5_rolling_z_12,283.2438883781433,21
legal_prev_taker_sell_base_volume,280.9773688316345,25
ret_3_lag12,279.99727869033813,28
volume_z_term_ratio__volume_z_10__volume_z_20,276.192608833313,28
rv_3_mean_gap_12,275.6149196624756,20
htf_close_z_15m_delta_1,274.2633590698242,18
wick_pressure_1_lag6,270.3101432919502,30
compression_score_mean_gap_12,266.7638683319092,31
htf_range_pos_15m_delta_1,266.5630531311035,18
volume_below_rolling_p20_share_20_mean_gap_24,264.40389013290405,31
rv_10_rolling_z_24,264.36558294296265,30
legal_prev_taker_buy_base_volume_sum_20,264.3450789451599,24
relative_volume_5_lag3,264.2046284675598,29
ret_15_delta_3,262.8553590774536,27
compression_score_delta_3,262.74236965179443,23
volume_z_20_lag2,261.7752990722656,24
ret_10_lag2,261.72249126434326,24
consecutive_down,260.3928050994873,5
prev_bar_trade_count_lag3,260.237841129303,21
legal_prev_relative_trade_count_3,259.7948799133301,30
close_z_term_spread__close_z_3__close_z_5,258.86032915115356,19
ret_term_ratio__ret_10__ret_15,257.86207008361816,28
rv_10_lag6,256.21498918533325,19
relative_volume_5_lag12,255.4227089881897,29
max_up_ret_5_delta_3,254.80814933776855,25
wick_pressure_1_delta_1,254.8075909614563,30
htf_rv_15m_delta_1,251.0535809993744,29
clv_1_lag1,249.71179246902466,21
ret_3_rolling_z_6,249.700599193573,23
close_z_term_spread__close_z_3__close_z_10,246.46882009506226,23
ret_5_delta_3,246.32935047149658,29
ret_volume_z_product__ret_10__volume_z_5,246.10879039764404,27
volume_below_rolling_p20_share_20_rolling_z_24,244.98633289337158,27
htf_rv_15m_delta_3,244.6881594657898,23
rv_3_mean_gap_24,244.57477474212646,17
rv_3_rolling_z_24,244.08188009262085,19
ret_10_delta_1,243.30663013458252,24
context_ret_product__wick_pressure_1__ret_5,242.54468774795532,20
compression_score_lag6,241.91559100151062,22
up_ratio_5_rolling_z_24,241.48645973205566,28
low_volume_flag_share_5_rolling_z_24,241.09811854362488,28
prev_bar_taker_buy_ratio_lag3,240.95235109329224,27
legal_prev_taker_buy_base_volume_z_3,240.68528079986572,28
volume_below_rolling_p20_share_20_rolling_z_12,240.0248522758484,24
dollar_vol_mean_20_delta_1,239.91309070587158,29
ret_term_ratio__ret_5__ret_15,237.95254802703857,26
relative_volume_term_ratio__relative_volume_3__relative_volume_10,237.7886905670166,25
close_z_3_delta_6,236.60136938095093,22
clv_1_lag6,235.2725315093994,23
close_z_term_ratio__close_z_3__close_z_5,234.3590588569641,22
low_volume_flag_share_20_rolling_z_6,233.16185808181763,26
atr_ratio_5_20,232.76632165908813,25
bb_width_20,232.19905376434326,11
compression_score_lag3,231.0512614250183,23
volume_z_5_lag6,230.1611909866333,24
context_relative_volume_product__compression_score__relative_volume_10,228.36756324768066,25
volume_share_term_spread__volume_share_3__volume_share_5,225.97416067123413,24
