decile,sample_count,p_min,p_max,p_mean,up_rate,abs_return_mean
0,750,0.009432403891607556,0.1531726679177436,0.09723431089160461,0.06,0.0012441694433003526
1,749,0.15322992359438034,0.25387406501310267,0.20358508015036603,0.17757009345794392,0.0007217001107710921
2,750,0.2540047005575624,0.33793978116560264,0.29516143385121174,0.25466666666666665,0.0005905242045299478
3,749,0.3380070791712295,0.4263774354509988,0.380560304282695,0.4098798397863818,0.0005145505617724947
4,750,0.426917706026647,0.5265103599470763,0.4762799807680638,0.4693333333333333,0.0004889405212985135
5,749,0.5269143411601086,0.6184491072419112,0.5748946582512398,0.5727636849132176,0.000535678674725606
6,749,0.6184782321478594,0.7039160338488195,0.6618262013147989,0.6755674232309746,0.000577610545621565
7,750,0.704199937847141,0.7810736348536962,0.7428480985832376,0.7866666666666666,0.0006474452581317485
8,749,0.7810968330405585,0.861497549266393,0.8192602906568979,0.8718291054739653,0.0007458147424018932
9,750,0.8615493344848293,0.9931456059055974,0.9127210751285396,0.9586666666666667,0.0013690225047648253
