slice,bucket,feature,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
volatility_regime,low,rv_5,10572.0,0.5980892924706772,0.7329638082817085,0.7033169533169533,0.718140380799331,0.6390465380249716,0.7176972955875376,0.2604048429814605,0.41090415518050966,0.6337362124436658,0.4850545627075755,0.5149454372924245,0.62,0.415,6323.0,3067.0,3256.0,0.7059844039610225,0.21783846944505542,0.6246126519110464
volatility_regime,mid,rv_5,10572.0,0.7376087779038971,0.733350812794966,0.7028112449799196,0.7180810288874429,0.6554105183503595,0.7177481405488587,0.3212258796821794,0.4562800117371556,0.7040104133845438,0.48909976917158243,0.5109002308284175,0.62,0.415,7798.0,3814.0,3984.0,0.7301630048767006,0.21018792149159926,0.6068413158822439
volatility_regime,high,rv_5,10573.0,0.8156625366499575,0.7652748289690965,0.7384264538198404,0.7518506413944684,0.7046249881774331,0.7516233766233766,0.410479523314102,0.450101662591828,0.9119706889115469,0.4915352504638219,0.5084647495361782,0.62,0.415,8624.0,4239.0,4385.0,0.7901369301119066,0.18738845399617912,0.5516645296474703
trend_regime,low,ret_5,10572.0,0.7253121452894438,0.7289391575663027,0.7386363636363636,0.7337877606013332,0.6676125614831631,0.7353938445487741,0.3414680287552024,0.4380890985485951,0.7794488150618177,0.33437663015127805,0.665623369848722,0.62,0.415,7668.0,2564.0,5104.0,0.7455717994518068,0.2034930185303244,0.5902132750419365
trend_regime,mid,ret_5,10572.0,0.6758418463866818,0.730884109916368,0.6981827758756913,0.7145334428960297,0.6485054861899356,0.7135059482155354,0.28859250851305335,0.44002803198979745,0.6558502811924143,0.46857942617214837,0.5314205738278517,0.62,0.415,7145.0,3348.0,3797.0,0.7173034009310228,0.21423295844155493,0.6164090380940196
trend_regime,high,ret_5,10573.0,0.7502128062044832,0.7628648233486943,0.7000734214390602,0.7314691223938772,0.682966045587818,0.7413010590015129,0.36205428922727706,0.44054427528751644,0.8218340574077061,0.6565809379727685,0.3434190620272315,0.62,0.415,7932.0,5208.0,2724.0,0.7538213017856712,0.19768789374228757,0.5764938357136141
volume_regime,low,relative_volume_5,10572.0,0.6495459704880817,0.7357293868921776,0.704443194600675,0.7200862907464263,0.6524782444192205,0.7195281782437746,0.28518728717366626,0.4268247200634093,0.6681601926226266,0.48216106014271154,0.5178389398572885,0.62,0.415,6867.0,3311.0,3556.0,0.718921909019928,0.21365623786293514,0.6154094443359854
volume_regime,mid,relative_volume_5,10572.0,0.7125425652667423,0.7371584699453552,0.718564420345985,0.7278614451456701,0.6600454029511919,0.7275985663082437,0.32434733257661746,0.4405651102221582,0.7362074868186065,0.4858622062923138,0.5141377937076862,0.62,0.415,7533.0,3660.0,3873.0,0.7384167169624632,0.2072674555063816,0.5999084993621998
volume_regime,high,relative_volume_5,10573.0,0.7892745672940509,0.7604241986020728,0.7244995233555768,0.7424618609788247,0.6865601059301996,0.7423606950269622,0.38257826539298206,0.45094140522969767,0.8483990623972681,0.4971839424805273,0.5028160575194728,0.62,0.415,8345.0,4149.0,4196.0,0.7720012305011733,0.1944904797865789,0.5677990275887783
session,asia,timestamp_hour,10450.0,0.7104306220095694,0.7328954570333881,0.7153846153846154,0.7241400362090018,0.6591387559808612,0.7240032327586207,0.3182775119617225,0.4428053240690806,0.7187752600555206,0.4921875,0.5078125,0.62,0.415,7424.0,3654.0,3770.0,0.7360730214072442,0.20764314506729747,0.5999127074447941
session,europe,timestamp_hour,10566.0,0.7217490062464509,0.749402072814244,0.7085166968677193,0.7289593848409817,0.6672345258375922,0.7286913191712562,0.3301154646980881,0.4425118877207497,0.7460036077186922,0.493443482821925,0.506556517178075,0.62,0.415,7626.0,3763.0,3863.0,0.743043136479467,0.2049279432477857,0.5935687050251327
session,us,timestamp_hour,10701.0,0.7190916736753574,0.7537132055090467,0.7249498997995992,0.7393315526543229,0.6725539669189795,0.7387914230019493,0.343425848051584,0.43339694601125966,0.7924048639758107,0.48122157244964264,0.5187784275503574,0.62,0.415,7695.0,3703.0,3992.0,0.7497861453803173,0.2028981978109104,0.5897528912606036
