lowest_trade_price_next4,time_to_lowest_trade_sec
0.1,137.0
0.05,185.0
0.15,185.0
0.31,23.0
0.78,103.0
0.26,193.0
0.52,31.0
0.38,79.0
0.6,17.0
0.45,41.0
0.15,43.0
0.5545454545454546,13.0
0.57,139.0
0.79,47.0
0.65,31.0
0.3,19.0
0.48,129.0
0.5,15.0
0.03,233.0
0.62,45.0
0.53,1.0
0.4,53.0
0.37,81.0
0.2,57.0
0.35,35.0
0.33,79.0
0.5655001466705779,115.0
0.342,149.0
0.1,189.0
0.06,239.0
0.3274474414914716,215.0
0.5,167.0
0.21,189.0
0.34,37.0
0.14,153.0
0.52,91.0
0.38,71.0
0.56,123.0
0.2933853518879215,219.0
0.55,43.0
0.4,137.0
0.14,187.0
0.48,57.0
0.3597869890616004,61.0
0.48,11.0
0.35,71.0
0.53,17.0
0.32,49.0
0.7669832402234636,5.0
0.23,41.0
0.58,23.0
0.6133333333333333,53.0
0.65,31.0
0.3731511659313946,67.0
0.35,9.0
0.68,1.0
0.19,129.0
0.4360174856798312,83.0
0.52,37.0
0.43,223.0
0.46,59.0
0.66,7.0
0.4,85.0
0.21,131.0
0.1086132614213198,189.0
0.2133333333333333,49.0
0.4300846153846154,5.0
0.4100166666666666,7.0
0.67,1.0
0.35,81.0
0.3741666666666666,7.0
0.4766666666666667,63.0
0.5595714285714286,187.0
0.0767695356738391,203.0
0.2577548387096774,155.0
0.17,25.0
0.01,237.0
0.06,193.0
0.7033488992661775,141.0
0.1739555555555555,43.0
0.1568965517241379,9.0
0.57,1.0
0.593528773072747,49.0
0.01,235.0
0.45,7.0
0.45,57.0
0.06,235.0
0.05,233.0
0.47,51.0
0.51,73.0
0.57,5.0
0.59,19.0
0.45,5.0
0.76,5.0
0.63,17.0
0.48,3.0
0.2,63.0
0.2,91.0
0.4583333333333333,9.0
0.48,13.0
0.4,3.0
0.3309433962264151,9.0
0.54,17.0
0.0814982348728284,159.0
0.12,91.0
0.02,229.0
0.54,129.0
0.35,25.0
0.816456458609687,17.0
0.57,3.0
0.4075,225.0
0.63,1.0
0.4,17.0
0.42,99.0
0.29,41.0
0.46,129.0
0.53,1.0
0.82,39.0
0.28,63.0
0.63,53.0
0.26,11.0
0.5905115089514067,167.0
0.6,89.0
0.67,11.0
0.01,217.0
0.15,67.0
0.03,231.0
0.38,3.0
0.17796,177.0
0.49,83.0
0.4,59.0
0.22,53.0
0.64,21.0
0.4143526315789473,9.0
0.34,179.0
0.15,75.0
0.2087746,15.0
0.3,29.0
0.14,95.0
0.4,3.0
0.044,159.0
0.33,11.0
0.83,19.0
0.36,21.0
0.92,11.0
0.5839886820007302,19.0
0.29,129.0
0.704070578983584,11.0
0.4604761904761905,43.0
0.35,27.0
0.79,9.0
0.87,23.0
0.3616666666666667,29.0
0.608310648518815,215.0
0.52,43.0
0.08,71.0
0.3,75.0
0.27,11.0
0.87,3.0
0.19,45.0
0.2765079365079365,11.0
0.6,49.0
0.7,39.0
0.1264077669902912,81.0
0.2,97.0
0.52,15.0
0.59,9.0
0.63,57.0
0.13,233.0
0.25,55.0
0.5,63.0
0.27,69.0
0.21,165.0
0.4,61.0
0.33,77.0
0.1357166666666666,167.0
0.85,1.0
0.49,131.0
0.07,105.0
0.65,29.0
0.4851012987012987,29.0
0.24,191.0
0.68,55.0
0.11,93.0
0.36,19.0
0.42,47.0
0.69,3.0
0.33,235.0
0.58,31.0
0.22,63.0
0.87,1.0
0.3,211.0
0.6,31.0
0.05,127.0
0.38,183.0
0.31,9.0
0.4,97.0
0.62,27.0
0.6,45.0
0.39,39.0
0.11,189.0
0.527502,1.0
0.5,9.0
0.16,83.0
0.11,237.0
0.62,67.0
0.47,17.0
0.4178319209039548,5.0
0.15,205.0
0.24,15.0
0.04,193.0
0.32,173.0
0.19,31.0
0.35,73.0
0.53,39.0
0.69,3.0
0.46,7.0
0.61,15.0
0.17,231.0
0.46,1.0
0.32,1.0
0.18,101.0
0.36,21.0
0.2,33.0
0.83,107.0
0.34,29.0
0.63,43.0
0.52,65.0
0.1,201.0
0.64,157.0
0.42,15.0
0.44,1.0
0.07,73.0
0.1467795462241788,217.0
0.57,53.0
0.52,229.0
0.42,1.0
0.25,109.0
0.44,25.0
0.4,27.0
0.34,93.0
0.43,201.0
0.45,37.0
0.38,175.0
0.78,5.0
0.63,1.0
0.24,15.0
0.62,33.0
0.0966652915291529,193.0
0.65,49.0
0.14,67.0
0.23,29.0
0.1081368639880039,185.0
0.5,237.0
0.21,35.0
0.45,27.0
0.5361066666666666,5.0
0.2,21.0
0.24,15.0
0.44,153.0
0.8,17.0
0.07,239.0
0.56,1.0
0.29,31.0
0.11,101.0
0.6,5.0
0.05,221.0
0.46,27.0
0.11,239.0
0.51,79.0
0.26,3.0
0.24,35.0
0.27,163.0
0.5370389610389611,9.0
0.28,219.0
0.58,19.0
0.15,3.0
0.54,1.0
0.31,1.0
0.05,151.0
0.2,53.0
0.31,9.0
0.5,1.0
0.5534096570731966,9.0
0.35,129.0
0.2697333333333333,123.0
0.46,107.0
0.35,109.0
0.61,35.0
0.33,5.0
0.32924,173.0
0.79,17.0
0.1,213.0
0.23,21.0
0.37,89.0
0.3,71.0
0.25,177.0
0.48,83.0
0.2,43.0
0.64,15.0
0.54,11.0
0.31,3.0
0.35,47.0
0.74,11.0
0.1462013851891316,179.0
0.67,1.0
0.83,37.0
0.3,153.0
0.3,29.0
0.35,113.0
0.66,61.0
0.01,235.0
0.25,145.0
0.3,91.0
0.53,15.0
0.16,117.0
0.7,35.0
0.27,89.0
0.2,143.0
0.17,159.0
0.52,19.0
0.79,1.0
0.36,81.0
0.58,1.0
0.04,227.0
0.33,189.0
0.69,101.0
0.25,103.0
0.59,27.0
0.75,9.0
0.18,135.0
0.42,25.0
0.03,183.0
0.25,83.0
0.6858666666666666,45.0
0.49,15.0
0.32,5.0
0.25,149.0
0.6,33.0
0.58,37.0
0.04,229.0
0.04,239.0
0.21,77.0
0.26,39.0
0.3,87.0
0.11,203.0
0.1,239.0
0.5,19.0
0.1,239.0
0.79,13.0
0.4,1.0
0.3744555555555555,9.0
0.47,73.0
0.65,15.0
0.5198866666666667,19.0
0.32,101.0
0.11,237.0
0.59,1.0
0.62,15.0
0.15,151.0
0.16,53.0
0.49,55.0
0.4182933333333333,77.0
0.0378095619123824,97.0
0.2046117274167987,119.0
0.12,193.0
0.74,81.0
0.27,7.0
0.2359,85.0
0.34,95.0
0.6,45.0
0.3,13.0
0.2,5.0
0.42,27.0
0.33,19.0
0.16,81.0
0.25,137.0
0.3,137.0
0.25,7.0
0.37,39.0
0.31,65.0
0.04,239.0
0.7,3.0
0.4,39.0
0.405096694214876,115.0
0.46674,1.0
0.2,73.0
0.5862264150943396,191.0
0.55,23.0
0.74,9.0
0.59,1.0
0.14,101.0
0.1,165.0
0.64,11.0
0.34,103.0
0.2131108719052745,79.0
0.4,21.0
0.1,83.0
0.61,153.0
0.3,131.0
0.36,41.0
0.61,35.0
0.6998872208459833,3.0
0.54038,117.0
0.39,5.0
0.1665,195.0
0.3189764705882353,67.0
0.8,5.0
0.58,67.0
0.2,127.0
0.11,119.0
0.21,65.0
0.3,151.0
0.66,67.0
0.39,161.0
0.35,21.0
0.29,127.0
0.01,199.0
0.16,71.0
0.53,9.0
0.59,5.0
0.57,3.0
0.25,145.0
0.58,29.0
0.15,69.0
0.57,1.0
0.44,5.0
0.61,3.0
0.26,119.0
0.61,19.0
0.6095555555555555,67.0
0.24,39.0
0.32,85.0
0.32,79.0
0.21,7.0
0.69,3.0
0.43,19.0
0.37,5.0
0.31,43.0
0.31,183.0
0.8133052367288379,1.0
0.42,137.0
0.3,127.0
0.48,27.0
0.17,109.0
0.56,3.0
0.28,17.0
0.21,117.0
0.73,1.0
0.42,61.0
0.11,97.0
0.38,83.0
0.53,3.0
0.83,7.0
0.01,231.0
0.14,131.0
0.54,45.0
0.02,235.0
0.18,127.0
0.66,33.0
0.27,27.0
0.46,121.0
0.53152,3.0
0.44,37.0
0.5,17.0
0.37,35.0
0.13,173.0
0.21,65.0
0.66,7.0
0.21,59.0
0.71,5.0
0.12,205.0
0.6866666666666666,23.0
0.2,177.0
0.48,25.0
0.1942857142857142,239.0
0.42,13.0
0.25,235.0
0.4,3.0
0.36,5.0
0.18,179.0
0.56267,41.0
0.11,215.0
0.0132992411745298,235.0
0.76,1.0
0.1,131.0
0.12,89.0
0.37,123.0
0.62,3.0
0.25,73.0
0.61,15.0
0.43,163.0
0.04,233.0
0.41,63.0
0.59,1.0
0.07,217.0
0.4400267379679144,217.0
0.31,229.0
0.55,125.0
0.26,55.0
0.21,13.0
0.28,147.0
0.25,77.0
0.27,61.0
0.15,147.0
0.34,135.0
0.48,17.0
0.03,207.0
0.15,159.0
0.26,143.0
0.4047358578775129,143.0
0.43,9.0
0.25,139.0
0.47,9.0
0.6,105.0
0.03,237.0
0.19,159.0
0.46,31.0
0.05,231.0
0.496,203.0
0.37,135.0
0.56,7.0
0.56,203.0
0.63,11.0
0.46,15.0
0.25,143.0
0.1290481423338566,223.0
0.25,91.0
0.64,23.0
0.5928666666666667,11.0
0.52,1.0
0.02,235.0
0.5,61.0
0.52,37.0
0.26,239.0
0.59,17.0
0.1542283298097251,135.0
0.1516087516087516,239.0
0.56,97.0
0.43,63.0
0.24,115.0
0.36,33.0
0.54,53.0
0.67,69.0
0.66,31.0
0.12,145.0
0.64,13.0
0.35,113.0
0.01,237.0
0.36,95.0
0.5318444444444445,17.0
0.2009409701928696,185.0
0.35,237.0
0.62587,63.0
0.44,31.0
0.59,17.0
0.51,77.0
0.59,59.0
0.25,125.0
0.23,53.0
0.14,237.0
0.51,55.0
0.33,169.0
0.18,123.0
0.15,91.0
0.56,11.0
0.2179795722949249,169.0
0.29,239.0
0.57,41.0
0.27,115.0
0.34,45.0
0.25,93.0
0.41,9.0
0.27,83.0
0.31,199.0
0.33,189.0
0.39,123.0
0.57,3.0
0.33,117.0
0.26,37.0
0.18,237.0
0.45,29.0
0.57,11.0
0.1018203309692671,199.0
0.2636833333333333,91.0
0.45,69.0
0.5440534939446927,3.0
0.54,3.0
0.46,25.0
0.38,63.0
0.41,123.0
0.52,1.0
0.3247966653111021,225.0
0.57,3.0
0.3,67.0
0.55,189.0
0.39,89.0
0.43,5.0
0.44,13.0
0.44,31.0
0.45,13.0
0.1,39.0
0.3566030814380044,3.0
0.4063388068322469,35.0
0.65,5.0
0.6,45.0
0.37,1.0
0.35,51.0
0.4133907500339075,33.0
0.47,1.0
0.687080442527658,21.0
0.2274675118858954,219.0
0.26,83.0
0.1656862519642689,237.0
0.4690901408450704,9.0
0.49,13.0
0.52,3.0
0.61,9.0
0.42,17.0
0.81,9.0
0.26,55.0
0.58,3.0
0.57,31.0
0.35,5.0
0.53,3.0
0.44864,125.0
0.2,63.0
0.5,105.0
0.11,105.0
0.28,175.0
0.31,61.0
0.65,15.0
0.51,61.0
0.1,211.0
0.67,127.0
0.75,3.0
0.38,13.0
0.29,207.0
0.3,5.0
0.7491666666666666,9.0
0.47,1.0
0.4,1.0
0.54,27.0
0.64,7.0
0.2483088235294117,187.0
0.6377738896366083,111.0
0.59,5.0
0.5,3.0
0.47,15.0
0.01,181.0
0.57,19.0
0.2960222222222222,21.0
0.6522364986950412,223.0
0.64,29.0
0.33,117.0
0.35,3.0
0.05,213.0
0.82,5.0
0.59,37.0
0.1988888888888889,209.0
0.25,123.0
0.23,87.0
0.56,15.0
0.35,153.0
0.58,85.0
0.47,155.0
0.69,125.0
0.46,13.0
0.64,5.0
0.29,9.0
0.3,31.0
0.5,25.0
0.7366666666666667,3.0
0.69,41.0
0.29,171.0
0.25,109.0
0.8,13.0
0.3734584980237154,7.0
0.78,61.0
0.46,39.0
0.5265753700533682,25.0
0.01,233.0
0.01,227.0
0.68,7.0
0.659000900090009,237.0
0.3,63.0
0.6,125.0
0.49,3.0
0.26,89.0
0.39,13.0
0.29,77.0
0.045,175.0
0.2640486111111111,65.0
0.69,13.0
0.33,9.0
0.34,3.0
0.4689830508474576,105.0
0.26,85.0
0.62,49.0
0.01,201.0
0.02,223.0
0.56,5.0
0.46,1.0
0.58,35.0
0.04,239.0
0.38,91.0
0.67,3.0
0.48,115.0
0.24,77.0
0.53,25.0
0.82,1.0
0.42,141.0
0.36,1.0
0.2,235.0
0.71,11.0
0.53,1.0
0.26,67.0
0.25,3.0
0.64,31.0
0.63,15.0
0.06,215.0
0.32,35.0
0.4741408332164399,227.0
0.4,3.0
0.23,87.0
0.59,113.0
0.65,11.0
0.66,1.0
0.45,15.0
0.77,17.0
0.14,17.0
0.39,1.0
0.13,125.0
0.1501526639865655,125.0
0.2795555555555555,53.0
0.5,147.0
0.57,101.0
0.16,225.0
0.55,11.0
0.4782178217821782,239.0
0.48,1.0
0.46915,89.0
0.1742996080708375,71.0
0.06,223.0
0.44,25.0
0.36,5.0
0.35,51.0
0.42,3.0
0.29,39.0
0.03,189.0
0.14,217.0
0.3735873015873016,11.0
0.4,47.0
0.07,79.0
0.35,87.0
0.32,33.0
0.1151020408163265,151.0
0.67,5.0
0.3,39.0
0.5857586809122662,3.0
0.15,197.0
0.18,139.0
0.708927392739274,69.0
0.49,99.0
0.15,203.0
0.11,203.0
0.8,149.0
0.56,53.0
0.48,113.0
0.59,7.0
0.5773870343237152,53.0
0.0305063803929511,203.0
0.31,27.0
0.19,225.0
0.27,177.0
0.303839590443686,163.0
0.55,1.0
0.5,3.0
0.1229983890455094,229.0
0.5,93.0
0.69,19.0
0.1567946569150287,153.0
0.26,93.0
0.02,221.0
0.63,1.0
0.1506410256410256,239.0
0.2,239.0
0.54,75.0
0.24,157.0
0.32668,89.0
0.325625,125.0
0.08,239.0
0.51,41.0
0.63,1.0
0.53,171.0
0.417280701754386,239.0
0.58,5.0
0.05,213.0
0.57,37.0
0.23,197.0
0.0737182309385631,205.0
0.05,239.0
0.15,185.0
0.3,99.0
0.31,187.0
0.16,151.0
0.1005688529686043,237.0
0.35,113.0
0.1942541666666666,153.0
0.42,55.0
0.26,135.0
0.13,239.0
0.37,95.0
0.3676571062842513,239.0
0.33,91.0
0.37,3.0
0.3,101.0
0.47,19.0
0.46,139.0
0.05,167.0
0.05,207.0
0.48,25.0
0.52,79.0
0.56,59.0
0.56,7.0
0.24,137.0
0.6,39.0
0.7236338797814208,5.0
0.1255305530553055,87.0
0.19,71.0
0.32,17.0
0.2,75.0
0.48,43.0
0.57,35.0
0.49,3.0
0.44,13.0
0.0611389521640091,111.0
0.4160859793224633,39.0
0.02,215.0
0.58,1.0
0.5783258075720736,23.0
0.03,213.0
0.14,41.0
0.18,181.0
0.19,57.0
0.56,25.0
0.17,105.0
0.55,11.0
0.35,25.0
0.5540355555555555,3.0
0.62,5.0
0.1209979302788036,151.0
0.24,73.0
0.05,177.0
0.0299733333333333,207.0
0.2,183.0
0.92,9.0
0.36,87.0
0.35,37.0
0.2172542096686583,239.0
0.3524780219780219,73.0
0.57,21.0
0.0587212652351188,71.0
0.59,9.0
0.13,155.0
0.6527987654320988,17.0
0.3559875,21.0
0.53,1.0
0.56,1.0
0.49,9.0
0.06,227.0
0.21,131.0
0.64,1.0
0.55,49.0
0.4623152709359606,21.0
0.65,9.0
0.43,49.0
0.3,19.0
0.77,5.0
0.66,5.0
0.11,29.0
0.23,61.0
0.5,71.0
0.63,165.0
0.5383234244946492,219.0
0.77,73.0
0.56,175.0
0.6127291666666667,239.0
0.5879546296296296,5.0
0.01,237.0
0.31,139.0
0.3082372322899506,233.0
0.75,125.0
0.6109245397531863,137.0
0.55,29.0
0.62,15.0
0.59,1.0
0.28,63.0
0.48,75.0
0.42,163.0
0.55,35.0
0.44,63.0
0.26,39.0
0.32,99.0
0.6,117.0
0.44,145.0
0.46,157.0
0.46,1.0
0.51,89.0
0.42,39.0
0.45,19.0
0.4282916666666667,21.0
0.1838095238095238,115.0
0.62,161.0
0.54,3.0
0.3,7.0
0.34,135.0
0.47,1.0
0.41,223.0
0.12,103.0
0.53,3.0
0.5819120641384576,21.0
0.34,49.0
0.3,35.0
0.32,107.0
0.3598039215686274,43.0
0.53,113.0
0.26,159.0
0.78,9.0
0.28,129.0
0.1198907370232291,155.0
0.56,1.0
0.02,215.0
0.55,115.0
0.44,27.0
0.7,1.0
0.32,147.0
0.0832453295573927,231.0
0.61,1.0
0.56,143.0
0.03,187.0
0.62,7.0
0.02,231.0
0.6492334343871806,125.0
0.35,103.0
0.42,73.0
0.64,139.0
0.4,239.0
0.48,95.0
0.395181347150259,101.0
0.54,217.0
0.27,217.0
0.6343280757097792,87.0
0.02,235.0
0.7249580281458317,229.0
0.52,1.0
0.46,103.0
0.05,227.0
0.54,127.0
0.64,9.0
0.51,43.0
0.72,77.0
0.55,105.0
0.42,143.0
0.6,179.0
0.32,217.0
0.54,27.0
0.71,31.0
0.33,131.0
0.6427798053527981,195.0
0.15,137.0
0.0193473440177401,193.0
0.19,221.0
0.77,41.0
0.46,119.0
0.06,231.0
0.47,207.0
0.62,111.0
0.72,233.0
0.48,161.0
0.52,57.0
0.37,131.0
0.2568181818181818,215.0
0.35,159.0
0.28966,137.0
0.03,235.0
0.09,239.0
0.47,157.0
0.63,1.0
0.3,149.0
0.63,157.0
0.61,7.0
0.49,95.0
0.5256430868167202,157.0
0.305016501650165,153.0
0.48,37.0
0.55,1.0
0.43,211.0
0.66,63.0
0.54,13.0
0.49,69.0
0.388639763986935,167.0
0.66,7.0
0.49,181.0
0.53,189.0
0.64,157.0
0.68,221.0
0.06,225.0
0.5,239.0
0.01,239.0
0.7080880880880881,207.0
0.65,227.0
0.86,139.0
0.49,173.0
0.1,229.0
0.6351428571428571,85.0
0.72,133.0
0.78,31.0
0.59,3.0
0.47,129.0
0.5,15.0
0.36,51.0
0.59,5.0
0.63,73.0
0.6,9.0
0.06,233.0
0.3332258064516129,113.0
0.565,35.0
0.75,11.0
0.65,59.0
0.61,185.0
0.36,117.0
0.73,185.0
0.33,203.0
0.3,43.0
0.7401484705150562,3.0
0.39,195.0
0.58,61.0
0.4751448794514488,3.0
0.33,57.0
0.65,11.0
0.3926972666322846,219.0
0.3,53.0
0.35,3.0
0.73,23.0
0.2996996157876353,145.0
0.3260876623376623,3.0
0.65,15.0
0.56,7.0
0.21,59.0
0.01,231.0
0.29,129.0
0.47,103.0
0.48,101.0
0.6045633802816901,87.0
0.57,11.0
0.24,115.0
0.45,17.0
0.09,213.0
0.49,1.0
0.06,155.0
0.69,25.0
0.49,17.0
0.344698,235.0
0.07,211.0
0.75,49.0
0.2174458380843785,199.0
0.32,127.0
0.11,235.0
0.49,107.0
0.56,29.0
0.68,13.0
0.61,113.0
0.09,237.0
0.11,221.0
0.21,67.0
0.19,149.0
0.2,135.0
0.32,69.0
0.71,1.0
0.73,5.0
0.81,41.0
0.3,215.0
0.13,101.0
0.67,3.0
0.25,145.0
0.5,111.0
0.48,29.0
0.0963761671854157,215.0
0.66,65.0
0.48,15.0
0.24,181.0
0.48,11.0
0.3349,189.0
0.05,185.0
0.5177441808664662,135.0
0.43,15.0
0.4554125,7.0
0.41,17.0
0.3,177.0
0.52,25.0
0.47,3.0
0.58,7.0
0.42,159.0
0.11,219.0
0.2039857845817386,7.0
0.1089383561643835,195.0
0.45,75.0
0.21,103.0
0.31,49.0
0.25,83.0
0.5937180130456599,17.0
0.47,5.0
0.4322170491076377,107.0
0.2312635379061371,215.0
0.29,13.0
0.33,61.0
0.11,239.0
0.51,121.0
0.48,3.0
0.3801612903225806,59.0
0.37,177.0
0.5,5.0
0.16,177.0
0.2090745440314968,5.0
0.22,51.0
0.3,41.0
0.21,211.0
0.67,1.0
0.61,179.0
0.22,185.0
0.58,5.0
0.68,19.0
0.36,173.0
0.5,45.0
0.58,35.0
0.3,5.0
0.47,7.0
0.26,119.0
0.53,3.0
0.69,3.0
0.52,83.0
0.13,105.0
0.519,119.0
0.53,89.0
0.45,65.0
0.18,107.0
0.55,37.0
0.52,13.0
0.58,1.0
0.47,103.0
0.2087639589049837,133.0
0.51,7.0
0.52,13.0
0.41,41.0
0.4,29.0
0.06,153.0
0.39,7.0
0.5,191.0
0.43,41.0
0.46,67.0
0.24,155.0
0.57,79.0
0.48,39.0
0.36808,135.0
0.3011732753938077,83.0
0.35,117.0
0.2539875,3.0
0.92,1.0
0.18,217.0
0.39,227.0
0.43,51.0
0.45,19.0
0.65,1.0
0.51,57.0
0.75,43.0
0.14168,91.0
0.36,69.0
0.1,41.0
0.05,165.0
0.1949141521893731,27.0
0.58,67.0
0.25,83.0
0.38,43.0
0.41,143.0
0.44,195.0
0.44,7.0
0.6,15.0
0.6358207217694994,7.0
0.41,207.0
0.61,95.0
0.31,93.0
0.0876897358742895,217.0
0.52,81.0
0.3058215179316096,163.0
0.6387274074074074,205.0
0.41,51.0
0.4374406278666802,67.0
0.44,29.0
0.56,79.0
0.54,7.0
0.81,23.0
0.09,107.0
0.45,23.0
0.49,25.0
