bin_index,p_side_lower,p_side_upper,sample_count,source_bin_index,source_sample_count,fallback_used
0,0.0,0.05,0,10,1257,True
1,0.05,0.1,0,10,1257,True
2,0.1,0.15000000000000002,0,10,1257,True
3,0.15000000000000002,0.2,0,10,1257,True
4,0.2,0.25,0,10,1257,True
5,0.25,0.30000000000000004,0,10,1257,True
6,0.30000000000000004,0.35000000000000003,0,10,1257,True
7,0.35000000000000003,0.4,0,10,1257,True
8,0.4,0.45,0,10,1257,True
9,0.45,0.5,0,10,1257,True
10,0.5,0.55,1257,10,1257,False
11,0.55,0.6000000000000001,1671,11,1671,False
12,0.6000000000000001,0.65,1484,12,1484,False
13,0.65,0.7000000000000001,1337,13,1337,False
14,0.7000000000000001,0.75,1242,14,1242,False
15,0.75,0.8,1042,15,1042,False
16,0.8,0.8500000000000001,689,16,689,False
17,0.8500000000000001,0.9,368,17,368,False
18,0.9,0.9500000000000001,29,18,29,False
19,0.9500000000000001,1.0,0,18,29,True
