bin_index,p_side_lower,p_side_upper,sample_count,source_bin_index,source_sample_count,fallback_used
0,0.0,0.05,0,10,98,True
1,0.05,0.1,0,10,98,True
2,0.1,0.15000000000000002,0,10,98,True
3,0.15000000000000002,0.2,0,10,98,True
4,0.2,0.25,0,10,98,True
5,0.25,0.30000000000000004,0,10,98,True
6,0.30000000000000004,0.35000000000000003,0,10,98,True
7,0.35000000000000003,0.4,0,10,98,True
8,0.4,0.45,0,10,98,True
9,0.45,0.5,0,10,98,True
10,0.5,0.55,98,10,98,False
11,0.55,0.6000000000000001,123,11,123,False
12,0.6000000000000001,0.65,104,12,104,False
13,0.65,0.7000000000000001,106,13,106,False
14,0.7000000000000001,0.75,79,14,79,False
15,0.75,0.8,45,15,45,False
16,0.8,0.8500000000000001,26,16,26,False
17,0.8500000000000001,0.9,20,17,20,False
18,0.9,0.9500000000000001,0,17,20,True
19,0.9500000000000001,1.0,0,17,20,True
