bin_index,limit_price,gc
0,0.01,0.0
0,0.02,0.0
0,0.03,0.0
0,0.04,0.0
0,0.05,0.0
0,0.06,0.0
0,0.07,0.0
0,0.08,0.0
0,0.09,0.016666666666666666
0,0.1,0.03333333333333333
0,0.11,0.06666666666666667
0,0.12,0.06666666666666667
0,0.13,0.08333333333333333
0,0.14,0.11666666666666667
0,0.15,0.11666666666666667
0,0.16,0.13333333333333333
0,0.17,0.15
0,0.18,0.18333333333333332
0,0.19,0.2
0,0.2,0.21666666666666667
0,0.21,0.23333333333333334
0,0.22,0.23333333333333334
0,0.23,0.23333333333333334
0,0.24,0.25
0,0.25,0.26666666666666666
0,0.26,0.2833333333333333
0,0.27,0.31666666666666665
0,0.28,0.31666666666666665
0,0.29,0.35
0,0.3,0.35
0,0.31,0.36666666666666664
0,0.32,0.4
0,0.33,0.43333333333333335
0,0.34,0.43333333333333335
0,0.35,0.45
0,0.36,0.48333333333333334
0,0.37,0.5
0,0.38,0.5
0,0.39,0.5333333333333333
0,0.4,0.5666666666666667
0,0.41,0.5666666666666667
0,0.42,0.6333333333333333
0,0.43,0.65
0,0.44,0.6833333333333333
0,0.45,0.6833333333333333
0,0.46,0.7
0,0.47,0.7833333333333333
0,0.48,0.8
0,0.49,0.8
0,0.5,0.85
0,0.51,0.8833333333333333
0,0.52,0.9166666666666666
0,0.53,0.9333333333333333
0,0.54,0.95
0,0.55,0.9666666666666667
0,0.56,0.9666666666666667
0,0.57,1.0
0,0.58,1.0
0,0.59,1.0
0,0.6,1.0
0,0.61,1.0
0,0.62,1.0
0,0.63,1.0
0,0.64,1.0
0,0.65,1.0
0,0.66,1.0
0,0.67,1.0
0,0.68,1.0
0,0.69,1.0
0,0.7,1.0
0,0.71,1.0
0,0.72,1.0
0,0.73,1.0
0,0.74,1.0
0,0.75,1.0
0,0.76,1.0
0,0.77,1.0
0,0.78,1.0
0,0.79,1.0
0,0.8,1.0
0,0.81,1.0
0,0.82,1.0
0,0.83,1.0
0,0.84,1.0
0,0.85,1.0
1,0.01,0.0
1,0.02,0.0
1,0.03,0.0
1,0.04,0.0
1,0.05,0.0
1,0.06,0.0
1,0.07,0.0
1,0.08,0.0
1,0.09,0.016666666666666666
1,0.1,0.03333333333333333
1,0.11,0.06666666666666667
1,0.12,0.06666666666666667
1,0.13,0.08333333333333333
1,0.14,0.11666666666666667
1,0.15,0.11666666666666667
1,0.16,0.13333333333333333
1,0.17,0.15
1,0.18,0.18333333333333332
1,0.19,0.2
1,0.2,0.21666666666666667
1,0.21,0.23333333333333334
1,0.22,0.23333333333333334
1,0.23,0.23333333333333334
1,0.24,0.25
1,0.25,0.26666666666666666
1,0.26,0.2833333333333333
1,0.27,0.31666666666666665
1,0.28,0.31666666666666665
1,0.29,0.35
1,0.3,0.35
1,0.31,0.36666666666666664
1,0.32,0.4
1,0.33,0.43333333333333335
1,0.34,0.43333333333333335
1,0.35,0.45
1,0.36,0.48333333333333334
1,0.37,0.5
1,0.38,0.5
1,0.39,0.5333333333333333
1,0.4,0.5666666666666667
1,0.41,0.5666666666666667
1,0.42,0.6333333333333333
1,0.43,0.65
1,0.44,0.6833333333333333
1,0.45,0.6833333333333333
1,0.46,0.7
1,0.47,0.7833333333333333
1,0.48,0.8
1,0.49,0.8
1,0.5,0.85
1,0.51,0.8833333333333333
1,0.52,0.9166666666666666
1,0.53,0.9333333333333333
1,0.54,0.95
1,0.55,0.9666666666666667
1,0.56,0.9666666666666667
1,0.57,1.0
1,0.58,1.0
1,0.59,1.0
1,0.6,1.0
1,0.61,1.0
1,0.62,1.0
1,0.63,1.0
1,0.64,1.0
1,0.65,1.0
1,0.66,1.0
1,0.67,1.0
1,0.68,1.0
1,0.69,1.0
1,0.7,1.0
1,0.71,1.0
1,0.72,1.0
1,0.73,1.0
1,0.74,1.0
1,0.75,1.0
1,0.76,1.0
1,0.77,1.0
1,0.78,1.0
1,0.79,1.0
1,0.8,1.0
1,0.81,1.0
1,0.82,1.0
1,0.83,1.0
1,0.84,1.0
1,0.85,1.0
2,0.01,0.0
2,0.02,0.0
2,0.03,0.0
2,0.04,0.0
2,0.05,0.0
2,0.06,0.0
2,0.07,0.0
2,0.08,0.0
2,0.09,0.016666666666666666
2,0.1,0.03333333333333333
2,0.11,0.06666666666666667
2,0.12,0.06666666666666667
2,0.13,0.08333333333333333
2,0.14,0.11666666666666667
2,0.15,0.11666666666666667
2,0.16,0.13333333333333333
2,0.17,0.15
2,0.18,0.18333333333333332
2,0.19,0.2
2,0.2,0.21666666666666667
2,0.21,0.23333333333333334
2,0.22,0.23333333333333334
2,0.23,0.23333333333333334
2,0.24,0.25
2,0.25,0.26666666666666666
2,0.26,0.2833333333333333
2,0.27,0.31666666666666665
2,0.28,0.31666666666666665
2,0.29,0.35
2,0.3,0.35
2,0.31,0.36666666666666664
2,0.32,0.4
2,0.33,0.43333333333333335
2,0.34,0.43333333333333335
2,0.35,0.45
2,0.36,0.48333333333333334
2,0.37,0.5
2,0.38,0.5
2,0.39,0.5333333333333333
2,0.4,0.5666666666666667
2,0.41,0.5666666666666667
2,0.42,0.6333333333333333
2,0.43,0.65
2,0.44,0.6833333333333333
2,0.45,0.6833333333333333
2,0.46,0.7
2,0.47,0.7833333333333333
2,0.48,0.8
2,0.49,0.8
2,0.5,0.85
2,0.51,0.8833333333333333
2,0.52,0.9166666666666666
2,0.53,0.9333333333333333
2,0.54,0.95
2,0.55,0.9666666666666667
2,0.56,0.9666666666666667
2,0.57,1.0
2,0.58,1.0
2,0.59,1.0
2,0.6,1.0
2,0.61,1.0
2,0.62,1.0
2,0.63,1.0
2,0.64,1.0
2,0.65,1.0
2,0.66,1.0
2,0.67,1.0
2,0.68,1.0
2,0.69,1.0
2,0.7,1.0
2,0.71,1.0
2,0.72,1.0
2,0.73,1.0
2,0.74,1.0
2,0.75,1.0
2,0.76,1.0
2,0.77,1.0
2,0.78,1.0
2,0.79,1.0
2,0.8,1.0
2,0.81,1.0
2,0.82,1.0
2,0.83,1.0
2,0.84,1.0
2,0.85,1.0
3,0.01,0.0
3,0.02,0.0
3,0.03,0.0
3,0.04,0.0
3,0.05,0.0
3,0.06,0.0
3,0.07,0.0
3,0.08,0.0
3,0.09,0.016666666666666666
3,0.1,0.03333333333333333
3,0.11,0.06666666666666667
3,0.12,0.06666666666666667
3,0.13,0.08333333333333333
3,0.14,0.11666666666666667
3,0.15,0.11666666666666667
3,0.16,0.13333333333333333
3,0.17,0.15
3,0.18,0.18333333333333332
3,0.19,0.2
3,0.2,0.21666666666666667
3,0.21,0.23333333333333334
3,0.22,0.23333333333333334
3,0.23,0.23333333333333334
3,0.24,0.25
3,0.25,0.26666666666666666
3,0.26,0.2833333333333333
3,0.27,0.31666666666666665
3,0.28,0.31666666666666665
3,0.29,0.35
3,0.3,0.35
3,0.31,0.36666666666666664
3,0.32,0.4
3,0.33,0.43333333333333335
3,0.34,0.43333333333333335
3,0.35,0.45
3,0.36,0.48333333333333334
3,0.37,0.5
3,0.38,0.5
3,0.39,0.5333333333333333
3,0.4,0.5666666666666667
3,0.41,0.5666666666666667
3,0.42,0.6333333333333333
3,0.43,0.65
3,0.44,0.6833333333333333
3,0.45,0.6833333333333333
3,0.46,0.7
3,0.47,0.7833333333333333
3,0.48,0.8
3,0.49,0.8
3,0.5,0.85
3,0.51,0.8833333333333333
3,0.52,0.9166666666666666
3,0.53,0.9333333333333333
3,0.54,0.95
3,0.55,0.9666666666666667
3,0.56,0.9666666666666667
3,0.57,1.0
3,0.58,1.0
3,0.59,1.0
3,0.6,1.0
3,0.61,1.0
3,0.62,1.0
3,0.63,1.0
3,0.64,1.0
3,0.65,1.0
3,0.66,1.0
3,0.67,1.0
3,0.68,1.0
3,0.69,1.0
3,0.7,1.0
3,0.71,1.0
3,0.72,1.0
3,0.73,1.0
3,0.74,1.0
3,0.75,1.0
3,0.76,1.0
3,0.77,1.0
3,0.78,1.0
3,0.79,1.0
3,0.8,1.0
3,0.81,1.0
3,0.82,1.0
3,0.83,1.0
3,0.84,1.0
3,0.85,1.0
4,0.01,0.0
4,0.02,0.0
4,0.03,0.0
4,0.04,0.0
4,0.05,0.0
