bin_index,p_side_lower,p_side_upper,sample_count,source_bin_index,source_sample_count,fallback_used
0,0.0,0.02,0,25,60,True
1,0.02,0.04,0,25,60,True
2,0.04,0.06,0,25,60,True
3,0.06,0.08,0,25,60,True
4,0.08,0.1,0,25,60,True
5,0.1,0.12,0,25,60,True
6,0.12,0.14,0,25,60,True
7,0.14,0.16,0,25,60,True
8,0.16,0.18,0,25,60,True
9,0.18,0.2,0,25,60,True
10,0.2,0.22,0,25,60,True
11,0.22,0.24,0,25,60,True
12,0.24,0.26,0,25,60,True
13,0.26,0.28,0,25,60,True
14,0.28,0.3,0,25,60,True
15,0.3,0.32,0,25,60,True
16,0.32,0.34,0,25,60,True
17,0.34,0.36,0,25,60,True
18,0.36,0.38,0,25,60,True
19,0.38,0.4,0,25,60,True
20,0.4,0.42,0,25,60,True
21,0.42,0.44,0,25,60,True
22,0.44,0.46,0,25,60,True
23,0.46,0.48,0,25,60,True
24,0.48,0.5,0,25,60,True
25,0.5,0.52,60,25,60,False
26,0.52,0.54,74,26,74,False
27,0.54,0.56,75,27,75,False
28,0.56,0.58,94,28,94,False
29,0.58,0.6,94,29,94,False
30,0.6,0.62,96,30,96,False
31,0.62,0.64,86,31,86,False
32,0.64,0.66,66,32,66,False
33,0.66,0.68,69,33,69,False
34,0.68,0.7000000000000001,81,34,81,False
35,0.7000000000000001,0.72,65,35,65,False
36,0.72,0.74,65,36,65,False
37,0.74,0.76,61,37,61,False
38,0.76,0.78,50,38,50,False
39,0.78,0.8,40,39,40,False
40,0.8,0.8200000000000001,30,40,30,False
41,0.8200000000000001,0.84,22,41,22,False
42,0.84,0.86,26,42,26,False
43,0.86,0.88,20,43,20,False
44,0.88,0.9,11,44,11,False
45,0.9,0.92,0,44,11,True
46,0.92,0.9400000000000001,0,44,11,True
47,0.9400000000000001,0.96,0,44,11,True
48,0.96,0.98,0,44,11,True
49,0.98,1.0,0,44,11,True
