bin_index,p_side_lower,p_side_upper,sample_count,source_bin_index,source_sample_count,fallback_used
0,0.0,0.02,0,25,444,True
1,0.02,0.04,0,25,444,True
2,0.04,0.06,0,25,444,True
3,0.06,0.08,0,25,444,True
4,0.08,0.1,0,25,444,True
5,0.1,0.12,0,25,444,True
6,0.12,0.14,0,25,444,True
7,0.14,0.16,0,25,444,True
8,0.16,0.18,0,25,444,True
9,0.18,0.2,0,25,444,True
10,0.2,0.22,0,25,444,True
11,0.22,0.24,0,25,444,True
12,0.24,0.26,0,25,444,True
13,0.26,0.28,0,25,444,True
14,0.28,0.3,0,25,444,True
15,0.3,0.32,0,25,444,True
16,0.32,0.34,0,25,444,True
17,0.34,0.36,0,25,444,True
18,0.36,0.38,0,25,444,True
19,0.38,0.4,0,25,444,True
20,0.4,0.42,0,25,444,True
21,0.42,0.44,0,25,444,True
22,0.44,0.46,0,25,444,True
23,0.46,0.48,0,25,444,True
24,0.48,0.5,0,25,444,True
25,0.5,0.52,444,25,444,False
26,0.52,0.54,521,26,521,False
27,0.54,0.56,596,27,596,False
28,0.56,0.58,680,28,680,False
29,0.58,0.6,687,29,687,False
30,0.6,0.62,641,30,641,False
31,0.62,0.64,585,31,585,False
32,0.64,0.66,562,32,562,False
33,0.66,0.68,541,33,541,False
34,0.68,0.7000000000000001,492,34,492,False
35,0.7000000000000001,0.72,490,35,490,False
36,0.72,0.74,504,36,504,False
37,0.74,0.76,493,37,493,False
38,0.76,0.78,421,38,421,False
39,0.78,0.8,376,39,376,False
40,0.8,0.8200000000000001,303,40,303,False
41,0.8200000000000001,0.84,273,41,273,False
42,0.84,0.86,216,42,216,False
43,0.86,0.88,154,43,154,False
44,0.88,0.9,111,44,111,False
45,0.9,0.92,27,45,27,False
46,0.92,0.9400000000000001,2,46,2,False
47,0.9400000000000001,0.96,0,46,2,True
48,0.96,0.98,0,46,2,True
49,0.98,1.0,0,46,2,True
