value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,1.0,0.0,0.8450265526771545,0.8374510407447815,0.80955970287323,0.0,0.0,0.0,0.0
0.10_0.20,128,1.0,0.0,0.6274802684783936,0.6730309724807739,0.03819221258163452,0.0,0.0,0.0,0.0
0.20_0.30,764,0.9240837696335078,0.07591623036649214,0.33056747913360596,0.30260181427001953,-0.27382946014404297,0.2838294506072998,0.0,0.016945715248584844,0.09685833692550666
0.30_0.40,1998,0.8733733733733734,0.12662662662662663,0.23022621870040894,0.1851455271244049,-0.24485206604003906,0.2548520565032959,0.011314955353736876,0.03216978162527082,0.09525896370410916
0.40_0.50,3077,0.872603184920377,0.127396815079623,0.2254699021577835,0.1933048963546753,-0.38012397289276123,0.39012396335601807,0.011346924304962168,0.039406895637512186,0.09577579021453826
0.50_0.55,1518,0.8801054018445322,0.11989459815546773,0.2483372986316681,0.24271471798419952,-0.1846502423286438,0.19465023279190063,0.008318221569061254,0.03549399673938746,0.08438261806964872
0.55_0.60,1521,0.9099276791584484,0.09007232084155162,0.24623636901378632,0.23621371388435364,-0.3029935956001282,0.312993586063385,0.0,0.025487661361694336,0.09852246046066271
0.60_0.65,1407,0.9324804548685146,0.06751954513148543,0.23733724653720856,0.22799041867256165,-0.33297282457351685,0.3429728150367737,0.0,0.02043757438659673,0.0885036575794221
0.65_0.70,1360,0.925,0.075,0.22568581998348236,0.20236164331436157,-0.3125564455986023,0.32255643606185913,0.0,0.02081892788410186,0.0711607408523563
0.70_0.80,2296,0.9085365853658537,0.09146341463414634,0.19997169077396393,0.1695929765701294,-0.3499193787574768,0.35991936922073364,0.0,0.022036850452423096,0.08019339740276338
0.80_0.90,1231,0.8919577579203899,0.10804224207961008,0.1623498946428299,0.11418819427490234,-0.12053191661834717,0.130531907081604,0.003968715667724609,0.02294805645942688,0.054759156703949007
0.90_1.00,353,0.8215297450424929,0.17847025495750707,0.1261068433523178,0.08023679256439209,-0.06553953886032104,0.07553952932357788,0.018633270263671883,0.0308748602867126,0.05449410200119025
