value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,1202,1.0,0.0,0.6015955805778503,0.5879464745521545,0.4140017628669739,0.0,0.0,0.0,0.0
0.10_0.20,1797,1.0,0.0,0.5072349905967712,0.4940721392631531,0.3019022047519684,0.0,0.0,0.0,0.0
0.20_0.30,2165,1.0,0.0,0.3936420679092407,0.3827636241912842,0.052228450775146484,0.0,0.0,0.0,0.0
0.30_0.40,2451,1.0,0.0,0.2781994938850403,0.2672642767429352,0.07368814945220947,0.0,0.0,0.0,0.0
0.40_0.50,2479,0.99959661153691,0.0004033884630899556,0.18097315728664398,0.16869041323661804,-0.014814525842666626,0.024814516305923462,0.0,0.0,0.0
0.50_0.60,2433,0.9379367036580354,0.062063296341964655,0.10881825536489487,0.09344327449798584,-0.05416417121887207,0.0641641616821289,0.0,0.0044744610786438144,0.02737509727478014
0.60_0.70,1769,0.8015828151498021,0.19841718485019785,0.07435005158185959,0.06353551149368286,-0.10582351684570312,0.11582350730895996,0.021069121360778816,0.0387134194374084,0.0770622777938842
0.70_0.80,956,0.7468619246861925,0.25313807531380755,0.05085190013051033,0.05652877688407898,-0.21640360355377197,0.2264035940170288,0.03949347138404846,0.07236357033252716,0.12078135311603579
0.80_0.90,357,0.6638655462184874,0.33613445378151263,0.018727997317910194,0.02760612964630127,-0.3131072521209717,0.3231072425842285,0.04566378593444825,0.08701156377792349,0.23629848241806028
0.90_1.00,48,0.041666666666666664,0.9583333333333334,-0.06416453421115875,-0.02437683939933777,-0.34545427560806274,0.3554542660713196,0.2593203604221344,0.2700074940919876,0.3451007002592087
