value,sample_count,coverage,violation_rate,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,0.75,0.25,0.01628551278265841,0.026228514732262426,-0.016468190730570414,0.035119013566441606,0.051587204297012024,-0.022492756149069162,0.032492754062906595,0.022744927844034625,0.027618840953470593,0.031517971441019386
0.10_0.20,128,0.46875,0.53125,-0.02043739282267487,-0.0016004172665704738,-0.24292521329872666,0.1229996377895076,0.36592485108823425,-0.7001073842624971,0.7101073747257539,0.1581972691286316,0.2529252037619834,0.467299967270042
0.20_0.30,764,0.40706806282722513,0.5929319371727748,-0.03954626076139302,-0.021831331212505745,-0.2809098516774174,0.18822772592853776,0.46913757760595515,-0.7175991821554627,0.7275991726187195,0.25466666519027614,0.2909098421406742,0.44310661107296795
0.30_0.40,1998,0.3883883883883884,0.6116116116116116,-0.016164227285185438,-0.03281595192820301,-0.23210600055898212,0.26499860725022767,0.4971046078092098,-0.4358979022874183,0.44589789275067515,0.20704099653652283,0.2421059910222388,0.30093786256946903
0.40_0.50,730,0.4671232876712329,0.5328767123287671,0.012449708841417328,0.00010593031929201357,-0.19954878712816446,0.30869938462767155,0.508248171755836,-0.3553005702959017,0.3653005607591585,0.18041582123635871,0.20954877759142113,0.2795155025737501
0.55_0.60,802,0.37032418952618457,0.6296758104738155,0.00241757071544877,-0.006907931438889375,-0.10033389407755983,0.14252820679879738,0.2428621008763572,-0.3466585332111918,0.3566585236744486,0.08666338828255703,0.1103338845408166,0.1706105662032749
0.60_0.65,1407,0.34399431414356785,0.6560056858564322,0.0050246003190873275,-0.006669520667340223,-0.08217092004714413,0.13760720908652307,0.2197781291336672,-0.3640844207296633,0.37408441119292013,0.0701342385215749,0.09217091498074935,0.1407042803429518
0.65_0.70,1360,0.35,0.65,0.008148706186165559,-0.006958809399245751,-0.06879801608234806,0.14227934272684623,0.2110773588091943,-0.17952996270248112,0.18952995316573795,0.06299239775624815,0.07879800654560488,0.11845471186084454
0.70_0.80,2296,0.39590592334494773,0.6040940766550522,0.02138835835955557,-0.0017012811541068928,-0.0646723591336093,0.19311400670051662,0.25778636583412595,-0.19521465803792104,0.20521464850117788,0.06051815690638704,0.07467234959686614,0.11186405351676276
0.80_0.90,1231,0.4849715678310317,0.5150284321689683,0.052325364643703,0.007534630817025323,-0.06337532028990872,0.34333131495528785,0.40670663524519657,-0.13442229382633897,0.1444222842895958,0.06000364292453153,0.07337531075316556,0.10591468782368456
0.90_1.00,353,0.5325779036827195,0.46742209631728043,0.05851069558680953,0.015384712118447386,-0.059869973614281105,0.3296434789380945,0.38951345255237557,-0.10514623248253885,0.11514622294579568,0.05890734788244482,0.06986996407753794,0.09135316541042743
