value,sample_count,coverage,violation_rate,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,565,0.40707964601769914,0.5929203539823009,0.005922262985894359,-0.0033214932823658616,-0.17402165780426393,0.21699862745585705,0.391020285260121,-0.3213113055920218,0.33131129605527865,0.1274019070079127,0.18402164826752063,0.2829710371100286
0.10_0.20,887,0.4137542277339346,0.5862457722660653,0.014384479316383371,-0.0023645942282982113,-0.1649262463220995,0.25337563393693413,0.41830188025903364,-0.33079913085057355,0.3407991213138304,0.12368827553179589,0.17492623678535626,0.2657291564723143
0.20_0.30,1021,0.4152791380999021,0.584720861900098,0.010208071251937427,-0.0057400056346987305,-0.160732437586658,0.21009561589952314,0.37082805348618114,-0.3975163420669702,0.407516332530227,0.11556247737124029,0.17073242804991484,0.2508313237672422
0.30_0.40,1207,0.40347970173985087,0.5965202982601492,0.013113639006195823,-0.004644570552301386,-0.15413658289817622,0.23800034294414474,0.39213692584232096,-0.7175991821554627,0.7275991726187195,0.10052055091177994,0.16413657336143309,0.2577711543213251
0.40_0.50,1293,0.3766434648105182,0.6233565351894819,0.004911853477489627,-0.005510779163923507,-0.1763982729544993,0.21299871097453799,0.3893969839290373,-0.4332651020844577,0.4432650925477145,0.12099441637069783,0.18639826341775606,0.2818777988743405
0.50_0.60,1103,0.3871260199456029,0.6128739800543971,0.0066542761685942685,-0.0071979137299992835,-0.1689358560091845,0.23366175451078666,0.40259761051997117,-0.5215566443321009,0.5315566347953578,0.1326151369637718,0.17893584647244123,0.28553949697182174
0.60_0.70,922,0.3926247288503254,0.6073752711496746,0.0032057977875415093,-0.007100496748930943,-0.18130427776206476,0.23265072381258448,0.41395500157464926,-0.36175843155324733,0.37175842201650416,0.13266143471142947,0.19130426822532148,0.26189307375098936
0.70_0.80,608,0.40789473684210525,0.5921052631578947,0.006768640571768727,-0.0058488392406714496,-0.1935633721739949,0.2744155995051153,0.4679789716791102,-0.593226194024469,0.6032261844877258,0.14418812764960673,0.20356336263725172,0.2746548752085851
0.80_0.90,226,0.4424778761061947,0.5575221238938053,0.024102117021681795,0.0008752935441580789,-0.17380951942610456,0.30912035988322245,0.482929879309327,-0.26188439529649277,0.2718843857597496,0.11113587230766393,0.1838095098893614,0.26418925621038764
0.90_1.00,27,0.5925925925925926,0.4074074074074074,0.031110789281907098,0.02724102512940696,-0.12160601308959525,0.24453294681121845,0.3661389599008137,-0.15550155767724044,0.16550154814049728,0.08821171959313283,0.13160600355285207,0.16037651212624926
<NA>,3214,0.40261356565028,0.5973864343497199,0.008988373416175536,-0.0051104963190557184,-0.17370393669538278,0.23282944510808065,0.40653338180346343,-0.7001073842624971,0.7101073747257539,0.11964428475150873,0.1837039271586396,0.27727448406840455
