iter	Quantile:alpha=0.9
0	0.1772873889
1	0.1750576421
2	0.1730328571
3	0.1710421411
4	0.1690526516
5	0.1670701699
6	0.1654353181
7	0.1637416408
8	0.161964716
9	0.160396682
10	0.1588830716
11	0.1575587204
12	0.1561228053
13	0.1547668949
14	0.1536093278
15	0.1523299996
16	0.1512522837
17	0.1500416261
18	0.149207458
19	0.1482150062
20	0.1473104618
21	0.146410557
22	0.145414801
23	0.1444936277
24	0.1436649934
25	0.1428825645
26	0.1420011056
27	0.1412981353
28	0.1405526615
29	0.1399026575
30	0.1391594201
31	0.1385187134
32	0.1377598311
33	0.1370692878
34	0.1364380248
35	0.1358793525
36	0.1353703605
37	0.1349111122
38	0.1344143695
39	0.133870699
40	0.1333998986
41	0.1328473827
42	0.1323852514
43	0.131762272
44	0.1313532214
45	0.1307892638
46	0.1304659483
47	0.1300997156
48	0.1297021113
49	0.1293957768
50	0.1289486983
51	0.128591667
52	0.1283530025
53	0.1279338826
54	0.1275324645
55	0.1272318555
56	0.1269679291
57	0.1267478111
58	0.1263426675
59	0.1260477733
60	0.125706418
61	0.1254039573
62	0.1250911817
63	0.124833559
64	0.124661334
65	0.1244535031
66	0.1242039935
67	0.1240016489
68	0.1237846892
69	0.1235374821
70	0.1233890192
71	0.1228784072
72	0.1227433279
73	0.1225293916
74	0.1223150203
75	0.1221295038
76	0.1218182408
77	0.1217147639
78	0.1214686722
79	0.1211384374
80	0.1209390125
81	0.1207722804
82	0.1206893933
83	0.120275951
84	0.1200501449
85	0.1199814114
86	0.1195909406
87	0.1195319582
88	0.1194414286
89	0.119332634
90	0.1192371056
91	0.1191538998
92	0.1189277346
93	0.118577083
94	0.1182716901
95	0.1180480295
96	0.1179842859
97	0.1179333669
98	0.1178721795
99	0.1176275595
100	0.1175697065
101	0.1174992181
102	0.1174465466
103	0.1171336874
104	0.1170808479
105	0.1167075968
106	0.1163944233
107	0.1163314292
108	0.1162794683
109	0.1159670689
110	0.115692325
111	0.1154851312
112	0.1152811894
113	0.1152182811
114	0.1151795261
115	0.1151425731
116	0.1150886969
117	0.1150212185
118	0.114961121
119	0.1148983115
120	0.1146868586
121	0.1146311736
122	0.1145931837
123	0.1144570455
124	0.1144122091
125	0.114347545
126	0.1143188385
127	0.1142879108
128	0.1142437542
129	0.1140532875
130	0.1139228226
131	0.1137776001
132	0.1137409516
133	0.1135360299
134	0.1134809259
135	0.1134127332
136	0.1132364402
137	0.1131877782
138	0.1131300858
139	0.1129630676
140	0.1127373811
141	0.1125623308
142	0.1125064983
143	0.1124449197
144	0.1124120956
145	0.1123549048
146	0.1123257086
147	0.112283012
148	0.1120997509
149	0.1120616504
150	0.1119272772
151	0.1118782157
152	0.1118371134
153	0.1118018227
154	0.1117662161
155	0.1117281902
156	0.111688761
157	0.1116492987
158	0.1116146411
159	0.1115890146
160	0.1114553795
161	0.1114243527
162	0.1113851561
163	0.1113464277
164	0.1113105958
165	0.1111134739
166	0.1110629516
167	0.1110282762
168	0.1109229183
169	0.1108037631
170	0.1107765971
171	0.1107471393
172	0.1106970871
173	0.1106545385
174	0.1106208991
175	0.1106085916
176	0.1105708033
177	0.1105446273
178	0.1105105161
179	0.1104779026
180	0.1103452169
181	0.1102010999
182	0.1101376654
183	0.1100907837
184	0.110057704
185	0.1100388516
186	0.1100015756
187	0.1099713327
188	0.1099364757
189	0.1098990921
190	0.1098558186
191	0.1097984848
192	0.1097807422
193	0.1097463836
194	0.1097146258
195	0.109681584
196	0.1096578619
197	0.1096462127
198	0.1095515424
199	0.109517842
200	0.1094794321
201	0.1094362418
202	0.1093998589
203	0.1093850453
204	0.1093660669
205	0.1093390927
206	0.1092079502
207	0.1091785825
208	0.1091346637
209	0.1091022761
210	0.1090732383
211	0.1090617626
212	0.10903355
213	0.1089567573
214	0.1089354993
215	0.1089184808
216	0.1088895696
217	0.1088665539
218	0.1087838182
219	0.108749965
220	0.1087279516
221	0.1086925333
222	0.1086753716
223	0.108642792
224	0.1086058392
225	0.1085741004
226	0.1084990105
227	0.1084599554
228	0.1084237004
229	0.1083724113
230	0.1083314267
231	0.1081712379
232	0.1080206392
233	0.1078972739
234	0.1078793932
235	0.1078519893
236	0.107827366
237	0.1078101486
238	0.1077949553
239	0.1077749403
240	0.107749973
241	0.1077278318
242	0.107579522
243	0.1075491032
244	0.107530436
245	0.1075059375
246	0.1074313878
247	0.1074030915
248	0.1073870412
249	0.1073563549
250	0.1073428782
251	0.1073124983
252	0.1072799119
253	0.1072653096
254	0.1072450669
255	0.1072160229
256	0.1072033759
257	0.1071718337
258	0.1071378603
259	0.1071071905
260	0.1070870348
261	0.1070241821
262	0.1070015521
263	0.1069827935
264	0.1069474322
265	0.1069199093
266	0.106888081
267	0.1068605407
268	0.1068251143
269	0.1067934678
270	0.106771808
271	0.1067366181
272	0.1065965265
273	0.1065514073
274	0.106526729
275	0.1065078966
276	0.1064738509
277	0.1064376285
278	0.1064241896
279	0.106392782
280	0.1063334599
281	0.1063120927
282	0.1062703673
283	0.1062465309
284	0.1062305707
285	0.1062049237
286	0.1061718821
287	0.1061520623
288	0.1061244228
289	0.1061028486
290	0.1060731051
291	0.1060498285
292	0.106035913
293	0.1059581624
294	0.1058488024
295	0.1058196039
296	0.1057956576
297	0.1057698771
298	0.1057330636
299	0.1057065553
300	0.1056725855
301	0.1056502852
302	0.1056293914
303	0.1056037727
304	0.1055881714
305	0.1055626205
306	0.1055362429
307	0.1055076752
308	0.1054168921
309	0.1053863603
310	0.1053619512
311	0.1052200748
312	0.105181062
313	0.1051567318
314	0.1051182567
315	0.1050732471
316	0.1050507773
317	0.1050304685
318	0.1050110221
319	0.1049906156
320	0.104981892
321	0.1049537288
322	0.1049451347
323	0.1049187123
324	0.1048139211
325	0.1047721457
326	0.1047466185
327	0.1047236874
328	0.1047003209
329	0.1046748805
330	0.1046631209
331	0.1046452297
332	0.1046167129
333	0.1045997752
