feature,importance_q50,importance_q60,importance_q70,importance_q80,importance_q90,importance_mean
p_side,25.424361749945735,29.259087863277646,32.99674986787264,27.794821471282017,22.244902201452746,27.543984630766158
selected_side,12.069475022572254,12.237994174259477,11.479540178748195,16.031613336072475,12.913528148307797,12.94643017199204
micro_rv_10s,3.330643003355936,2.663561017766077,5.757866783459582,4.246448493090842,4.00904708136422,4.001513275807332
micro_rv_5s,2.1254773615140246,3.0661214422713754,4.26259011916521,3.6352105822511747,2.7859247729877192,3.175064855637901
micro_rv_30s,2.2867732085084898,3.316112363239547,1.7667593908610704,3.0244112833318217,2.689545100191289,2.6167202692264433
context_ret_product__clv_1__ret_1,1.7022372308069995,2.0107504733100408,2.1991006502533645,2.524921055177288,3.6784117847815727,2.423084238865853
micro_rv_60s,1.3868021880932035,1.8207157465126036,3.87697248917737,1.6452750164796635,2.0372082487398946,2.153394737800547
direction_confidence,1.3782590331817717,1.2260881505483727,1.5651646582647745,1.376070843631328,2.5609961158870105,1.6213157603026516
rv_30_delta_1,1.553736677845103,1.2414180900400498,0.6161236611683868,0.8838216768268453,1.8179294015792073,1.2226059014919186
ret_vol_ratio__ret_1__rv_30,1.6792759803045276,1.1850540167422816,1.140874908326557,1.1793110919706251,0.424123747570935,1.1217279489829852
ret_close_z_product__ret_1__close_z_3,0.49237195599615013,0.3602130770843648,1.2257776522395512,1.7885605813470686,1.55746155621685,1.084876964576797
ret_1_rolling_z_24,0.9538221630811866,1.257217826656449,1.2969861779900078,0.78940894376771,1.0447087555927268,1.068428773417616
htf_rv_15m_delta_1,0.5100830325975477,0.2761523641380972,0.5748775759282354,0.9787546896374252,1.396927657525957,0.7473590639654526
rv_10_delta_1,0.9099997761650126,0.6958447103324126,0.4240380360734705,0.7060927977301762,0.7403131922196176,0.6952577025041379
ret_vol_ratio__ret_1__rv_10,0.7137857904829187,0.45840014082044683,0.5457732436834021,0.3931448925532728,1.0166501668515615,0.6255508468783203
ret_close_z_product__ret_1__close_z_5,0.24905301225595758,0.5177072699803092,0.4712398472122652,0.7711575855593864,0.9097187636044703,0.5837752957224778
rv_5_delta_1,0.28490434670152753,0.18284111087119326,0.2748077316432187,0.53007668801241,1.5609342961007178,0.5667128346658135
p_bin,0.4904778796009741,0.05820655491369921,0.3613535671753939,1.4564476466034177,0.052244314659214516,0.48374599259053996
ret_range_pos_product__ret_1__range_pos_5,0.10050225335350413,0.06376005609749803,0.07027460911481319,1.8421802238997114,0.05919606644447025,0.42718264178199944
ret_1_mean_gap_24,0.3389051114985828,0.1524973600447554,0.17443368967179276,1.2254850193554854,0.061890810410960194,0.3906423981963153
ret_vol_ratio__ret_1__rv_3,0.4326766593592087,0.6247700402434672,0.3720209083341687,0.23113052434241677,0.1933048405874497,0.3707805945733423
htf_rv_15m,0.3306399817632756,0.19686247021879436,0.06255788831263477,0.27653767394875495,0.7026670011066724,0.3138530030700264
htf_close_z_15m_delta_1,0.6764769744664695,0.41401201112196373,0.08413426684558362,0.08138665491614923,0.3117294011495148,0.3135478616999362
body_pct_1,0.03584801734744355,0.1830495356267023,0.5089962948099276,0.605079528918408,0.21049879728636917,0.30869443479777015
