value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,0.0,1.0,-0.01723833754658699,-0.016370413824915886,-0.03546324744820595,0.04546324908733368,0.040160552039742475,0.04281190056353807,0.04493297938257455
0.10_0.20,128,0.0625,0.9375,-0.0274210087954998,-0.02562948316335678,-0.14391955733299255,0.15391957759857178,0.07001602053642272,0.0920146610587835,0.13376271262764938
0.20_0.30,764,0.061518324607329845,0.9384816753926701,-0.023241616785526276,-0.0209682434797287,-0.20552921295166016,0.215529203414917,0.06405770182609559,0.07853777557611469,0.11459335744380957
0.30_0.40,1998,0.08208208208208208,0.9179179179179179,-0.021719859912991524,-0.0201379656791687,-0.13425113260746002,0.14425113797187805,0.06382395848631858,0.07538239844143389,0.10258041232824325
0.40_0.50,3077,0.06987325316867078,0.9301267468313292,-0.022779224440455437,-0.020440727472305298,-0.4721857011318207,0.4821856915950775,0.0642150640487671,0.07745437622070311,0.10187594652175903
0.50_0.55,1518,0.07509881422924901,0.924901185770751,-0.02232302539050579,-0.02083483338356018,-0.16732951998710632,0.17732951045036316,0.06442038863897323,0.07537181861698625,0.09886313080787658
0.55_0.60,1521,0.07297830374753451,0.9270216962524654,-0.02397107146680355,-0.021256327629089355,-0.43537965416908264,0.4453796446323395,0.06787531077861786,0.07781895995140076,0.11887642741203298
0.60_0.65,1407,0.0689410092395167,0.9310589907604833,-0.023852821439504623,-0.021954484283924103,-0.2949204444885254,0.3049204349517822,0.06455861777067184,0.07464221119880676,0.10941490232944498
0.65_0.70,1360,0.0625,0.9375,-0.02393779158592224,-0.021514669060707092,-0.23389220237731934,0.24389219284057617,0.06338672637939455,0.07776002921164035,0.10955488704144976
0.70_0.80,2296,0.0740418118466899,0.9259581881533101,-0.023200195282697678,-0.02091989666223526,-0.43665724992752075,0.4466572403907776,0.06439618766307831,0.07597148418426514,0.10959074348211342
0.80_0.90,1231,0.10722989439480098,0.892770105605199,-0.02002568170428276,-0.018178343772888184,-0.2372380793094635,0.24723806977272034,0.06660644710063934,0.07773314416408539,0.118857427686453
0.90_1.00,353,0.22662889518413598,0.773371104815864,-0.014941923320293427,-0.015623390674591064,-0.12451928853988647,0.1345192939043045,0.06278541088104249,0.07734549045562741,0.09364418745040896
