value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,1202,1.0,0.0,0.2846421003341675,0.2762611508369446,0.013688236474990845,0.0,0.0,0.0,0.0
0.10_0.20,1797,0.9410127991096272,0.05898720089037284,0.2030200958251953,0.19333142042160034,-0.07526499778032303,0.08526500314474106,0.0,0.0065654784440994035,0.052146854400634705
0.20_0.30,2165,0.7935334872979215,0.20646651270207853,0.10140037536621094,0.08989967405796051,-0.15999315679073334,0.16999314725399017,0.03995826244354261,0.07378241121768951,0.12184884607791933
0.30_0.40,2451,0.5369237046103631,0.4630762953896369,0.03425552323460579,0.018655091524124146,-0.23380793631076813,0.24380792677402496,0.09152837097644806,0.12123405188322067,0.1738150417804718
0.40_0.50,2479,0.3771682129891085,0.6228317870108915,-0.004794352222234011,-0.017565548419952393,-0.36216211318969727,0.3721621036529541,0.12031770348548898,0.15157283842563626,0.20276292383670766
0.50_0.60,2433,0.26181668721742707,0.738183312782573,-0.04323454201221466,-0.04966706037521362,-0.37328028678894043,0.38328027725219727,0.16676784157753,0.19691394567489623,0.2570708394050591
0.60_0.70,1769,0.21028829847371397,0.789711701526286,-0.06469475477933884,-0.060759663581848145,-0.5571560859680176,0.5671560764312744,0.20056414604187012,0.23595100045204145,0.3293802773952483
0.70_0.80,956,0.16108786610878661,0.8389121338912134,-0.06522849947214127,-0.05426189303398132,-0.462858647108078,0.47285863757133484,0.17735102772712708,0.22546374797821045,0.3852191388607025
0.80_0.90,357,0.036414565826330535,0.9635854341736695,-0.08389654010534286,-0.06454378366470337,-0.6330997347831726,0.6430997252464294,0.16266398429870613,0.22024208307266235,0.5511301803588867
0.90_1.00,48,0.0,1.0,-0.17455627024173737,-0.09559723734855652,-0.797961413860321,0.8079614043235779,0.5210591256618501,0.588729953765869,0.7369586169719697
