experiment_id,variant,prediction_column,source_type,prediction_path,sample_count,coverage_margin,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p99_violation,max_violation,positive_gap_count,positive_gap_share,positive_gap_q10,positive_gap_q25,positive_gap_median,positive_gap_mean,positive_gap_q75,positive_gap_q90,positive_gap_max,positive_gap_q90_q10
20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p02,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p02/reports/predictions_validation.parquet,7432,0.01,0.9032561894510226,0.25409638797486617,0.22545450687408447,-0.02200042247772217,0.6071401001214981,0.6291405225992203,0.09367219691276524,0.24424584865570065,6834.0,0.9195371367061357,0.04904546480496722,0.11454021155834193,0.2544532954692841,0.27993878974579733,0.4270220500230789,0.5489552755355834,0.8905677103996277,0.4999098107306162
20260614_upper_bound_mlp_aug_lagrangian,selected_prediction,p_upper_bound,mlp,price_estimator/upper_bound_mlp/reports/predictions_validation.parquet,7432,0.01,0.9025834230355221,0.21755212462802162,0.19074016153812406,-0.027368997514247914,0.5383444378376007,0.5657134353518486,0.110316135014999,0.39594525694847105,6832.0,0.9192680301399354,0.04905225348472594,0.10412125617265701,0.21124189138412475,0.24112179712633075,0.3515881825862064,0.4776401615142823,0.877752583026886,0.4285879080295564
20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p03,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p03/reports/predictions_validation.parquet,7432,0.01,0.8926264800861141,0.24833648882426593,0.22022135853767397,-0.02732736216606787,0.6015705156326294,0.6288978777986973,0.09841803054809567,0.25256016016006466,6758.0,0.9093110871905274,0.04754400300979611,0.11378749310970307,0.2525215148925781,0.27731691301545536,0.42283788323402405,0.5451165204086303,0.88649897813797,0.49757251739883424
20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p05,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p05/reports/predictions_validation.parquet,7432,0.01,0.8776910656620022,0.2400813190943502,0.21148142135248774,-0.0345884505259422,0.5942834005355835,0.6288718510615257,0.1060499165058136,0.25776293039321896,6664.0,0.8966630785791173,0.046304285526275614,0.10939899861812595,0.24861974000930787,0.27285462926106935,0.4163841450214386,0.5364711153507232,0.8819818997383118,0.4901668298244476
20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p08,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu20_upper_bound_mlp_asym_wu20p0_s0p08/reports/predictions_validation.parquet,7432,0.01,0.859930032292788,0.22918531327121663,0.19986590862274167,-0.044015262842178375,0.5823892968893051,0.6264045597314835,0.11757644650936118,0.2657892322540283,6544.0,0.8805166846071044,0.041888109121397434,0.10539584934711453,0.2434588098526001,0.2667408552404293,0.4085594594478607,0.5265756373405457,0.8776482844352722,0.48468752821914823
20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p02,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p02/reports/predictions_validation.parquet,7432,0.01,0.8474165769644779,0.22104769708567906,0.19186186098644206,-0.049377331211280816,0.5714133882845666,0.6207907194958474,0.12567104892730702,0.285571596622467,6436.0,0.8659849300322928,0.04108808875083922,0.10280362844467161,0.238948837518692,0.26259481023481984,0.399927607178688,0.5189171469211578,0.8740202689170837,0.4778290581703185
20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p03,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p03/reports/predictions_validation.parquet,7432,0.01,0.83745963401507,0.21620266269043575,0.18751409530639648,-0.05366174852848052,0.5673567725419998,0.6210185210704803,0.13223891370296478,0.28909965515136715,6365.0,0.8564316469321851,0.039770002841949426,0.10155443191528324,0.2362722086906433,0.26062205829647095,0.3967185878753662,0.514643779056549,0.8714898133277893,0.4748737762145996
20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p05,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p05/reports/predictions_validation.parquet,7432,0.01,0.8205059203444564,0.20751274043087864,0.1780388844013214,-0.060553816080093345,0.5577303681373595,0.6182841842174529,0.13842341780662523,0.29551681041717526,6256.0,0.8417653390742734,0.036837708950042736,0.09845619082450868,0.23157890558242797,0.2562880563914695,0.3911453139781952,0.5070353305339813,0.8653383159637451,0.4701976215839386
20260614_capped_quantile_signal_filter,q90,pred_q90,quantile,price_estimator/experiment/20260614_capped_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.8165509259259259,0.16525651223036372,0.13782946501611648,-0.05398904870886546,0.4650031544158287,0.5189922031246942,0.1271362979015375,0.29774273602854284,4354.0,0.839891975308642,0.030903486250890407,0.07913758602924813,0.17532242381998991,0.20527122209074025,0.30439673731500694,0.42511532147712006,0.7962352613304684,0.39421183522622966
quantile_baseline,q90,pred_q90,quantile,price_estimator/data/predictions_validation.parquet,7432,0.01,0.8132400430570506,0.16819882902906017,0.1425989923677185,-0.05761318864418479,0.4688936944666014,0.5265068831107862,0.12989158055412264,0.5879158051511523,6221.0,0.8370559741657696,0.032642613797862596,0.08327878505799102,0.18383683788378424,0.2100801690315028,0.31184047868804204,0.42873791446425896,0.7962352613304684,0.39609530066639637
