iter	Quantile:alpha=0.9
0	0.1700146539
1	0.1680343547
2	0.1660588069
3	0.1641527967
4	0.1624050871
5	0.1607926116
6	0.1592087807
7	0.1578099099
8	0.1565680729
9	0.1552133213
10	0.1539163878
11	0.1525694667
12	0.151383324
13	0.1501696159
14	0.149032936
15	0.1480107686
16	0.1470457454
17	0.1460304323
18	0.145040122
19	0.1441415663
20	0.1433401919
21	0.1425552402
22	0.1414958345
23	0.1407699988
24	0.1401211243
25	0.1394343944
26	0.1388310943
27	0.1381891644
28	0.1376238337
29	0.1370109682
30	0.1364419019
31	0.1359153424
32	0.1352958445
33	0.1348599574
34	0.1343974157
35	0.1340110533
36	0.1335275512
37	0.1332081604
38	0.1328365243
39	0.1321605569
40	0.1318735352
41	0.1315556188
42	0.131156465
43	0.1308016652
44	0.130567623
45	0.1302357346
46	0.1299139116
47	0.1295756106
48	0.1293396819
49	0.1290948708
50	0.1288775885
51	0.1286905963
52	0.1284146403
53	0.1282415012
54	0.1280809913
55	0.127852737
56	0.1275669302
57	0.1269217862
58	0.1262614211
59	0.1256415077
60	0.1254529688
61	0.1252380256
62	0.1250100027
63	0.1248575889
64	0.1246836042
65	0.1245645921
66	0.1239850288
67	0.1234749504
68	0.1233387896
69	0.1231949673
70	0.1227455955
71	0.1226099431
72	0.12246987
73	0.122039528
74	0.1219571022
75	0.1215172648
76	0.1214122006
77	0.1212832328
78	0.1211799769
79	0.1210589434
80	0.1206369065
81	0.1205546068
82	0.1204825117
83	0.1201066693
84	0.1200449616
85	0.1199715096
86	0.1198828818
87	0.1195388405
88	0.1194742354
89	0.1193880798
90	0.1193123759
91	0.1192403387
92	0.1188932644
93	0.118808396
94	0.1184925008
95	0.1184386371
96	0.1183955879
97	0.1183546337
98	0.118260514
99	0.1182043466
100	0.1178834054
101	0.1175708302
102	0.1174713942
103	0.1172204545
104	0.117166652
105	0.1171310672
106	0.1169394985
107	0.1166359899
108	0.1165881029
109	0.1162327441
110	0.1161874203
111	0.1161494228
112	0.1160855534
113	0.1160531018
114	0.1160056388
115	0.1159781741
116	0.1157513661
117	0.1157175214
118	0.115679413
119	0.1154444603
120	0.1153009667
121	0.1152613926
122	0.115219566
123	0.115196233
124	0.1151559579
125	0.1149111102
126	0.1148805324
127	0.1146519451
128	0.1146132275
129	0.1145787542
130	0.1143980075
131	0.1143560707
132	0.1143228709
133	0.1142676206
134	0.1142465914
135	0.1142108604
136	0.1141826097
137	0.1141551381
138	0.1141191938
139	0.1140381996
140	0.1140038865
141	0.1139675873
142	0.1139204367
143	0.1138667123
144	0.1138313922
145	0.1136649735
146	0.1134473273
147	0.1134201526
148	0.1132399866
149	0.1132121257
150	0.1131838508
151	0.1131599812
152	0.1130087196
153	0.1129308108
154	0.1129049404
155	0.1128728848
156	0.1128429044
157	0.1126905912
158	0.1126699029
159	0.1125267493
160	0.112499542
161	0.1124765443
162	0.1124483626
163	0.1124163673
164	0.1123739239
165	0.1123457379
166	0.1123180251
167	0.1122956794
168	0.1122527256
169	0.1122254739
170	0.1122003477
171	0.1121709789
172	0.1120380962
173	0.1120222518
174	0.1119947355
175	0.1118201014
176	0.1117930847
177	0.1117700595
178	0.1117081748
179	0.1116878948
180	0.1116715389
181	0.1116397464
182	0.1116012727
183	0.1115755887
184	0.1115524265
185	0.111523312
186	0.111496201
187	0.1114689312
188	0.1114516688
189	0.1114126137
190	0.1113861343
191	0.1113708389
192	0.1113455618
193	0.1111771282
194	0.1110326694
195	0.1110111936
196	0.1109902701
197	0.1109699453
198	0.1109548858
199	0.1109206432
200	0.1107726257
201	0.1107569235
202	0.110740173
203	0.1107022718
204	0.1106800252
205	0.1106696848
206	0.1106591658
207	0.1106378829
208	0.1105165659
209	0.1104936269
210	0.1104775322
211	0.1104561188
212	0.110424954
213	0.110294038
214	0.1102724989
215	0.1102407146
216	0.1102111888
217	0.1101906645
218	0.1101531131
219	0.110145429
220	0.1100373144
221	0.110026975
222	0.1100041868
223	0.1099791205
224	0.10988031
225	0.1098627544
226	0.1098337882
227	0.1098122949
228	0.1097832496
229	0.1097684867
230	0.1097481117
231	0.1097309195
232	0.1095812882
233	0.1095561073
234	0.1095408372
235	0.1095111149
236	0.1094858972
237	0.1094581663
238	0.1094345454
239	0.1094082438
240	0.1092751775
241	0.1092566713
242	0.109235023
243	0.1092145448
244	0.1091873806
245	0.1091579
246	0.1091364068
247	0.10911194
248	0.1090910743
249	0.1090668686
250	0.1090381038
251	0.1090153468
252	0.1090014801
253	0.1089761662
254	0.1089620453
255	0.1089350085
256	0.1089050005
257	0.1088930661
258	0.1088796887
259	0.1087778904
260	0.1087477335
261	0.1087355148
262	0.1087108674
263	0.1085699044
264	0.1085453555
265	0.1085112556
266	0.1084207781
267	0.1084025852
268	0.108381453
269	0.1083098441
270	0.1082886929
271	0.1082751179
272	0.1082485624
273	0.1082271398
274	0.1082143187
275	0.1081885148
276	0.1081170249
277	0.1081041121
278	0.107976879
279	0.1079653874
280	0.1079491418
281	0.1079228193
282	0.1079012544
283	0.1077931249
284	0.1077791761
285	0.1077642814
286	0.1076574313
287	0.1075678271
288	0.1074433358
289	0.10734092
290	0.1073167389
291	0.1072020467
292	0.1071792879
293	0.1071550057
294	0.1070631467
295	0.1070424253
296	0.1070208315
297	0.107000894
298	0.1069774623
299	0.1069502529
300	0.1069308187
301	0.1069079325
302	0.1068844831
303	0.1068689135
304	0.1068529644
305	0.1068379664
306	0.106730683
307	0.1067115448
308	0.1066241012
309	0.1066050046
310	0.1065884352
311	0.1065651193
312	0.1065419931
313	0.1065230894
314	0.1065042041
315	0.1064876072
316	0.1064628814
317	0.106440578
318	0.1064156395
319	0.1063942661
320	0.1063809835
321	0.1063624343
322	0.1063496155
323	0.1063294567
324	0.1063019675
325	0.106277031
326	0.1062510808
327	0.1062340721
328	0.1062096431
329	0.1061807184
330	0.1061655876
331	0.1061456199
332	0.1061282374
333	0.1061030233
334	0.1060682154
335	0.1060520909
336	0.1060264087
337	0.1060141583
338	0.1059954248
339	0.1059731805
340	0.1059255664
341	0.1058889677
342	0.1058655919
343	0.1058510934
344	0.1058303387
345	0.1058110646
346	0.1057803549
347	0.1057491987
348	0.105731179
349	0.1057153845
350	0.1056997423
351	0.1056742828
352	0.1056606863
353	0.1056418361
354	0.1056253677
355	0.1056136497
356	0.1055929565
357	0.1055727809
358	0.1055407794
359	0.1054746667
360	0.1054580305
361	0.1054341838
362	0.1054123171
363	0.1053877359
364	0.1053709634
365	0.1053517807
366	0.105342985
367	0.1053237351
368	0.1053126362
369	0.1052879632
370	0.1052741374
371	0.1052423726
372	0.1052202656
373	0.1051817442
374	0.1051752998
375	0.105148328
376	0.105128229
377	0.105109691
378	0.1050760288
379	0.1050491767
380	0.1050385231
381	0.1050127569
382	0.105003328
383	0.104979119
384	0.1049476042
385	0.1049357612
386	0.1049136152
387	0.1048780916
388	0.1048625482
389	0.1048458895
390	0.1048286399
391	0.1048069843
392	0.1047972134
393	0.1047914664
394	0.1047732361
395	0.1047540873
396	0.1047355319
397	0.1047102082
398	0.1046879576
