iter	Passed	Remaining
0	153	461559
1	311	466805
2	486	485845
3	663	496787
4	827	495789
5	1001	499622
6	1167	499051
7	1333	498884
8	1506	500679
9	1678	501951
10	1833	498346
11	2004	499098
12	2179	500880
13	2350	501400
14	2521	501864
15	2683	500562
16	2855	501006
17	3020	500425
18	3195	501304
19	3367	501744
20	3537	501787
21	3724	504154
22	3900	504893
23	4073	505099
24	4246	505307
25	4419	505545
26	4604	506981
27	4772	506545
28	4937	505822
29	5115	506408
30	5292	506927
31	5469	507270
32	5641	507207
33	5816	507418
34	5992	507638
35	6169	507960
36	6345	508135
37	6521	508368
38	6694	508285
39	6857	507454
40	7019	506633
41	7189	506333
42	7375	507172
43	7548	507138
44	7711	506420
45	7883	506275
46	8077	507522
47	8254	507621
48	8428	507622
49	8597	507234
50	8758	506441
51	8935	506545
52	9108	506493
53	9287	506663
54	9453	506204
55	9624	505982
56	9791	505531
57	9966	505545
58	10142	505575
59	10306	505008
60	10471	504543
61	10643	504352
62	10816	504256
63	10989	504165
64	11165	504178
65	11327	503544
66	11500	503459
67	11713	505044
68	11896	505363
69	12127	507633
70	12339	509066
71	12527	509438
72	12733	510568
73	12914	510662
74	13100	510907
75	13270	510575
76	13438	510122
77	13610	509865
78	13782	509586
79	13951	509217
80	14114	508651
81	14288	508465
82	14459	508159
83	14634	508040
84	14797	507459
85	14962	506989
86	15129	506562
87	15301	506332
88	15472	506074
89	15636	505568
90	15800	505110
91	15965	504644
92	16143	504627
93	16328	504786
94	16505	504712
95	16679	504569
96	16851	504331
97	17021	504052
98	17197	503953
99	17374	503865
100	17550	503746
101	17723	503557
102	17898	503429
103	18065	503050
104	18229	502605
105	18391	502132
106	18563	501896
107	18729	501531
108	18895	501174
109	19060	500780
110	19231	500526
111	19403	500334
112	19581	500286
113	19751	500016
114	19927	499909
115	20092	499529
116	20257	499169
117	20427	498911
118	20595	498616
119	20766	498393
120	20943	498324
121	21107	497932
122	21279	497739
123	21466	497886
124	21638	497685
125	21811	497516
126	21983	497309
127	22178	497627
128	22404	498621
129	22743	502107
130	22936	502332
131	23117	502278
132	23292	502105
133	23494	502511
134	23680	502553
135	23851	502287
136	24043	502457
137	24218	502271
138	24433	502909
139	24633	503217
140	24795	502776
141	24969	502556
142	25144	502358
143	25308	501956
144	25499	502085
145	25699	502378
146	25885	502385
147	26080	502570
148	26265	502562
149	26511	503718
150	26689	503565
151	26861	503294
152	27033	503037
153	27201	502690
154	27393	502798
155	27595	503085
156	27780	503052
157	27976	503227
158	28152	503030
159	28355	503306
160	28541	503285
161	28719	503131
162	28900	503002
163	29101	503234
164	29331	503972
165	29501	503664
166	29712	504048
167	29935	504619
168	30107	504339
169	30310	504588
170	30567	505711
171	30768	505891
172	30939	505582
173	31114	505341
174	31289	505096
175	31470	504951
176	31648	504774
177	31816	504415
178	32007	504435
179	32180	504159
180	32344	503752
181	32516	503472
182	32692	503254
183	32866	502996
184	33036	502687
185	33223	502642
186	33387	502233
187	33559	501962
188	33731	501690
189	33895	501296
190	34071	501086
191	34240	500761
192	34417	500571
193	34586	500254
194	34750	499871
195	34923	499617
196	35087	499241
197	35262	499016
198	35431	498705
199	35599	498389
200	35773	498161
201	35935	497762
202	36107	497499
203	36279	497246
204	36443	496878
205	36609	496532
206	36770	496132
207	36954	496044
208	37143	496019
209	37317	495791
210	37487	495507
211	37672	495425
212	37847	495215
213	38016	494923
214	38187	494658
215	38355	494355
216	38533	494182
217	38696	493820
218	38873	493639
219	39040	493328
220	39204	492980
221	39366	492613
222	39528	492249
223	39704	492053
224	39879	491849
225	40049	491580
226	40222	491352
227	40395	491126
228	40567	490881
229	40743	490692
230	40916	490472
231	41102	490400
232	41267	490074
233	41451	489974
234	41712	490786
235	41950	491319
236	42169	491617
237	42370	491714
238	42554	491607
239	42739	491509
240	42908	491225
241	43086	491040
242	43258	490797
243	43423	490466
244	43596	490239
245	43774	490066
246	43938	489728
247	44110	489484
248	44271	489118
249	44439	488837
250	44612	488607
251	44786	488385
252	44953	488088
253	45125	487851
254	45297	487618
255	45475	487441
256	45652	487259
257	45824	487014
258	45987	486687
259	46153	486388
260	46328	486180
261	46499	485934
262	46681	485803
263	46857	485610
264	47031	485395
265	47207	485205
266	47382	485001
267	47549	484718
268	47719	484465
269	47888	484206
270	48062	483991
271	48231	483730
272	48398	483451
273	48572	483245
274	48746	483033
275	48923	482852
276	49090	482573
277	49279	482517
278	49455	482320
279	49618	482010
280	49806	481933
281	49980	481727
282	50155	481525
283	50329	481320
284	50496	481046
285	50665	480793
286	50831	480503
287	51016	480408
288	51197	480262
289	51373	480080
290	51546	479864
291	51713	479585
292	51887	479385
293	52066	479224
294	52234	478966
295	52438	479033
296	52625	478949
297	52802	478762
298	52979	478585
299	53167	478505
300	53367	478530
301	53541	478324
302	53719	478152
303	53895	477964
304	54059	477672
305	54222	477373
306	54402	477214
307	54572	476974
308	54750	476811
309	54927	476631
310	55098	476398
311	55275	476220
312	55443	475963
313	55614	475734
314	55802	475650
315	55978	475459
316	56141	475165
317	56309	474908
318	56483	474707
319	56655	474487
320	56827	474272
321	57002	474074
322	57165	473779
323	57359	473747
324	57531	473527
325	57717	473424
326	57880	473130
327	58052	472911
328	58219	472658
329	58386	472402
330	58549	472113
331	58714	471834
332	58877	471549
333	59042	471283
334	59215	471069
335	59383	470825
336	59549	470565
337	59718	470329
338	59891	470125
339	60064	469915
340	60243	469757
341	60413	469525
342	60576	469246
343	60739	468964
344	60912	468757
345	61076	468490
346	61252	468310
347	61440	468216
348	61605	467955
349	61771	467701
350	61938	467449
351	62104	467196
352	62267	466921
353	62435	466676
354	62604	466449
355	62767	466172
356	62934	465925
357	63101	465683
358	63271	465462
359	63448	465291
360	63614	465035
361	63791	464866
362	63966	464683
363	64132	464430
364	64309	464263
365	64477	464025
366	64645	463789
367	64811	463542
368	64982	463331
369	65175	463271
370	65347	463069
371	65523	462890
372	65696	462693
373	65874	462532
374	66044	462308
375	66210	462062
376	66383	461865
377	66557	461675
378	66724	461439
379	66890	461194
380	67056	460948
381	67227	460740
382	67400	460543
383	67572	460336
384	67742	460123
385	67906	459867
386	68080	459673
387	68254	459489
388	68425	459280
389	68596	459066
390	68764	458842
391	68933	458619
392	69096	458358
393	69260	458104
394	69427	457866
395	69597	457653
396	69769	457455
397	69943	457269
398	70117	457082
399	70286	456862
400	70452	456624
401	70626	456436
402	70793	456205
403	70958	455962
404	71130	455758
405	71294	455513
406	71461	455281
407	71727	455679
408	71923	455635
