alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta,selected_delta_quantile
2.0,2027.0,0.24611461874696455,2489.0,0.30220981058766394,3720.0,0.45167557066537156,0.9647251845775225,0.7139388052452647,5880.0,5880.0,0.9067347003610403,1.0,0.9091504517770893,1.0,6095.0,0.9067347010365837,2141.0,0.7400437105390967,0.5412459280890927,0.5651863688744982,8236.0,0.0,0.0,1,0.43567085862159727,0.2,0.2065269649028778,0.8
2.0,2027.0,0.24611461874696455,3167.0,0.3845313258863526,3042.0,0.36935405536668287,0.9514356029532404,0.7041039339485187,5799.0,5799.0,0.8787665006165836,1.0,0.8304980506735999,1.0,6095.0,0.8787665019996032,2141.0,0.7400437105390967,0.5332016470135097,0.5651863688744982,8236.0,0.0,0.0,2,0.33061878283818563,0.2,0.16355717182159424,0.8
2.0,2027.0,0.24611461874696455,4277.0,0.51930548810102,1932.0,0.23457989315201555,0.9337161607875307,0.690990772219524,5691.0,5691.0,0.8387523684436392,1.0,0.7291898373092247,1.0,6095.0,0.8387523691582316,2141.0,0.7400437105390967,0.5231580447683052,0.5651863688744982,8236.0,0.0,0.0,3,0.2731385350227356,0.2,0.10517407208681107,0.8
2.0,1723.0,0.20920349684312772,4329.0,0.5256192326372026,2184.0,0.2651772705196697,0.9322395406070549,0.6898980087421078,5682.0,5682.0,0.8355595891304693,1.0,0.7259691204935046,1.0,6095.0,0.8355595905442553,2141.0,0.7400437105390967,0.5226028972783384,0.5651863688744982,8236.0,0.0,0.0,4,0.2386796196301778,0.2,0.10449670255184174,0.85
2.0,899.0,0.10915492957746478,4403.0,0.5346041767848471,2934.0,0.3562408936376882,0.9410992616899098,0.6964545896066051,5736.0,5736.0,0.8323482547078663,0.9556926570154335,0.7220393057359744,1.0,6095.0,0.8323482589435068,2141.0,0.7400437105390967,0.5257090235822547,0.5651863688744982,8236.0,0.0,0.0,5,0.21748756269613903,0.15,0.12481972575187683,0.9
2.0,0.0,0.0,4699.0,0.570543953375425,3537.0,0.42945604662457504,0.9305988515176374,0.6886838271005342,5672.0,5672.0,0.8131424471452777,0.8920895579429267,0.69966147122617,1.0,6095.0,0.8131424490133567,2141.0,0.7400437105390967,0.522344850190425,0.5651863688744982,8236.0,0.0,0.0,6,0.20539237956206005,0.2,0.13409683108329773,0.92
2.0,0.0,0.0,5048.0,0.6129188926663429,3188.0,0.38708110733365714,0.9332239540607055,0.690626517727052,5688.0,5688.0,0.7952097735091763,0.87187904093076,0.668954639974026,1.0,6095.0,0.7952097755203359,2141.0,0.7400437105390967,0.5189372684498551,0.5651863688744982,8236.0,0.0,0.0,7,0.2009634961684545,0.15,0.10619062930345535,0.92
2.0,0.0,0.0,5079.0,0.616682855755221,3157.0,0.38331714424477903,0.9340442986054143,0.6912336085478388,5693.0,5693.0,0.783640156536359,0.8551425265813246,0.6467092751688274,1.0,6095.0,0.7836401604048986,2141.0,0.7400437105390967,0.5173221146151971,0.5651863688744982,8236.0,0.0,0.0,8,0.19082179566224416,0.15,0.10845714807510376,0.92
2.0,0.0,0.0,5347.0,0.6492229237493929,2889.0,0.3507770762506071,0.9360131255127153,0.6926906265177271,5705.0,5705.0,0.7657987791085096,0.8309412025401192,0.6220918302652383,1.0,6095.0,0.7657987834122704,2141.0,0.7400437105390967,0.5152507457460103,0.5651863688744982,8236.0,0.0,0.0,9,0.18556394775708515,0.15,0.10695569962263107,0.92
2.0,0.0,0.0,5257.0,0.6382952889752307,2979.0,0.3617047110247693,0.9343724364232978,0.6914764448761535,5695.0,5695.0,0.7629294158595592,0.8298273713414738,0.614785237957362,1.0,6095.0,0.7629294183090579,2141.0,0.7400437105390967,0.5133364271531327,0.5651863688744982,8236.0,0.0,0.0,10,0.17948374648888907,0.15,0.11172143369913101,0.92
