alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_covered_gap_norm_mean,calibration_active_covered_gap_norm_median,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_non_active_share,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta_norm,selected_delta_quantile
0.01,416.0,0.33931484502446985,806.0,0.38786449179016125,0.41300084324889513,0.6574225122349103,4.0,0.0032626427406199023,0.7807486631016043,0.5954323001631321,730.0,730.0,0.7123801653205826,1.0,0.42948514804082083,1.0,935.0,0.7123801661862618,291.0,0.7626427406199021,0.4815015546633413,0.5989336246857843,0.3425774877650897,1226.0,0.0,0.0,1,0.1535019051283598,0.5,0.4990099244591332,0.5
0.01,416.0,0.33931484502446985,805.0,0.39211621908779887,0.417373502938311,0.6566068515497553,5.0,0.004078303425774877,0.7839572192513369,0.5978792822185971,733.0,733.0,0.7147175707588033,1.0,0.44053423126711155,1.0,935.0,0.7147175713271133,291.0,0.7626427406199021,0.48231685336935426,0.5989336246857843,0.3433931484502447,1226.0,0.0,0.0,2,0.07339826487004757,0.5,0.46899728173831073,0.5
0.01,416.0,0.33931484502446985,805.0,0.40226654813435453,0.4290410648454352,0.6566068515497553,5.0,0.004078303425774877,0.7818181818181819,0.5962479608482871,731.0,731.0,0.7195313625308942,1.0,0.4446363935825211,1.0,935.0,0.7195313628042652,291.0,0.7626427406199021,0.4828189119357081,0.5989336246857843,0.3433931484502447,1226.0,0.0,0.0,3,0.0721359420567751,0.5,0.4733843927784892,0.5
0.01,416.0,0.33931484502446985,804.0,0.4070691452912828,0.431980649146233,0.6557911908646004,6.0,0.004893964110929853,0.7871657754010695,0.600326264274062,736.0,736.0,0.7204524367066238,1.0,0.45138371870316996,1.0,935.0,0.7204524371635451,291.0,0.7626427406199021,0.4850299999562697,0.5989336246857843,0.3442088091353997,1226.0,0.0,0.0,4,0.07125114984810352,0.5,0.4486034829505971,0.5
0.01,416.0,0.33931484502446985,807.0,0.4022220858692632,0.4222666389128526,0.6582381729200653,3.0,0.0024469820554649264,0.7871657754010695,0.600326264274062,736.0,736.0,0.716542809739637,1.0,0.4403670208550276,1.0,935.0,0.7165428106335525,291.0,0.7626427406199021,0.4839404712768221,0.5989336246857843,0.34176182707993474,1226.0,0.0,0.0,5,0.07018243018537759,0.5,0.44796982668899094,0.5
0.01,416.0,0.33931484502446985,805.0,0.40890121983430033,0.4251977934185527,0.6566068515497553,5.0,0.004078303425774877,0.7839572192513369,0.5978792822185971,733.0,733.0,0.7225948425961791,1.0,0.4471074164631874,1.0,935.0,0.7225948427477733,291.0,0.7626427406199021,0.4850944445458312,0.5989336246857843,0.3433931484502447,1226.0,0.0,0.0,6,0.06890342421829701,0.5,0.43904773511818634,0.5
0.01,416.0,0.33931484502446985,805.0,0.4156057194445194,0.43334266351195766,0.6566068515497553,5.0,0.004078303425774877,0.7839572192513369,0.5978792822185971,733.0,733.0,0.7257412926178919,1.0,0.4486440526710242,1.0,935.0,0.7257412929229359,291.0,0.7626427406199021,0.485755292332281,0.5989336246857843,0.3433931484502447,1226.0,0.0,0.0,7,0.06884199939668179,0.5,0.4339975930927478,0.5
0.01,416.0,0.33931484502446985,803.0,0.40538096715590033,0.43043195903150877,0.6549755301794453,7.0,0.005709624796084829,0.7925133689839572,0.6044045676998369,741.0,741.0,0.7183383528633213,1.0,0.44053423126711155,1.0,935.0,0.7183383540161205,291.0,0.7626427406199021,0.4848298772108988,0.5989336246857843,0.3450244698205546,1226.0,0.0,0.0,8,0.06801766026765108,0.5,0.421809036996748,0.5
0.01,416.0,0.33931484502446985,799.0,0.41439430079991013,0.43294827023586246,0.6517128874388255,11.0,0.00897226753670473,0.786096256684492,0.5995106035889071,735.0,735.0,0.7275140828211828,1.0,0.4537113122920622,1.0,935.0,0.7275140831132626,291.0,0.7626427406199021,0.4860223227010519,0.5989336246857843,0.34828711256117456,1226.0,0.0,0.0,9,0.06768900658935309,0.5,0.39701672533596877,0.5
0.01,416.0,0.33931484502446985,805.0,0.41004998838598355,0.4292154670252568,0.6566068515497553,5.0,0.004078303425774877,0.7828877005347593,0.5970636215334421,732.0,732.0,0.722755732246965,1.0,0.4388550861692527,1.0,935.0,0.7227557329542779,291.0,0.7626427406199021,0.484397806568502,0.5989336246857843,0.3433931484502447,1226.0,0.0,0.0,10,0.06683443821966648,0.5,0.4204595205829663,0.5
0.01,416.0,0.33931484502446985,803.0,0.4053846221351824,0.42675281759669614,0.6549755301794453,7.0,0.005709624796084829,0.7828877005347593,0.5970636215334421,732.0,732.0,0.7221878972270934,1.0,0.43978206149115123,1.0,935.0,0.7221878979293218,291.0,0.7626427406199021,0.4836130777323325,0.5989336246857843,0.3450244698205546,1226.0,0.0,0.0,11,0.06541715990751981,0.5,0.38705688837120916,0.5
0.01,416.0,0.33931484502446985,806.0,0.41777003425957543,0.41475332322439035,0.6574225122349103,4.0,0.0032626427406199023,0.7807486631016043,0.5954323001631321,730.0,730.0,0.7272292489270887,1.0,0.4342217313682176,1.0,935.0,0.7272292497314138,291.0,0.7626427406199021,0.4835498588046008,0.5989336246857843,0.3425774877650897,1226.0,0.0,0.0,12,0.06486179921776056,0.5,0.37292967744180455,0.5
0.01,416.0,0.33931484502446985,804.0,0.4136011401109992,0.4205307745618255,0.6557911908646004,6.0,0.004893964110929853,0.7732620320855615,0.5897226753670473,723.0,723.0,0.7291048143804617,1.0,0.45059954614726605,1.0,935.0,0.7291048147986888,291.0,0.7626427406199021,0.4836864093075782,0.5989336246857843,0.3442088091353997,1226.0,0.0,0.0,13,0.06316209305077791,0.5,0.36989683880623003,0.5
0.01,416.0,0.33931484502446985,800.0,0.41157407161629744,0.4260305738021241,0.6525285481239804,10.0,0.008156606851549755,0.7786096256684492,0.5938009787928222,728.0,728.0,0.7259939701619849,1.0,0.43427845750463023,1.0,935.0,0.7259939708832869,291.0,0.7626427406199021,0.4854123763633545,0.5989336246857843,0.3474714518760196,1226.0,0.0,0.0,14,0.06395294591784477,0.5,0.36519216582562597,0.5
0.01,416.0,0.33931484502446985,803.0,0.39334663867672887,0.40605654625755405,0.6549755301794453,7.0,0.005709624796084829,0.7764705882352941,0.5921696574225123,726.0,726.0,0.7192348079826183,1.0,0.43286814865747897,1.0,935.0,0.7192348087092707,291.0,0.7626427406199021,0.4809928631169695,0.5989336246857843,0.3450244698205546,1226.0,0.0,0.0,15,0.061390087194740775,0.5,0.3505041879939032,0.5
