alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_covered_gap_norm_mean,calibration_active_covered_gap_norm_median,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_non_active_share,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta_norm,selected_delta_quantile
0.01,357.0,0.2028409090909091,1399.0,0.4475015180316862,0.48866559353092276,0.7948863636363637,4.0,0.0022727272727272726,0.7664291369754552,0.55,968.0,968.0,0.6369947990373476,0.6095801235068709,0.41317230077352995,1.0,1263.0,0.6369947992481007,497.0,0.7176136363636364,0.44753587894596725,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,1,0.16516322828829288,0.5,0.5953588005336388,0.6
0.01,357.0,0.2028409090909091,1398.0,0.45396654003169656,0.494146505824853,0.7943181818181818,5.0,0.002840909090909091,0.7790973871733967,0.5590909090909091,984.0,984.0,0.6381973415657176,0.6175033059971067,0.4215517152664349,1.0,1263.0,0.6381973435048197,497.0,0.7176136363636364,0.45118269986545884,0.5682228514151557,0.2056818181818182,1760.0,0.0,0.0,2,0.07977702947599548,0.5,0.574430393779741,0.6
0.01,357.0,0.2028409090909091,1397.0,0.4605076564888892,0.49609402224439036,0.79375,6.0,0.003409090909090909,0.7751385589865399,0.55625,979.0,979.0,0.6440122023409831,0.623684413340174,0.42603255790418637,1.0,1263.0,0.6440122033217808,497.0,0.7176136363636364,0.4510292907745498,0.5682228514151557,0.20625,1760.0,0.0,0.0,3,0.0778037432049002,0.5,0.5433370950239317,0.6
0.01,357.0,0.2028409090909091,1397.0,0.46090108232870114,0.49615458534081397,0.79375,6.0,0.003409090909090909,0.777513855898654,0.5579545454545455,982.0,982.0,0.6437116114371966,0.6272910041848357,0.4362599889720329,1.0,1263.0,0.6437116123130967,497.0,0.7176136363636364,0.4525634098157283,0.5682228514151557,0.20625,1760.0,0.0,0.0,4,0.07647580201072353,0.5,0.5513152481817748,0.6
0.01,454.0,0.25795454545454544,1301.0,0.3799341948688987,0.3985355909202396,0.7392045454545455,5.0,0.002840909090909091,0.7410926365795725,0.5318181818181819,936.0,936.0,0.6561814606164087,0.6097964696617245,0.36944487387501446,1.0,1263.0,0.6561814613940702,497.0,0.7176136363636364,0.43494576238558436,0.5682228514151557,0.26079545454545455,1760.0,0.0,0.0,5,0.07561444384711129,0.5,0.43580260155069683,0.5
0.01,357.0,0.2028409090909091,1393.0,0.4619130424941478,0.5041799148111582,0.7914772727272728,10.0,0.005681818181818182,0.779889152810768,0.5596590909090909,985.0,985.0,0.6449172361636508,0.6245923482329301,0.4376258306517877,1.0,1263.0,0.6449172368271796,497.0,0.7176136363636364,0.45205123541771824,0.5682228514151557,0.20852272727272728,1760.0,0.0,0.0,6,0.07534895172076565,0.5,0.5097496954206784,0.6
0.01,357.0,0.2028409090909091,1396.0,0.458973459535506,0.5023512859938564,0.7931818181818182,7.0,0.003977272727272727,0.7743467933491687,0.5556818181818182,978.0,978.0,0.6431880177918214,0.6186487648098019,0.42627284290410117,1.0,1263.0,0.6431880181091244,497.0,0.7176136363636364,0.4517372945942971,0.5682228514151557,0.20681818181818182,1760.0,0.0,0.0,7,0.07458321537290301,0.5,0.5447680994920446,0.6
0.01,357.0,0.2028409090909091,1397.0,0.46245864264367975,0.5068240792844438,0.79375,6.0,0.003409090909090909,0.779889152810768,0.5596590909090909,985.0,985.0,0.643640095072409,0.6293820759532319,0.4396813379155661,1.0,1263.0,0.643640096041307,497.0,0.7176136363636364,0.45312091711417923,0.5682228514151557,0.20625,1760.0,0.0,0.0,8,0.0737037541610854,0.5,0.5153042767056645,0.6
0.01,357.0,0.2028409090909091,1399.0,0.4578214043848624,0.499152261654348,0.7948863636363637,4.0,0.0022727272727272726,0.770387965162312,0.5528409090909091,973.0,973.0,0.6428196507818056,0.616775412946058,0.42721555138773004,1.0,1263.0,0.6428196512987147,497.0,0.7176136363636364,0.4501614742740636,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,9,0.07317263579794339,0.5,0.5222957449959895,0.6
0.01,357.0,0.2028409090909091,1399.0,0.4606382700220508,0.5044401879952655,0.7948863636363637,4.0,0.0022727272727272726,0.7751385589865399,0.55625,979.0,979.0,0.6429965260207241,0.6169555181786616,0.42937481469969896,1.0,1263.0,0.6429965269634693,497.0,0.7176136363636364,0.45188447414423966,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,10,0.0722357090562582,0.5,0.5172638008907239,0.6
