alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_covered_gap_norm_mean,calibration_active_covered_gap_norm_median,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_non_active_share,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta_norm,selected_delta_quantile
0.01,407.0,0.23125,1350.0,0.4702101047133265,0.5144923940860652,0.7670454545454546,3.0,0.0017045454545454545,0.7949326999208234,0.5704545454545454,1004.0,1004.0,0.6163772371778767,0.6097253666827327,0.4056403612357877,1.0,1263.0,0.6163772376951563,497.0,0.7176136363636364,0.4550392479218875,0.5682228514151557,0.23295454545454544,1760.0,0.0,0.0,1,0.16516322828829288,0.3,0.7022959048716633,0.7
0.01,478.0,0.2715909090909091,1279.0,0.4723985918509915,0.5128577226425942,0.7267045454545454,3.0,0.0017045454545454545,0.8210609659540776,0.5892045454545455,1037.0,1037.0,0.6474177667818101,0.6366679276807115,0.4346118120848078,1.0,1263.0,0.6474177683992028,497.0,0.7176136363636364,0.4628763299552256,0.5682228514151557,0.27329545454545456,1760.0,0.0,0.0,2,0.07977702947599548,0.3,0.6790585654944268,0.7
0.01,448.0,0.2545454545454545,1306.0,0.47782819844781277,0.5128577226425942,0.7420454545454546,6.0,0.003409090909090909,0.8194774346793349,0.5880681818181818,1035.0,1035.0,0.6604622005365971,0.6499537783667316,0.4496734995334972,1.0,1263.0,0.660462201968843,497.0,0.7176136363636364,0.4652614503423317,0.5682228514151557,0.25795454545454544,1760.0,0.0,0.0,3,0.0778037432049002,0.3,0.6601713786175228,0.7
0.01,515.0,0.29261363636363635,1240.0,0.47700252267603727,0.5128577226425942,0.7045454545454546,5.0,0.002840909090909091,0.8345209817893904,0.5988636363636364,1054.0,1054.0,0.6878886022421513,0.6768328264169796,0.4699509889681925,1.0,1263.0,0.6878886030237783,497.0,0.7176136363636364,0.4713314190813448,0.5682228514151557,0.29545454545454547,1760.0,0.0,0.0,4,0.07647580201072353,0.3,0.662667530694443,0.7
0.01,371.0,0.21079545454545454,1384.0,0.47391886646954196,0.5103401799964431,0.7863636363636364,5.0,0.002840909090909091,0.8060174188440221,0.5784090909090909,1018.0,1018.0,0.6248183664605967,0.6191029061507467,0.4151273984409899,1.0,1263.0,0.6248183675808683,497.0,0.7176136363636364,0.45816501567037077,0.5682228514151557,0.21363636363636362,1760.0,0.0,0.0,5,0.07561444384711129,0.3,0.6714518855265612,0.7
0.01,371.0,0.21079545454545454,1381.0,0.47801175169177124,0.5150196763374427,0.7846590909090909,8.0,0.004545454545454545,0.8044338875692795,0.5772727272727273,1016.0,1016.0,0.628545764245227,0.6192277903904133,0.4236662453224709,1.0,1263.0,0.6285457653268814,497.0,0.7176136363636364,0.4575990915004991,0.5682228514151557,0.21534090909090908,1760.0,0.0,0.0,6,0.07534895172076565,0.3,0.6398460069645251,0.7
0.01,444.0,0.25227272727272726,1309.0,0.4829057316078384,0.5257174010771826,0.74375,7.0,0.003977272727272727,0.8273950910530483,0.59375,1045.0,1045.0,0.6828158602494013,0.6793562864832536,0.46824748433361385,1.0,1263.0,0.6828158611944842,497.0,0.7176136363636364,0.4711373643334519,0.5682228514151557,0.25625,1760.0,0.0,0.0,7,0.07458321537290301,0.3,0.6629564153639989,0.7
0.01,377.0,0.21420454545454545,1377.0,0.48704655647013795,0.5227384978441316,0.7823863636363636,6.0,0.003409090909090909,0.8099762470308789,0.58125,1023.0,1023.0,0.6570281961149309,0.6518120108307233,0.4465293138420491,1.0,1263.0,0.657028197447094,497.0,0.7176136363636364,0.46546146775467623,0.5682228514151557,0.21761363636363637,1760.0,0.0,0.0,8,0.0737037541610854,0.3,0.6359146419857938,0.7
0.01,503.0,0.2857954545454545,1254.0,0.47605223078462544,0.5257174010771826,0.7125,3.0,0.0017045454545454545,0.8329374505146476,0.5977272727272728,1052.0,1052.0,0.6827426530511468,0.6821534954328381,0.46776105653796224,1.0,1263.0,0.6827426544057648,497.0,0.7176136363636364,0.47091732811282894,0.5682228514151557,0.2875,1760.0,0.0,0.0,9,0.07317263579794339,0.3,0.6481736985059796,0.7
0.01,407.0,0.23125,1349.0,0.48346325523821065,0.519963020756372,0.7664772727272727,4.0,0.0022727272727272726,0.8060174188440221,0.5784090909090909,1018.0,1018.0,0.6473545799514305,0.6411515907575827,0.4409685524467358,1.0,1263.0,0.6473545806479283,497.0,0.7176136363636364,0.46283492318876235,0.5682228514151557,0.23352272727272727,1760.0,0.0,0.0,10,0.0722357090562582,0.3,0.6405923292456168,0.7
