alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_covered_gap_norm_mean,calibration_active_covered_gap_norm_median,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_non_active_share,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta_norm,selected_delta_quantile
0.01,290.0,0.16477272727272727,1468.0,0.42101331923406976,0.46092060344349706,0.8340909090909091,2.0,0.0011363636363636363,0.7450514647664291,0.5346590909090909,941.0,941.0,0.5852954061251466,0.5691513758185529,0.3548863025100881,1.0,1263.0,0.5852954068339352,497.0,0.7176136363636364,0.4344058314999318,0.5682228514151557,0.16590909090909092,1760.0,0.0,0.0,1,0.0763810896979911,0.5,0.6371322665472027,0.6
0.01,357.0,0.2028409090909091,1401.0,0.42638212944349435,0.46854127452244293,0.7960227272727273,2.0,0.0011363636363636363,0.770387965162312,0.5528409090909091,973.0,973.0,0.6215183217910826,0.6015814920134936,0.3898027409120663,1.0,1263.0,0.621518322242649,497.0,0.7176136363636364,0.44478918610286566,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,2,0.023603859956243207,0.5,0.6355568888123072,0.6
0.01,357.0,0.2028409090909091,1401.0,0.4325709318602392,0.4729169518151324,0.7960227272727273,2.0,0.0011363636363636363,0.7759303246239113,0.5568181818181818,980.0,980.0,0.6242229946707094,0.6072225235713218,0.39781316326163324,1.0,1263.0,0.6242229954634151,497.0,0.7176136363636364,0.44705623155741103,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,3,0.023357000800647905,0.5,0.6254668912781826,0.6
0.01,357.0,0.2028409090909091,1401.0,0.43074292914441664,0.47227599004106163,0.7960227272727273,2.0,0.0011363636363636363,0.7783056215360253,0.5585227272727272,983.0,983.0,0.6224256254345469,0.6034071584428071,0.3931715135886636,1.0,1263.0,0.6224256262332085,497.0,0.7176136363636364,0.4470335042846838,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,4,0.023638259020767043,0.5,0.6196250946589928,0.6
0.01,290.0,0.16477272727272727,1468.0,0.4292754136336161,0.47080873959660996,0.8340909090909091,2.0,0.0011363636363636363,0.7513855898653998,0.5392045454545454,949.0,949.0,0.5898480844026619,0.5707241303627808,0.36314035968987757,1.0,1263.0,0.5898480848833705,497.0,0.7176136363636364,0.4374910587726591,0.5682228514151557,0.16590909090909092,1760.0,0.0,0.0,5,0.023005648981779814,0.5,0.6208145810406992,0.6
0.01,357.0,0.2028409090909091,1400.0,0.43151070106983286,0.4729169518151324,0.7954545454545454,3.0,0.0017045454545454545,0.7759303246239113,0.5568181818181818,980.0,980.0,0.6235208622391037,0.6059633638148798,0.39657945933695626,1.0,1263.0,0.6235208629769206,497.0,0.7176136363636364,0.4466711758311207,0.5682228514151557,0.20454545454545456,1760.0,0.0,0.0,6,0.02306273260286876,0.5,0.6170005333694747,0.6
0.01,290.0,0.16477272727272727,1468.0,0.43125167719255997,0.47218697334440124,0.8340909090909091,2.0,0.0011363636363636363,0.7490102929532858,0.5375,946.0,946.0,0.5917757809870487,0.5711007380492725,0.36872192416753713,1.0,1263.0,0.5917757814692818,497.0,0.7176136363636364,0.4374337803471064,0.5682228514151557,0.16590909090909092,1760.0,0.0,0.0,7,0.022560543779815947,0.5,0.6220042029736887,0.6
0.01,357.0,0.2028409090909091,1402.0,0.4331281473761165,0.4729169518151324,0.7965909090909091,1.0,0.0005681818181818182,0.7727632620744259,0.5545454545454546,976.0,976.0,0.6253766957557327,0.6060537773236137,0.39745865311933404,1.0,1263.0,0.6253766965126297,497.0,0.7176136363636364,0.4463044634036032,0.5682228514151557,0.2034090909090909,1760.0,0.0,0.0,8,0.022626651051853384,0.5,0.6146846471891684,0.6
0.01,357.0,0.2028409090909091,1401.0,0.4345518450637764,0.4745254795606237,0.7960227272727273,2.0,0.0011363636363636363,0.7743467933491687,0.5556818181818182,978.0,978.0,0.6259254026137663,0.6045277702960216,0.39883251676247045,1.0,1263.0,0.6259254033282744,497.0,0.7176136363636364,0.4469840849200982,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,9,0.022798111396176473,0.5,0.6108018149652353,0.6
0.01,357.0,0.2028409090909091,1401.0,0.43405580365718827,0.47496067262741887,0.7960227272727273,2.0,0.0011363636363636363,0.7751385589865399,0.55625,979.0,979.0,0.6254015942490889,0.6054936748278368,0.4002100560348093,1.0,1263.0,0.6254015946469695,497.0,0.7176136363636364,0.44695349858640376,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,10,0.022455910021173104,0.5,0.6133757527568741,0.6
