experiment_id,order_count,filled_count,unfilled_count,fill_rate,winning_fill_count,losing_fill_count,filled_accuracy,mean_bid,win_pnl,loss_pnl,total_pnl_per_one_share,mean_pnl_per_order,mean_pnl_per_fill,correct_signal_fill_rate,wrong_signal_forced_fill_rate,missing_chosen_low_count,action_counts
20260618_r9_sfloor005_room_weight,5228,3450,1778,0.6599081866870696,1920,1530,0.5565217391304348,0.5229341096407973,719.8960127671437,-735.8758294208234,-15.97981665367975,-0.00305658313957149,-0.004631830914110073,0.5191995673336939,1.0,27,"{'active': 3387, 'abstain_low_conf': 1841}"
20260618_r11_sfloor005_lower_alpha,5228,3431,1797,0.6562739097169089,1901,1530,0.5540658700087439,0.5216353338183031,712.3960127671436,-734.2858294208233,-21.88981665367975,-0.00418703455502673,-0.006380010683089405,0.5140616549486209,1.0,27,"{'active': 3387, 'abstain_low_conf': 1841}"
20260618_safe_lowest_price_gap_fix123,5228,4046,1182,0.7739097169089518,2516,1530,0.6218487394957983,0.6284886474169413,908.5248471048099,-931.1134638247863,-22.588616719976425,-0.004320699449115613,-0.005582950252095013,0.6803677663601947,1.0,27,"{'active': 4813, 'clamp_over_pside': 415}"
20260618_r1_calib7_active,5228,4054,1174,0.7754399387911247,2524,1530,0.6225949679329058,0.626826762800018,901.4078828519223,-926.0357046030787,-24.62782175115642,-0.004710753969234205,-0.006074943697867892,0.6825310978907517,1.0,27,"{'active': 4595, 'clamp_over_pside': 355, 'abstain_low_conf': 278}"
20260618_r8_pside_bin_delta,5228,3353,1875,0.641354246365723,1823,1530,0.5436922159260363,0.5228010160306373,717.197559801111,-744.5412817660763,-27.343721964965287,-0.005230245211355258,-0.008155002077233908,0.49296917252568956,1.0,27,"{'active': 3754, 'abstain_low_conf': 1474}"
20260618_r3_cov70_signal_filter_active,5227,3614,1613,0.6914099866079969,2085,1529,0.5769230769230769,0.563574170166548,787.316031774976,-818.5964495955066,-31.280417820530637,-0.005984392160040299,-0.008655345274081527,0.5638182801514332,0.9993464052287582,27,"{'active': 3827, 'abstain_low_conf': 1325, 'clamp_over_pside': 76}"
20260618_r10_low_alpha_filter_off,5228,3638,1590,0.6958684009181332,2108,1530,0.5794392523364486,0.5479038850995265,744.0570069974749,-776.5658602899682,-32.508853292493335,-0.00621821983406529,-0.008935913494363205,0.5700378583017848,1.0,27,"{'active': 2887, 'abstain_low_conf': 2341}"
20260618_r6_low_alpha,5228,3638,1590,0.6958684009181332,2108,1530,0.5794392523364486,0.5479038850995265,744.0570069974749,-776.5658602899682,-32.508853292493335,-0.00621821983406529,-0.008935913494363205,0.5700378583017848,1.0,27,"{'active': 2887, 'abstain_low_conf': 2341}"
20260618_r2_cov70_active,5228,3761,1467,0.7193955623565417,2231,1530,0.5931932996543472,0.5939578393921574,836.2321784177096,-874.6799235078882,-38.44774509017861,-0.007354197607149695,-0.010222745304487796,0.6032990805840995,1.0,27,"{'active': 4263, 'abstain_low_conf': 720, 'clamp_over_pside': 245}"
20260618_r10_low_alpha_filter_on,5228,3525,1703,0.6742540168324407,1995,1530,0.5659574468085107,0.5364233764921594,714.7727386817725,-755.386255606331,-40.613516924558596,-0.00776846153874495,-0.011521565084981165,0.5394808004326663,1.0,27,"{'active': 3214, 'abstain_low_conf': 2014}"
20260618_r7_low_alpha_regularized,5228,3480,1748,0.6656465187452181,1950,1530,0.5603448275862069,0.5325525029522015,716.51333157587,-758.5095492468452,-41.99621767097516,-0.008032941406077881,-0.01206787864108482,0.5273120605732828,1.0,27,"{'active': 3290, 'abstain_low_conf': 1938}"
20260617_deploy_baseline_features,5228,4239,989,0.8108263198163733,2709,1530,0.6390658174097664,0.6520238919587267,913.6649738743647,-968.4190109900757,-54.754037115710894,-0.010473228216471097,-0.01291673439861073,0.7325581395348837,1.0,27,"{'active': 3591, 'clamp_over_pside': 1637}"
p_side_full_price,5228,4600,628,0.8798775822494261,3070,1530,0.6673913043478261,0.682879761206939,952.3102156094756,-1015.6868509018879,-63.37663529241222,-0.012122539267867678,-0.01377752941139396,0.8301784748512709,1.0,27,{'p_side': 5228}
