sample_id,alpha,y,p_upper_bound,gap
9087,77.68316,0.53,0.7289476,0.19894761
14239,57.221695,0.36,0.39938655,0.03938654
14119,56.18958,0.650602,0.71744794,0.06684595
12973,55.017498,0.65,0.73963135,0.08963138
914,54.720604,0.54,0.60588187,0.06588185
4064,52.65661,0.73,0.77875197,0.04875195
15079,52.548927,0.45,0.5325197,0.08251971
13660,51.978264,0.52,0.5832513,0.06325132
15470,48.278435,0.57,0.64391476,0.07391477
1685,47.91498,0.43,0.47617164,0.046171635
150,46.943165,0.79,0.8156961,0.025696099
4032,41.703415,0.67,0.70264095,0.032640934
14524,40.28617,0.68,0.7688717,0.08887172
13603,38.18886,0.6,0.6489866,0.048986554
300,38.00946,0.54,0.61333174,0.07333171
9025,36.254723,0.70931685,0.7665092,0.057192326
199,35.36033,0.39,0.4554436,0.065443605
7197,33.572475,0.60048604,0.66991764,0.0694316
6813,32.85309,0.590995,0.63175756,0.040762544
1008,32.63987,0.5,0.56454813,0.064548135
2862,32.496304,0.6357892,0.69932,0.0635308
7786,32.110924,0.32099506,0.36643896,0.045443892
6993,30.75109,0.46,0.5031976,0.043197602
10922,30.315828,0.3,0.34096122,0.040961206
2454,30.232439,0.54,0.61310184,0.07310182
